Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,1980M01,All Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1980M02,All Milk,Million Litres,36.6
Milk Sales (Dairy) for Human Consumption,1980M03,All Milk,Million Litres,38.4
Milk Sales (Dairy) for Human Consumption,1980M04,All Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1980M05,All Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1980M06,All Milk,Million Litres,37.5
Milk Sales (Dairy) for Human Consumption,1980M07,All Milk,Million Litres,38
Milk Sales (Dairy) for Human Consumption,1980M08,All Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1980M09,All Milk,Million Litres,37.1
Milk Sales (Dairy) for Human Consumption,1980M10,All Milk,Million Litres,37.5
Milk Sales (Dairy) for Human Consumption,1980M11,All Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1980M12,All Milk,Million Litres,37.3
Milk Sales (Dairy) for Human Consumption,1981M01,All Milk,Million Litres,39
Milk Sales (Dairy) for Human Consumption,1981M02,All Milk,Million Litres,36.3
Milk Sales (Dairy) for Human Consumption,1981M03,All Milk,Million Litres,39.8
Milk Sales (Dairy) for Human Consumption,1981M04,All Milk,Million Litres,39.6
Milk Sales (Dairy) for Human Consumption,1981M05,All Milk,Million Litres,39.5
Milk Sales (Dairy) for Human Consumption,1981M06,All Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1981M07,All Milk,Million Litres,40.1
Milk Sales (Dairy) for Human Consumption,1981M08,All Milk,Million Litres,40.1
Milk Sales (Dairy) for Human Consumption,1981M09,All Milk,Million Litres,39.6
Milk Sales (Dairy) for Human Consumption,1981M10,All Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1981M11,All Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1981M12,All Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1982M01,All Milk,Million Litres,40.3
Milk Sales (Dairy) for Human Consumption,1982M02,All Milk,Million Litres,39.2
Milk Sales (Dairy) for Human Consumption,1982M03,All Milk,Million Litres,43.4
Milk Sales (Dairy) for Human Consumption,1982M04,All Milk,Million Litres,42.5
Milk Sales (Dairy) for Human Consumption,1982M05,All Milk,Million Litres,43.1
Milk Sales (Dairy) for Human Consumption,1982M06,All Milk,Million Litres,41.4
Milk Sales (Dairy) for Human Consumption,1982M07,All Milk,Million Litres,42.7
Milk Sales (Dairy) for Human Consumption,1982M08,All Milk,Million Litres,41.7
Milk Sales (Dairy) for Human Consumption,1982M09,All Milk,Million Litres,42.2
Milk Sales (Dairy) for Human Consumption,1982M10,All Milk,Million Litres,42.9
Milk Sales (Dairy) for Human Consumption,1982M11,All Milk,Million Litres,42
Milk Sales (Dairy) for Human Consumption,1982M12,All Milk,Million Litres,41.1
Milk Sales (Dairy) for Human Consumption,1983M01,All Milk,Million Litres,42
Milk Sales (Dairy) for Human Consumption,1983M02,All Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1983M03,All Milk,Million Litres,43.5
Milk Sales (Dairy) for Human Consumption,1983M04,All Milk,Million Litres,42.3
Milk Sales (Dairy) for Human Consumption,1983M05,All Milk,Million Litres,43.4
Milk Sales (Dairy) for Human Consumption,1983M06,All Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1983M07,All Milk,Million Litres,44.1
Milk Sales (Dairy) for Human Consumption,1983M08,All Milk,Million Litres,43.4
Milk Sales (Dairy) for Human Consumption,1983M09,All Milk,Million Litres,42.1
Milk Sales (Dairy) for Human Consumption,1983M10,All Milk,Million Litres,42.6
Milk Sales (Dairy) for Human Consumption,1983M11,All Milk,Million Litres,41.8
Milk Sales (Dairy) for Human Consumption,1983M12,All Milk,Million Litres,41.5
Milk Sales (Dairy) for Human Consumption,1984M01,All Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1984M02,All Milk,Million Litres,41.2
Milk Sales (Dairy) for Human Consumption,1984M03,All Milk,Million Litres,45.6
Milk Sales (Dairy) for Human Consumption,1984M04,All Milk,Million Litres,41.8
Milk Sales (Dairy) for Human Consumption,1984M05,All Milk,Million Litres,44.7
Milk Sales (Dairy) for Human Consumption,1984M06,All Milk,Million Litres,42.6
Milk Sales (Dairy) for Human Consumption,1984M07,All Milk,Million Litres,43.3
Milk Sales (Dairy) for Human Consumption,1984M08,All Milk,Million Litres,43.6
Milk Sales (Dairy) for Human Consumption,1984M09,All Milk,Million Litres,42.3
Milk Sales (Dairy) for Human Consumption,1984M10,All Milk,Million Litres,43.8
Milk Sales (Dairy) for Human Consumption,1984M11,All Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1984M12,All Milk,Million Litres,41.9
Milk Sales (Dairy) for Human Consumption,1985M01,All Milk,Million Litres,43.2
Milk Sales (Dairy) for Human Consumption,1985M02,All Milk,Million Litres,40.2
Milk Sales (Dairy) for Human Consumption,1985M03,All Milk,Million Litres,43.6
Milk Sales (Dairy) for Human Consumption,1985M04,All Milk,Million Litres,42
Milk Sales (Dairy) for Human Consumption,1985M05,All Milk,Million Litres,43.8
Milk Sales (Dairy) for Human Consumption,1985M06,All Milk,Million Litres,42.1
Milk Sales (Dairy) for Human Consumption,1985M07,All Milk,Million Litres,43.7
Milk Sales (Dairy) for Human Consumption,1985M08,All Milk,Million Litres,43.3
Milk Sales (Dairy) for Human Consumption,1985M09,All Milk,Million Litres,41.2
Milk Sales (Dairy) for Human Consumption,1985M10,All Milk,Million Litres,44.1
Milk Sales (Dairy) for Human Consumption,1985M11,All Milk,Million Litres,42.5
Milk Sales (Dairy) for Human Consumption,1985M12,All Milk,Million Litres,42.6
Milk Sales (Dairy) for Human Consumption,1986M01,All Milk,Million Litres,43.2
Milk Sales (Dairy) for Human Consumption,1986M02,All Milk,Million Litres,40
Milk Sales (Dairy) for Human Consumption,1986M03,All Milk,Million Litres,42.8
Milk Sales (Dairy) for Human Consumption,1986M04,All Milk,Million Litres,42.1
Milk Sales (Dairy) for Human Consumption,1986M05,All Milk,Million Litres,42.9
Milk Sales (Dairy) for Human Consumption,1986M06,All Milk,Million Litres,40.5
Milk Sales (Dairy) for Human Consumption,1986M07,All Milk,Million Litres,42.1
Milk Sales (Dairy) for Human Consumption,1986M08,All Milk,Million Litres,41.4
Milk Sales (Dairy) for Human Consumption,1986M09,All Milk,Million Litres,41.5
