Month,UNIT,Beef Bull Female count
2015M01,Headcount,45797
2015M02,Headcount,103117
2015M03,Headcount,159785
2015M04,Headcount,140890
2015M05,Headcount,86454
2015M06,Headcount,47587
2015M07,Headcount,30860
2015M08,Headcount,25080
2015M09,Headcount,25229
2015M10,Headcount,23253
2015M11,Headcount,20611
2015M12,Headcount,18910
2016M01,Headcount,46547
2016M02,Headcount,109268
2016M03,Headcount,161286
2016M04,Headcount,139692
2016M05,Headcount,89507
2016M06,Headcount,45419
2016M07,Headcount,30312
2016M08,Headcount,26275
2016M09,Headcount,25034
2016M10,Headcount,22910
2016M11,Headcount,18960
2016M12,Headcount,13153
2017M01,Headcount,44844
2017M02,Headcount,117400
2017M03,Headcount,180900
2017M04,Headcount,148011
2017M05,Headcount,87736
2017M06,Headcount,44988
2017M07,Headcount,30014
2017M08,Headcount,25454
2017M09,Headcount,24657
2017M10,Headcount,22975
2017M11,Headcount,21025
2017M12,Headcount,15546
2018M01,Headcount,48196
2018M02,Headcount,121705
2018M03,Headcount,175560
2018M04,Headcount,145004
2018M05,Headcount,86421
2018M06,Headcount,44232
2018M07,Headcount,28347
2018M08,Headcount,23754
2018M09,Headcount,22747
2018M10,Headcount,22068
2018M11,Headcount,19420
2018M12,Headcount,14335
2019M01,Headcount,39613
2019M02,Headcount,112882
2019M03,Headcount,182927
2019M04,Headcount,145630
2019M05,Headcount,87177
2019M06,Headcount,47701
2019M07,Headcount,28288
2019M08,Headcount,23880
2019M09,Headcount,22828
2019M10,Headcount,22023
2019M11,Headcount,19667
2019M12,Headcount,14388
2020M01,Headcount,46370
2020M02,Headcount,132711
2020M03,Headcount,184406
2020M04,Headcount,147464
2020M05,Headcount,80633
2020M06,Headcount,50143
2020M07,Headcount,22794
2020M08,Headcount,21084
2020M09,Headcount,21286
2020M10,Headcount,20260
2020M11,Headcount,17855
2020M12,Headcount,13041
2021M01,Headcount,47979
2021M02,Headcount,138132
2021M03,Headcount,184763
2021M04,Headcount,139121
2021M05,Headcount,78648
2021M06,Headcount,48256
2021M07,Headcount,23641
2021M08,Headcount,22066
2021M09,Headcount,22241
2021M10,Headcount,20426
2021M11,Headcount,17647
2021M12,Headcount,14318
2022M01,Headcount,49099
2022M02,Headcount,122786
