Month,UNIT,Beef Bull Male count
2015M01,Headcount,47039
2015M02,Headcount,108548
2015M03,Headcount,171057
2015M04,Headcount,151498
2015M05,Headcount,93068
2015M06,Headcount,51012
2015M07,Headcount,33020
2015M08,Headcount,26201
2015M09,Headcount,26614
2015M10,Headcount,24923
2015M11,Headcount,21446
2015M12,Headcount,19507
2016M01,Headcount,47039
2016M02,Headcount,108548
2016M03,Headcount,171057
2016M04,Headcount,151498
2016M05,Headcount,93068
2016M06,Headcount,51012
2016M07,Headcount,33020
2016M08,Headcount,26201
2016M09,Headcount,26614
2016M10,Headcount,24923
2016M11,Headcount,21446
2016M12,Headcount,19507
2017M01,Headcount,46216
2017M02,Headcount,124841
2017M03,Headcount,194043
2017M04,Headcount,159619
2017M05,Headcount,95083
2017M06,Headcount,48234
2017M07,Headcount,31829
2017M08,Headcount,26533
2017M09,Headcount,25504
2017M10,Headcount,24307
2017M11,Headcount,21684
2017M12,Headcount,16202
2018M01,Headcount,48901
2018M02,Headcount,128466
2018M03,Headcount,190313
2018M04,Headcount,157284
2018M05,Headcount,93273
2018M06,Headcount,47638
2018M07,Headcount,29806
2018M08,Headcount,24898
2018M09,Headcount,23955
2018M10,Headcount,22894
2018M11,Headcount,20094
2018M12,Headcount,15045
2019M01,Headcount,40771
2019M02,Headcount,119238
2019M03,Headcount,196720
2019M04,Headcount,158019
2019M05,Headcount,93667
2019M06,Headcount,51005
2019M07,Headcount,29962
2019M08,Headcount,24854
2019M09,Headcount,23859
2019M10,Headcount,22945
2019M11,Headcount,20142
2019M12,Headcount,14965
2020M01,Headcount,47215
2020M02,Headcount,141787
2020M03,Headcount,200736
2020M04,Headcount,160776
2020M05,Headcount,87366
2020M06,Headcount,53987
2020M07,Headcount,24195
2020M08,Headcount,21864
2020M09,Headcount,22460
2020M10,Headcount,21144
2020M11,Headcount,19031
2020M12,Headcount,13560
2021M01,Headcount,49140
2021M02,Headcount,148214
2021M03,Headcount,202224
2021M04,Headcount,153522
2021M05,Headcount,85341
2021M06,Headcount,52321
2021M07,Headcount,25550
2021M08,Headcount,23072
2021M09,Headcount,23069
2021M10,Headcount,21420
2021M11,Headcount,18802
2021M12,Headcount,15184
2022M01,Headcount,50869
2022M02,Headcount,131514
