Month,UNIT,Diary Bull Female count
2015M01,Headcount,62021
2015M02,Headcount,159140
2015M03,Headcount,72247
2015M04,Headcount,29121
2015M05,Headcount,12348
2015M06,Headcount,5809
2015M07,Headcount,3457
2015M08,Headcount,3255
2015M09,Headcount,7852
2015M10,Headcount,10763
2015M11,Headcount,9104
2015M12,Headcount,6510
2016M01,Headcount,69191
2016M02,Headcount,175664
2016M03,Headcount,70697
2016M04,Headcount,26560
2016M05,Headcount,11844
2016M06,Headcount,5087
2016M07,Headcount,2980
2016M08,Headcount,3200
2016M09,Headcount,7435
2016M10,Headcount,10489
2016M11,Headcount,8140
2016M12,Headcount,3979
2017M01,Headcount,58102
2017M02,Headcount,178900
2017M03,Headcount,66421
2017M04,Headcount,23644
2017M05,Headcount,10610
2017M06,Headcount,4366
2017M07,Headcount,2663
2017M08,Headcount,2641
2017M09,Headcount,6436
2017M10,Headcount,9909
2017M11,Headcount,8349
2017M12,Headcount,5142
2018M01,Headcount,66051
2018M02,Headcount,183228
2018M03,Headcount,64827
2018M04,Headcount,23378
2018M05,Headcount,10078
2018M06,Headcount,4383
2018M07,Headcount,2397
2018M08,Headcount,2645
2018M09,Headcount,6209
2018M10,Headcount,9942
2018M11,Headcount,8217
2018M12,Headcount,4987
2019M01,Headcount,55729
2019M02,Headcount,195771
2019M03,Headcount,71194
2019M04,Headcount,22984
2019M05,Headcount,9917
2019M06,Headcount,4035
2019M07,Headcount,2529
2019M08,Headcount,2575
2019M09,Headcount,6346
2019M10,Headcount,9894
2019M11,Headcount,8127
2019M12,Headcount,5427
2020M01,Headcount,69074
2020M02,Headcount,200105
2020M03,Headcount,61422
2020M04,Headcount,21525
2020M05,Headcount,8698
2020M06,Headcount,4331
2020M07,Headcount,2477
2020M08,Headcount,2674
2020M09,Headcount,7070
2020M10,Headcount,10077
2020M11,Headcount,8273
2020M12,Headcount,5146
2021M01,Headcount,83326
2021M02,Headcount,214326
2021M03,Headcount,63293
2021M04,Headcount,20201
2021M05,Headcount,7807
2021M06,Headcount,3827
2021M07,Headcount,2389
2021M08,Headcount,3275
2021M09,Headcount,7785
2021M10,Headcount,11304
2021M11,Headcount,8169
2021M12,Headcount,6100
2022M01,Headcount,94700
2022M02,Headcount,212620
