Statistic,Month,Type of Feedstuff,UNIT,VALUE
Feed Stuff Price,2014M01,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,294
Feed Stuff Price,2014M02,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,294
Feed Stuff Price,2014M03,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,280
Feed Stuff Price,2014M04,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,283
Feed Stuff Price,2014M05,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,289
Feed Stuff Price,2014M06,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,289
Feed Stuff Price,2014M07,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,290
Feed Stuff Price,2014M08,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,287
Feed Stuff Price,2014M09,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,273
Feed Stuff Price,2014M10,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,268
Feed Stuff Price,2014M11,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,264
Feed Stuff Price,2014M12,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,265
Feed Stuff Price,2015M01,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,259
Feed Stuff Price,2015M02,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,262
Feed Stuff Price,2015M03,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,265
Feed Stuff Price,2015M04,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,263
Feed Stuff Price,2015M05,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,263
Feed Stuff Price,2015M06,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,264
Feed Stuff Price,2015M07,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,268
Feed Stuff Price,2015M08,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,268
Feed Stuff Price,2015M09,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,265
Feed Stuff Price,2015M10,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,263
Feed Stuff Price,2015M11,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,264
Feed Stuff Price,2015M12,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,263
Feed Stuff Price,2016M01,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,263
