Statistic,Month,Consumer Item,UNIT,VALUE
National Average Price,2011M12,Full fat milk per 2 litre,Euro,
National Average Price,2012M01,Full fat milk per 2 litre,Euro,1.778
National Average Price,2012M02,Full fat milk per 2 litre,Euro,1.775
National Average Price,2012M03,Full fat milk per 2 litre,Euro,1.774
National Average Price,2012M04,Full fat milk per 2 litre,Euro,1.771
National Average Price,2012M05,Full fat milk per 2 litre,Euro,1.773
National Average Price,2012M06,Full fat milk per 2 litre,Euro,1.772
National Average Price,2012M07,Full fat milk per 2 litre,Euro,1.774
National Average Price,2012M08,Full fat milk per 2 litre,Euro,1.774
National Average Price,2012M09,Full fat milk per 2 litre,Euro,1.768
National Average Price,2012M10,Full fat milk per 2 litre,Euro,1.768
National Average Price,2012M11,Full fat milk per 2 litre,Euro,1.77
National Average Price,2012M12,Full fat milk per 2 litre,Euro,1.77
National Average Price,2013M01,Full fat milk per 2 litre,Euro,1.77
National Average Price,2013M02,Full fat milk per 2 litre,Euro,1.769
National Average Price,2013M03,Full fat milk per 2 litre,Euro,1.772
National Average Price,2013M04,Full fat milk per 2 litre,Euro,1.772
National Average Price,2013M05,Full fat milk per 2 litre,Euro,1.767
National Average Price,2013M06,Full fat milk per 2 litre,Euro,1.862
National Average Price,2013M07,Full fat milk per 2 litre,Euro,1.859
National Average Price,2013M08,Full fat milk per 2 litre,Euro,1.833
National Average Price,2013M09,Full fat milk per 2 litre,Euro,1.835
National Average Price,2013M10,Full fat milk per 2 litre,Euro,1.832
National Average Price,2013M11,Full fat milk per 2 litre,Euro,1.784
National Average Price,2013M12,Full fat milk per 2 litre,Euro,1.767
National Average Price,2014M01,Full fat milk per 2 litre,Euro,1.755
National Average Price,2014M02,Full fat milk per 2 litre,Euro,1.751
National Average Price,2014M03,Full fat milk per 2 litre,Euro,1.744
National Average Price,2014M04,Full fat milk per 2 litre,Euro,1.742
National Average Price,2014M05,Full fat milk per 2 litre,Euro,1.741
National Average Price,2014M06,Full fat milk per 2 litre,Euro,1.742
National Average Price,2014M07,Full fat milk per 2 litre,Euro,1.746
National Average Price,2014M08,Full fat milk per 2 litre,Euro,1.738
National Average Price,2014M09,Full fat milk per 2 litre,Euro,1.747
National Average Price,2014M10,Full fat milk per 2 litre,Euro,1.752
National Average Price,2014M11,Full fat milk per 2 litre,Euro,1.75
National Average Price,2014M12,Full fat milk per 2 litre,Euro,1.732
National Average Price,2015M01,Full fat milk per 2 litre,Euro,1.727
National Average Price,2015M02,Full fat milk per 2 litre,Euro,1.728
National Average Price,2015M03,Full fat milk per 2 litre,Euro,1.719
National Average Price,2015M04,Full fat milk per 2 litre,Euro,1.728
National Average Price,2015M05,Full fat milk per 2 litre,Euro,1.72
National Average Price,2015M06,Full fat milk per 2 litre,Euro,1.722
National Average Price,2015M07,Full fat milk per 2 litre,Euro,1.715
National Average Price,2015M08,Full fat milk per 2 litre,Euro,1.716
National Average Price,2015M09,Full fat milk per 2 litre,Euro,1.718
National Average Price,2015M10,Full fat milk per 2 litre,Euro,1.718
National Average Price,2015M11,Full fat milk per 2 litre,Euro,1.716
National Average Price,2015M12,Full fat milk per 2 litre,Euro,1.72
National Average Price,2016M01,Full fat milk per 2 litre,Euro,1.714
National Average Price,2016M02,Full fat milk per 2 litre,Euro,1.714
National Average Price,2016M03,Full fat milk per 2 litre,Euro,1.713
National Average Price,2016M04,Full fat milk per 2 litre,Euro,1.712
National Average Price,2016M05,Full fat milk per 2 litre,Euro,1.708
National Average Price,2016M06,Full fat milk per 2 litre,Euro,1.707
National Average Price,2016M07,Full fat milk per 2 litre,Euro,1.705
National Average Price,2016M08,Full fat milk per 2 litre,Euro,1.707
National Average Price,2016M09,Full fat milk per 2 litre,Euro,1.7
National Average Price,2016M10,Full fat milk per 2 litre,Euro,1.691
National Average Price,2016M11,Full fat milk per 2 litre,Euro,1.697
National Average Price,2016M12,Full fat milk per 2 litre,Euro,1.697
National Average Price,2017M01,Full fat milk per 2 litre,Euro,1.695
National Average Price,2017M02,Full fat milk per 2 litre,Euro,1.696
National Average Price,2017M03,Full fat milk per 2 litre,Euro,1.698
National Average Price,2017M04,Full fat milk per 2 litre,Euro,1.699
National Average Price,2017M05,Full fat milk per 2 litre,Euro,1.692
National Average Price,2017M06,Full fat milk per 2 litre,Euro,1.689
National Average Price,2017M07,Full fat milk per 2 litre,Euro,1.694
National Average Price,2017M08,Full fat milk per 2 litre,Euro,1.695
National Average Price,2017M09,Full fat milk per 2 litre,Euro,1.692
National Average Price,2017M10,Full fat milk per 2 litre,Euro,1.689
National Average Price,2017M11,Full fat milk per 2 litre,Euro,1.698
National Average Price,2017M12,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018M01,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018M02,Full fat milk per 2 litre,Euro,1.708
National Average Price,2018M03,Full fat milk per 2 litre,Euro,1.706
National Average Price,2018M04,Full fat milk per 2 litre,Euro,1.707
National Average Price,2018M05,Full fat milk per 2 litre,Euro,1.704
National Average Price,2018M06,Full fat milk per 2 litre,Euro,1.701
National Average Price,2018M07,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018M08,Full fat milk per 2 litre,Euro,1.699
National Average Price,2018M09,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018M10,Full fat milk per 2 litre,Euro,1.692
National Average Price,2018M11,Full fat milk per 2 litre,Euro,1.685
National Average Price,2018M12,Full fat milk per 2 litre,Euro,1.683
National Average Price,2019M01,Full fat milk per 2 litre,Euro,1.678
