Statistic,Month,Consumer Item,UNIT,VALUE
National Average Price,2011M12,Low fat milk per 1 litre,Euro,
National Average Price,2012M01,Low fat milk per 1 litre,Euro,1.055
National Average Price,2012M02,Low fat milk per 1 litre,Euro,1.05
National Average Price,2012M03,Low fat milk per 1 litre,Euro,1.052
National Average Price,2012M04,Low fat milk per 1 litre,Euro,1.053
National Average Price,2012M05,Low fat milk per 1 litre,Euro,1.052
National Average Price,2012M06,Low fat milk per 1 litre,Euro,1.049
National Average Price,2012M07,Low fat milk per 1 litre,Euro,1.055
National Average Price,2012M08,Low fat milk per 1 litre,Euro,1.05
National Average Price,2012M09,Low fat milk per 1 litre,Euro,1.051
National Average Price,2012M10,Low fat milk per 1 litre,Euro,1.052
National Average Price,2012M11,Low fat milk per 1 litre,Euro,1.05
National Average Price,2012M12,Low fat milk per 1 litre,Euro,1.056
National Average Price,2013M01,Low fat milk per 1 litre,Euro,1.05
National Average Price,2013M02,Low fat milk per 1 litre,Euro,1.046
National Average Price,2013M03,Low fat milk per 1 litre,Euro,1.047
National Average Price,2013M04,Low fat milk per 1 litre,Euro,1.049
National Average Price,2013M05,Low fat milk per 1 litre,Euro,1.042
National Average Price,2013M06,Low fat milk per 1 litre,Euro,1.077
National Average Price,2013M07,Low fat milk per 1 litre,Euro,1.081
National Average Price,2013M08,Low fat milk per 1 litre,Euro,1.078
National Average Price,2013M09,Low fat milk per 1 litre,Euro,1.08
National Average Price,2013M10,Low fat milk per 1 litre,Euro,1.082
National Average Price,2013M11,Low fat milk per 1 litre,Euro,1.072
National Average Price,2013M12,Low fat milk per 1 litre,Euro,1.057
National Average Price,2014M01,Low fat milk per 1 litre,Euro,1.05
National Average Price,2014M02,Low fat milk per 1 litre,Euro,1.054
National Average Price,2014M03,Low fat milk per 1 litre,Euro,1.057
National Average Price,2014M04,Low fat milk per 1 litre,Euro,1.054
National Average Price,2014M05,Low fat milk per 1 litre,Euro,1.051
National Average Price,2014M06,Low fat milk per 1 litre,Euro,1.051
National Average Price,2014M07,Low fat milk per 1 litre,Euro,1.055
National Average Price,2014M08,Low fat milk per 1 litre,Euro,1.057
National Average Price,2014M09,Low fat milk per 1 litre,Euro,1.054
