Statistic,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1975M01,Domestic,Million Litres,55.8
Intake of Cows Milk by Creameries and Pasteurisers,1975M02,Domestic,Million Litres,84.4
Intake of Cows Milk by Creameries and Pasteurisers,1975M03,Domestic,Million Litres,193.3
Intake of Cows Milk by Creameries and Pasteurisers,1975M04,Domestic,Million Litres,327.5
Intake of Cows Milk by Creameries and Pasteurisers,1975M05,Domestic,Million Litres,493.5
Intake of Cows Milk by Creameries and Pasteurisers,1975M06,Domestic,Million Litres,494.4
Intake of Cows Milk by Creameries and Pasteurisers,1975M07,Domestic,Million Litres,445.3
Intake of Cows Milk by Creameries and Pasteurisers,1975M08,Domestic,Million Litres,411.5
Intake of Cows Milk by Creameries and Pasteurisers,1975M09,Domestic,Million Litres,310.8
Intake of Cows Milk by Creameries and Pasteurisers,1975M10,Domestic,Million Litres,216.5
Intake of Cows Milk by Creameries and Pasteurisers,1975M11,Domestic,Million Litres,110.5
Intake of Cows Milk by Creameries and Pasteurisers,1975M12,Domestic,Million Litres,68.5
Intake of Cows Milk by Creameries and Pasteurisers,1976M01,Domestic,Million Litres,65.4
Intake of Cows Milk by Creameries and Pasteurisers,1976M02,Domestic,Million Litres,102.7
Intake of Cows Milk by Creameries and Pasteurisers,1976M03,Domestic,Million Litres,222.8
Intake of Cows Milk by Creameries and Pasteurisers,1976M04,Domestic,Million Litres,388.4
Intake of Cows Milk by Creameries and Pasteurisers,1976M05,Domestic,Million Litres,550.5
Intake of Cows Milk by Creameries and Pasteurisers,1976M06,Domestic,Million Litres,541.5
Intake of Cows Milk by Creameries and Pasteurisers,1976M07,Domestic,Million Litres,496.9
Intake of Cows Milk by Creameries and Pasteurisers,1976M08,Domestic,Million Litres,433.8
Intake of Cows Milk by Creameries and Pasteurisers,1976M09,Domestic,Million Litres,307.3
Intake of Cows Milk by Creameries and Pasteurisers,1976M10,Domestic,Million Litres,213.9
Intake of Cows Milk by Creameries and Pasteurisers,1976M11,Domestic,Million Litres,114.1
Intake of Cows Milk by Creameries and Pasteurisers,1976M12,Domestic,Million Litres,67.1
Intake of Cows Milk by Creameries and Pasteurisers,1977M01,Domestic,Million Litres,66.7
Intake of Cows Milk by Creameries and Pasteurisers,1977M02,Domestic,Million Litres,113.7
Intake of Cows Milk by Creameries and Pasteurisers,1977M03,Domestic,Million Litres,236.9
Intake of Cows Milk by Creameries and Pasteurisers,1977M04,Domestic,Million Litres,399.8
Intake of Cows Milk by Creameries and Pasteurisers,1977M05,Domestic,Million Litres,567.1
Intake of Cows Milk by Creameries and Pasteurisers,1977M06,Domestic,Million Litres,581.6
Intake of Cows Milk by Creameries and Pasteurisers,1977M07,Domestic,Million Litres,535.4
Intake of Cows Milk by Creameries and Pasteurisers,1977M08,Domestic,Million Litres,458.9
Intake of Cows Milk by Creameries and Pasteurisers,1977M09,Domestic,Million Litres,361.5
Intake of Cows Milk by Creameries and Pasteurisers,1977M10,Domestic,Million Litres,273.7
Intake of Cows Milk by Creameries and Pasteurisers,1977M11,Domestic,Million Litres,133.2
Intake of Cows Milk by Creameries and Pasteurisers,1977M12,Domestic,Million Litres,81
Intake of Cows Milk by Creameries and Pasteurisers,1978M01,Domestic,Million Litres,86.3
