Statistic,Month,UNIT,VALUE
Diesel price,2014M01,price index per month in euros,147.6
Diesel price,2014M02,price index per month in euros,146.7
Diesel price,2014M03,price index per month in euros,146
Diesel price,2014M04,price index per month in euros,147.1
Diesel price,2014M05,price index per month in euros,146.8
Diesel price,2014M06,price index per month in euros,146.8
Diesel price,2014M07,price index per month in euros,147.6
Diesel price,2014M08,price index per month in euros,146.6
Diesel price,2014M09,price index per month in euros,145.9
Diesel price,2014M10,price index per month in euros,144.6
Diesel price,2014M11,price index per month in euros,139.6
Diesel price,2014M12,price index per month in euros,134
Diesel price,2015M01,price index per month in euros,124.3
Diesel price,2015M02,price index per month in euros,122.4
Diesel price,2015M03,price index per month in euros,129.3
Diesel price,2015M04,price index per month in euros,130.5
Diesel price,2015M05,price index per month in euros,133.3
Diesel price,2015M06,price index per month in euros,133.2
Diesel price,2015M07,price index per month in euros,132.6
Diesel price,2015M08,price index per month in euros,128.8
Diesel price,2015M09,price index per month in euros,122
Diesel price,2015M10,price index per month in euros,122
Diesel price,2015M11,price index per month in euros,119.4
Diesel price,2015M12,price index per month in euros,118.2
Diesel price,2016M01,price index per month in euros,112.8
Diesel price,2016M02,price index per month in euros,105.4
Diesel price,2016M03,price index per month in euros,106.3
Diesel price,2016M04,price index per month in euros,111.1
Diesel price,2016M05,price index per month in euros,113.2
Diesel price,2016M06,price index per month in euros,117.2
Diesel price,2016M07,price index per month in euros,116.6
Diesel price,2016M08,price index per month in euros,114.3
Diesel price,2016M09,price index per month in euros,113.6
Diesel price,2016M10,price index per month in euros,117
Diesel price,2016M11,price index per month in euros,120.6
Diesel price,2016M12,price index per month in euros,121.9
Diesel price,2017M01,price index per month in euros,126.9
Diesel price,2017M02,price index per month in euros,126.4
Diesel price,2017M03,price index per month in euros,127.1
Diesel price,2017M04,price index per month in euros,126
Diesel price,2017M05,price index per month in euros,123.5
Diesel price,2017M06,price index per month in euros,122.2
Diesel price,2017M07,price index per month in euros,119.2
Diesel price,2017M08,price index per month in euros,119.7
Diesel price,2017M09,price index per month in euros,122
Diesel price,2017M10,price index per month in euros,123.4
Diesel price,2017M11,price index per month in euros,126.1
Diesel price,2017M12,price index per month in euros,127.1
Diesel price,2018M01,price index per month in euros,127.3
Diesel price,2018M02,price index per month in euros,127.7
Diesel price,2018M03,price index per month in euros,126.5
Diesel price,2018M04,price index per month in euros,127.1
Diesel price,2018M05,price index per month in euros,131
Diesel price,2018M06,price index per month in euros,137.8
Diesel price,2018M07,price index per month in euros,134.2
Diesel price,2018M08,price index per month in euros,135.8
Diesel price,2018M09,price index per month in euros,139.9
Diesel price,2018M10,price index per month in euros,141.9
Diesel price,2018M11,price index per month in euros,138.9
Diesel price,2018M12,price index per month in euros,131.9
Diesel price,2019M01,price index per month in euros,127.9
Diesel price,2019M02,price index per month in euros,129.8
Diesel price,2019M03,price index per month in euros,133
Diesel price,2019M04,price index per month in euros,137
Diesel price,2019M05,price index per month in euros,136.8
Diesel price,2019M06,price index per month in euros,133.4
Diesel price,2019M07,price index per month in euros,129.9
Diesel price,2019M08,price index per month in euros,131.5
Diesel price,2019M09,price index per month in euros,134.4
Diesel price,2019M10,price index per month in euros,133.9
Diesel price,2019M11,price index per month in euros,131.2
Diesel price,2019M12,price index per month in euros,131.4
Diesel price,2020M01,price index per month in euros,135.9
Diesel price,2020M02,price index per month in euros,133.4
Diesel price,2020M03,price index per month in euros,116.9
Diesel price,2020M04,price index per month in euros,116.9
Diesel price,2020M05,price index per month in euros,115.5
Diesel price,2020M06,price index per month in euros,113.9
Diesel price,2020M07,price index per month in euros,117.3
Diesel price,2020M08,price index per month in euros,118.5
Diesel price,2020M09,price index per month in euros,116.5
Diesel price,2020M10,price index per month in euros,118.5
Diesel price,2020M11,price index per month in euros,117.3
Diesel price,2020M12,price index per month in euros,119
Diesel price,2021M01,price index per month in euros,120.8
Diesel price,2021M02,price index per month in euros,124.9
Diesel price,2021M03,price index per month in euros,129.8
Diesel price,2021M04,price index per month in euros,133.8
Diesel price,2021M05,price index per month in euros,138.3
Diesel price,2021M06,price index per month in euros,140.1
Diesel price,2021M07,price index per month in euros,143.5
Diesel price,2021M08,price index per month in euros,144.4
Diesel price,2021M09,price index per month in euros,144.9
Diesel price,2021M10,price index per month in euros,156.625
Diesel price,2021M11,price index per month in euros,163.3
Diesel price,2021M12,price index per month in euros,161.9
Diesel price,2022M01,price index per month in euros,166.1
Diesel price,2022M02,price index per month in euros,167.6
Diesel price,2022M03,price index per month in euros,190.5
