timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-05-12 18:23:35+00:00,"b""@MrC_AndTheNews @NoobishlyF @sophielouisecc Energy bills have gone up 54% since April. We are the only country in Europe not to cap this rise.... that's pathetic. People lacking any empathy for those struggling... is pathetic.""",b'DogAteMyWookie',[],"London, UK | GT: Satans Puppet",2182,0,0
2022-05-12 18:06:48+00:00,"b""@jwojc The CAP, forged after the 2nd World War with the intention of promoting food self-sufficiency in Europe, has subsidized increasingly industrialised farming by big co's - as you said yourself! You choose what to subsidize, and CAP massively distorts the market towards meat. https://t.co/gTaRjycp3n""",b'vegardbeyer',[],Berlin,255,0,0
2022-05-12 17:19:20+00:00,b'4 titles in 5 and signing the best young number 9 in Europe. We need salary cap like NBA and draft system \xf0\x9f\x98\x82 https://t.co/D8hLx0dNNR',b'respawnedtarga1',[],,13105,5,9
2022-05-12 16:59:05+00:00,"b'@GcRevenge @MikeAmuck @JamesHemmingwa5 The song Yankee Doodle was meant to be an insult to how ""backward"" colonials were...Macaroni was a well known hat designer in Europe, ""stuck a feather in his cap and called it Macaroni""....  So we killed them...and sang the song on our way to do so.... https://t.co/H4YXurvP5g'",b'indiucky',[],On the banks of the Ohio...,1972,2,3
2022-05-12 16:02:44+00:00,"b'Sunak is talking like we expect him to solve the global economy! No all we want is to be on par with the rest of Europe and not have our Energy costs go up 54%! Why are they all lying pricks! \xf0\x9f\x98\xa1 cap the raise at 4%, have a windfall tax on their obscene profits @RishiSunak'",b'SkarlKarl',[],,288,1,2
2022-05-12 15:22:02+00:00,b'i have heard some insane rumor that  Biden is being egged on by the likes of #Fauxcahantas to price cap nat gas to US  customers and then sell at  highest price possible to Europe and Asia https://t.co/I1TxbXvPWi',b'GardinerIsland',['Fauxcahantas'],"Tobaccolot Bay, Hamptons",704,0,3
2022-05-12 15:20:37+00:00,b'Our #astonvilla Champions of Europe #commemorative #cap is available to buy from https://t.co/QnE2J8fJOb  \xc2\xa339.98 delivered \xe2\xa0\x80 #football #memorabilia\xe2\xa0\x80 #sportingmemoriesmemorabilia \xe2\xa0\x80 #villa #afc #avfc #villapark #upthevilla #astonvillafc https://t.co/sJjPgoy9GJ',b'SM_Memorabilia',"['astonvilla', 'commemorative', 'cap', 'football', 'memorabilia', 'sportingmemoriesmemorabilia', 'villa', 'afc', 'avfc', 'villapark', 'upthevilla', 'astonvillafc']","Glasgow, Scotland",376,0,0
2022-05-12 14:56:07+00:00,"b'The Norge was a semi-rigid Italian-built airship that carried out the first verified trip of any kind to the North Pole, an overflight on 12 May 1926. It was also the first aircraft to fly over the polar ice cap between Europe and America. https://t.co/zh5aqDsV4B https://t.co/XhkVWbvfwl'",b'wyvernltd',[],Worldwide,1781,0,0
2022-05-12 14:03:51+00:00,b'Spain will impose a natural gas price cap of \xe2\x82\xac40 per MWh from tomorrow until the end of the year. Spanish and European benchmarks MIBGAS and Gasunie TTF are trading at \xe2\x82\xac80 and \xe2\x82\xac106 per MWh. #naturalgas #energycrisis #quantitativeenergyeasing https://t.co/rHVfA7PPXC',b'jlishawa',"['naturalgas', 'energycrisis', 'quantitativeenergyeasing']","London, United Kingdom",195,0,0
2022-05-12 14:03:08+00:00,"b""Gazprom cuts gas to Europe, Spain and Portugal institutes natural gas price cap  so lets see ...less supply and the govt  answer is to put price caps on it   these people are so stupid they don't  know whether Abe Lincoln is dead or in hiding""",b'GardinerIsland',[],"Tobaccolot Bay, Hamptons",704,1,8
2022-05-12 13:49:27+00:00,b'By permission from mummy. https://t.co/WTcJfEzeaD https://t.co/UC5DhzgnVX https://t.co/JIAp03xbNa',b'955196',[],United Kingdom,297,0,0
2022-05-12 13:48:19+00:00,"b""We are delighted to announce that we has been shortlisted at the @IRMagazine Awards - Europe 2022, for 'Best ESG Materiality Reporting (small cap)' Congratulations to the team!  Learn more here: https://t.co/mW6CKcuLwp   #ESGreporting #investorrelations #ESG #forasmarterfuture https://t.co/ynrlHnjRev""",b'ForesightGroup',"['ESGreporting', 'investorrelations', 'ESG', 'forasmarterfuture']",UK,2156,1,1
2022-05-12 13:41:19+00:00,"b'$SHEL $EQNR $GLPEF - Gazprom cuts gas to Europe, Spain and Portugal institutes natural gas price cap https://t.co/pvpItBA6Yb'",b'MarketCurrents',[],New York,82146,1,1
2022-05-12 12:41:23+00:00,b'Spain &amp; Portugal impose a \xe2\x82\xac40/MWh price cap on natgas used to produce electricity. The European benchmark TTF gas trades at \xe2\x82\xac95/MWh.  Not sure how this is implemented to keep Asian arb open on LNG. I guess subsidies by respective Govs to utilities.  https://t.co/a8Dn9HVb9y',b'BurggrabenH',[],"Zug, Switzerland",31131,12,66
2022-05-12 12:27:23+00:00,b'@melvin_chuks @Matt83278765 @Katsumirei90 @will0ben11 @pawanKu52574141 @HannaLiubakova You know \xf0\x9f\x87\xb7\xf0\x9f\x87\xba was with the Nazis for the first part of the war? Hitler and Stalin we\xe2\x80\x99re going to carve up europe between them but Stalin pushed too far into Hitlers territory so\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa attacked Russia. Stalin then came cap in hand to the allies.Otherwise he would have stuck with Hitler',b'RhiannonSussex',[],,17,0,0
