Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1980M01,Granular Superphosphate (16% P),Euro per Tonne,160
Fertiliser Price,1980M02,Granular Superphosphate (16% P),Euro per Tonne,162
Fertiliser Price,1980M03,Granular Superphosphate (16% P),Euro per Tonne,168
Fertiliser Price,1980M04,Granular Superphosphate (16% P),Euro per Tonne,168
Fertiliser Price,1980M05,Granular Superphosphate (16% P),Euro per Tonne,170
Fertiliser Price,1980M06,Granular Superphosphate (16% P),Euro per Tonne,171
Fertiliser Price,1980M07,Granular Superphosphate (16% P),Euro per Tonne,175
Fertiliser Price,1980M08,Granular Superphosphate (16% P),Euro per Tonne,175
Fertiliser Price,1980M09,Granular Superphosphate (16% P),Euro per Tonne,178
Fertiliser Price,1980M10,Granular Superphosphate (16% P),Euro per Tonne,181
Fertiliser Price,1980M11,Granular Superphosphate (16% P),Euro per Tonne,191
Fertiliser Price,1980M12,Granular Superphosphate (16% P),Euro per Tonne,195
Fertiliser Price,1981M01,Granular Superphosphate (16% P),Euro per Tonne,197
Fertiliser Price,1981M02,Granular Superphosphate (16% P),Euro per Tonne,197
Fertiliser Price,1981M03,Granular Superphosphate (16% P),Euro per Tonne,199
Fertiliser Price,1981M04,Granular Superphosphate (16% P),Euro per Tonne,203
Fertiliser Price,1981M05,Granular Superphosphate (16% P),Euro per Tonne,204
Fertiliser Price,1981M06,Granular Superphosphate (16% P),Euro per Tonne,205
Fertiliser Price,1981M07,Granular Superphosphate (16% P),Euro per Tonne,206
Fertiliser Price,1981M08,Granular Superphosphate (16% P),Euro per Tonne,207
Fertiliser Price,1981M09,Granular Superphosphate (16% P),Euro per Tonne,214
Fertiliser Price,1981M10,Granular Superphosphate (16% P),Euro per Tonne,216
Fertiliser Price,1981M11,Granular Superphosphate (16% P),Euro per Tonne,223
Fertiliser Price,1981M12,Granular Superphosphate (16% P),Euro per Tonne,219
Fertiliser Price,1982M01,Granular Superphosphate (16% P),Euro per Tonne,225
Fertiliser Price,1982M02,Granular Superphosphate (16% P),Euro per Tonne,233
Fertiliser Price,1982M03,Granular Superphosphate (16% P),Euro per Tonne,232
Fertiliser Price,1982M04,Granular Superphosphate (16% P),Euro per Tonne,233
Fertiliser Price,1982M05,Granular Superphosphate (16% P),Euro per Tonne,234
Fertiliser Price,1982M06,Granular Superphosphate (16% P),Euro per Tonne,234
Fertiliser Price,1982M07,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1982M08,Granular Superphosphate (16% P),Euro per Tonne,235
Fertiliser Price,1982M09,Granular Superphosphate (16% P),Euro per Tonne,236
Fertiliser Price,1982M10,Granular Superphosphate (16% P),Euro per Tonne,234
Fertiliser Price,1982M11,Granular Superphosphate (16% P),Euro per Tonne,234
Fertiliser Price,1982M12,Granular Superphosphate (16% P),Euro per Tonne,234
Fertiliser Price,1983M01,Granular Superphosphate (16% P),Euro per Tonne,239
Fertiliser Price,1983M02,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1983M03,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1983M04,Granular Superphosphate (16% P),Euro per Tonne,242
Fertiliser Price,1983M05,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1983M06,Granular Superphosphate (16% P),Euro per Tonne,243
Fertiliser Price,1983M07,Granular Superphosphate (16% P),Euro per Tonne,244
Fertiliser Price,1983M08,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1983M09,Granular Superphosphate (16% P),Euro per Tonne,243
Fertiliser Price,1983M10,Granular Superphosphate (16% P),Euro per Tonne,240
Fertiliser Price,1983M11,Granular Superphosphate (16% P),Euro per Tonne,244
Fertiliser Price,1983M12,Granular Superphosphate (16% P),Euro per Tonne,247
Fertiliser Price,1984M01,Granular Superphosphate (16% P),Euro per Tonne,249
Fertiliser Price,1984M02,Granular Superphosphate (16% P),Euro per Tonne,257
Fertiliser Price,1984M03,Granular Superphosphate (16% P),Euro per Tonne,257
Fertiliser Price,1984M04,Granular Superphosphate (16% P),Euro per Tonne,264
Fertiliser Price,1984M05,Granular Superphosphate (16% P),Euro per Tonne,263
Fertiliser Price,1984M06,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,1984M07,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,1984M08,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,1984M09,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,1984M10,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,1984M11,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,1984M12,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,1985M01,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,1985M02,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,1985M03,Granular Superphosphate (16% P),Euro per Tonne,282
Fertiliser Price,1985M04,Granular Superphosphate (16% P),Euro per Tonne,285
Fertiliser Price,1985M05,Granular Superphosphate (16% P),Euro per Tonne,286
Fertiliser Price,1985M06,Granular Superphosphate (16% P),Euro per Tonne,284
Fertiliser Price,1985M07,Granular Superphosphate (16% P),Euro per Tonne,286
Fertiliser Price,1985M08,Granular Superphosphate (16% P),Euro per Tonne,286
