Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1980M01,Urea (46% N),Euro per Tonne,144
Fertiliser Price,1980M02,Urea (46% N),Euro per Tonne,147
Fertiliser Price,1980M03,Urea (46% N),Euro per Tonne,159
Fertiliser Price,1980M04,Urea (46% N),Euro per Tonne,163
Fertiliser Price,1980M05,Urea (46% N),Euro per Tonne,164
Fertiliser Price,1980M06,Urea (46% N),Euro per Tonne,166
Fertiliser Price,1980M07,Urea (46% N),Euro per Tonne,166
Fertiliser Price,1980M08,Urea (46% N),Euro per Tonne,167
Fertiliser Price,1980M09,Urea (46% N),Euro per Tonne,166
Fertiliser Price,1980M10,Urea (46% N),Euro per Tonne,167
Fertiliser Price,1980M11,Urea (46% N),Euro per Tonne,166
Fertiliser Price,1980M12,Urea (46% N),Euro per Tonne,167
Fertiliser Price,1981M01,Urea (46% N),Euro per Tonne,169
Fertiliser Price,1981M02,Urea (46% N),Euro per Tonne,175
Fertiliser Price,1981M03,Urea (46% N),Euro per Tonne,181
Fertiliser Price,1981M04,Urea (46% N),Euro per Tonne,185
Fertiliser Price,1981M05,Urea (46% N),Euro per Tonne,186
Fertiliser Price,1981M06,Urea (46% N),Euro per Tonne,187
Fertiliser Price,1981M07,Urea (46% N),Euro per Tonne,187
Fertiliser Price,1981M08,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1981M09,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1981M10,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1981M11,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1981M12,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1982M01,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1982M02,Urea (46% N),Euro per Tonne,192
Fertiliser Price,1982M03,Urea (46% N),Euro per Tonne,198
Fertiliser Price,1982M04,Urea (46% N),Euro per Tonne,200
Fertiliser Price,1982M05,Urea (46% N),Euro per Tonne,201
