Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1980M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,121
Fertiliser Price,1980M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1980M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,127
Fertiliser Price,1980M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,128
Fertiliser Price,1980M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,129
Fertiliser Price,1980M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,130
Fertiliser Price,1980M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,130
Fertiliser Price,1980M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,130
Fertiliser Price,1980M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1980M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1980M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1980M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
Fertiliser Price,1981M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,127
Fertiliser Price,1981M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,134
Fertiliser Price,1981M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1981M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1981M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1981M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,146
Fertiliser Price,1981M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,146
Fertiliser Price,1981M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1981M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1981M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1981M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,146
Fertiliser Price,1981M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1982M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,148
Fertiliser Price,1982M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,151
Fertiliser Price,1982M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,1982M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,160
Fertiliser Price,1982M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,162
Fertiliser Price,1982M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,162
Fertiliser Price,1982M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,163
Fertiliser Price,1982M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,163
Fertiliser Price,1982M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,158
Fertiliser Price,1982M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,155
Fertiliser Price,1982M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
Fertiliser Price,1982M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,155
Fertiliser Price,1983M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,156
Fertiliser Price,1983M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,159
Fertiliser Price,1983M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,161
Fertiliser Price,1983M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,165
Fertiliser Price,1983M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,166
Fertiliser Price,1983M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,166
Fertiliser Price,1983M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,162
Fertiliser Price,1983M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,161
Fertiliser Price,1983M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,159
Fertiliser Price,1983M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1983M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1983M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1984M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,147
Fertiliser Price,1984M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,152
Fertiliser Price,1984M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
Fertiliser Price,1984M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,163
Fertiliser Price,1984M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,165
Fertiliser Price,1984M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,167
Fertiliser Price,1984M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,168
Fertiliser Price,1984M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,168
Fertiliser Price,1984M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,168
Fertiliser Price,1984M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,168
Fertiliser Price,1984M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,169
Fertiliser Price,1984M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,170
Fertiliser Price,1985M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,173
Fertiliser Price,1985M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,177
Fertiliser Price,1985M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,181
Fertiliser Price,1985M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,183
Fertiliser Price,1985M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,183
Fertiliser Price,1985M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,182
Fertiliser Price,1985M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,182
Fertiliser Price,1985M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,182
Fertiliser Price,1985M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,182
Fertiliser Price,1985M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,176
Fertiliser Price,1985M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,171
Fertiliser Price,1985M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,170
Fertiliser Price,1986M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,170
