Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1980M01,Muriate of Potash (50% K),Euro per Tonne,109
Fertiliser Price,1980M02,Muriate of Potash (50% K),Euro per Tonne,109
Fertiliser Price,1980M03,Muriate of Potash (50% K),Euro per Tonne,114
Fertiliser Price,1980M04,Muriate of Potash (50% K),Euro per Tonne,114
Fertiliser Price,1980M05,Muriate of Potash (50% K),Euro per Tonne,114
Fertiliser Price,1980M06,Muriate of Potash (50% K),Euro per Tonne,114
Fertiliser Price,1980M07,Muriate of Potash (50% K),Euro per Tonne,115
Fertiliser Price,1980M08,Muriate of Potash (50% K),Euro per Tonne,115
Fertiliser Price,1980M09,Muriate of Potash (50% K),Euro per Tonne,118
Fertiliser Price,1980M10,Muriate of Potash (50% K),Euro per Tonne,117
Fertiliser Price,1980M11,Muriate of Potash (50% K),Euro per Tonne,121
Fertiliser Price,1980M12,Muriate of Potash (50% K),Euro per Tonne,121
Fertiliser Price,1981M01,Muriate of Potash (50% K),Euro per Tonne,127
Fertiliser Price,1981M02,Muriate of Potash (50% K),Euro per Tonne,132
Fertiliser Price,1981M03,Muriate of Potash (50% K),Euro per Tonne,134
Fertiliser Price,1981M04,Muriate of Potash (50% K),Euro per Tonne,136
Fertiliser Price,1981M05,Muriate of Potash (50% K),Euro per Tonne,136
Fertiliser Price,1981M06,Muriate of Potash (50% K),Euro per Tonne,135
Fertiliser Price,1981M07,Muriate of Potash (50% K),Euro per Tonne,138
Fertiliser Price,1981M08,Muriate of Potash (50% K),Euro per Tonne,139
Fertiliser Price,1981M09,Muriate of Potash (50% K),Euro per Tonne,145
Fertiliser Price,1981M10,Muriate of Potash (50% K),Euro per Tonne,145
Fertiliser Price,1981M11,Muriate of Potash (50% K),Euro per Tonne,146
Fertiliser Price,1981M12,Muriate of Potash (50% K),Euro per Tonne,144
Fertiliser Price,1982M01,Muriate of Potash (50% K),Euro per Tonne,145
Fertiliser Price,1982M02,Muriate of Potash (50% K),Euro per Tonne,146
Fertiliser Price,1982M03,Muriate of Potash (50% K),Euro per Tonne,148
Fertiliser Price,1982M04,Muriate of Potash (50% K),Euro per Tonne,150
