Statistic,Month,Type of Cattle,UNIT,VALUE
Cattle Price per Head,1976M01,Heifers 400-449kg,Euro,309.22
Cattle Price per Head,1976M02,Heifers 400-449kg,Euro,309.89
Cattle Price per Head,1976M03,Heifers 400-449kg,Euro,333.41
Cattle Price per Head,1976M04,Heifers 400-449kg,Euro,353.28
Cattle Price per Head,1976M05,Heifers 400-449kg,Euro,351.32
Cattle Price per Head,1976M06,Heifers 400-449kg,Euro,335.64
Cattle Price per Head,1976M07,Heifers 400-449kg,Euro,326.08
Cattle Price per Head,1976M08,Heifers 400-449kg,Euro,310.73
Cattle Price per Head,1976M09,Heifers 400-449kg,Euro,309.59
Cattle Price per Head,1976M10,Heifers 400-449kg,Euro,303.84
Cattle Price per Head,1976M11,Heifers 400-449kg,Euro,298.31
Cattle Price per Head,1976M12,Heifers 400-449kg,Euro,312.55
Cattle Price per Head,1977M01,Heifers 400-449kg,Euro,333.5
Cattle Price per Head,1977M02,Heifers 400-449kg,Euro,358.79
Cattle Price per Head,1977M03,Heifers 400-449kg,Euro,383.92
Cattle Price per Head,1977M04,Heifers 400-449kg,Euro,397.2
Cattle Price per Head,1977M05,Heifers 400-449kg,Euro,410.3
Cattle Price per Head,1977M06,Heifers 400-449kg,Euro,392.74
Cattle Price per Head,1977M07,Heifers 400-449kg,Euro,378.97
Cattle Price per Head,1977M08,Heifers 400-449kg,Euro,377.45
Cattle Price per Head,1977M09,Heifers 400-449kg,Euro,377.66
Cattle Price per Head,1977M10,Heifers 400-449kg,Euro,368.07
Cattle Price per Head,1977M11,Heifers 400-449kg,Euro,380.06
Cattle Price per Head,1977M12,Heifers 400-449kg,Euro,376.86
Cattle Price per Head,1978M01,Heifers 400-449kg,Euro,419.83
Cattle Price per Head,1978M02,Heifers 400-449kg,Euro,420.68
Cattle Price per Head,1978M03,Heifers 400-449kg,Euro,428.18
Cattle Price per Head,1978M04,Heifers 400-449kg,Euro,437.3
Cattle Price per Head,1978M05,Heifers 400-449kg,Euro,474.18
Cattle Price per Head,1978M06,Heifers 400-449kg,Euro,457.4
Cattle Price per Head,1978M07,Heifers 400-449kg,Euro,425.32
Cattle Price per Head,1978M08,Heifers 400-449kg,Euro,406.35
Cattle Price per Head,1978M09,Heifers 400-449kg,Euro,377.42
Cattle Price per Head,1978M10,Heifers 400-449kg,Euro,364.64
Cattle Price per Head,1978M11,Heifers 400-449kg,Euro,344.95
Cattle Price per Head,1978M12,Heifers 400-449kg,Euro,357.51
Cattle Price per Head,1979M01,Heifers 400-449kg,Euro,377.67
Cattle Price per Head,1979M02,Heifers 400-449kg,Euro,370.41
Cattle Price per Head,1979M03,Heifers 400-449kg,Euro,405.05
Cattle Price per Head,1979M04,Heifers 400-449kg,Euro,424.26
Cattle Price per Head,1979M05,Heifers 400-449kg,Euro,416.83
Cattle Price per Head,1979M06,Heifers 400-449kg,Euro,401.77
Cattle Price per Head,1979M07,Heifers 400-449kg,Euro,375.93
Cattle Price per Head,1979M08,Heifers 400-449kg,Euro,363.22
Cattle Price per Head,1979M09,Heifers 400-449kg,Euro,365.16
Cattle Price per Head,1979M10,Heifers 400-449kg,Euro,360.38
Cattle Price per Head,1979M11,Heifers 400-449kg,Euro,368.91
Cattle Price per Head,1979M12,Heifers 400-449kg,Euro,398.58
Cattle Price per Head,1980M01,Heifers 400-449kg,Euro,459.23
Cattle Price per Head,1980M02,Heifers 400-449kg,Euro,465.73
Cattle Price per Head,1980M03,Heifers 400-449kg,Euro,479.4
Cattle Price per Head,1980M04,Heifers 400-449kg,Euro,509.03
Cattle Price per Head,1980M05,Heifers 400-449kg,Euro,487.73
Cattle Price per Head,1980M06,Heifers 400-449kg,Euro,481.65
Cattle Price per Head,1980M07,Heifers 400-449kg,Euro,479.3
Cattle Price per Head,1980M08,Heifers 400-449kg,Euro,480.06
Cattle Price per Head,1980M09,Heifers 400-449kg,Euro,475.59
Cattle Price per Head,1980M10,Heifers 400-449kg,Euro,471.57
Cattle Price per Head,1980M11,Heifers 400-449kg,Euro,484.16
Cattle Price per Head,1980M12,Heifers 400-449kg,Euro,514.84
Cattle Price per Head,1981M01,Heifers 400-449kg,Euro,549.31
Cattle Price per Head,1981M02,Heifers 400-449kg,Euro,547.73
Cattle Price per Head,1981M03,Heifers 400-449kg,Euro,561.06
Cattle Price per Head,1981M04,Heifers 400-449kg,Euro,564.51
Cattle Price per Head,1981M05,Heifers 400-449kg,Euro,548.18
Cattle Price per Head,1981M06,Heifers 400-449kg,Euro,544.76
Cattle Price per Head,1981M07,Heifers 400-449kg,Euro,512.17
Cattle Price per Head,1981M08,Heifers 400-449kg,Euro,507.79
Cattle Price per Head,1981M09,Heifers 400-449kg,Euro,513.29
Cattle Price per Head,1981M10,Heifers 400-449kg,Euro,500.1
Cattle Price per Head,1981M11,Heifers 400-449kg,Euro,496.94
Cattle Price per Head,1981M12,Heifers 400-449kg,Euro,496.89
Cattle Price per Head,1982M01,Heifers 400-449kg,Euro,524.25
Cattle Price per Head,1982M02,Heifers 400-449kg,Euro,521.32
Cattle Price per Head,1982M03,Heifers 400-449kg,Euro,536.27
Cattle Price per Head,1982M04,Heifers 400-449kg,Euro,539.45
Cattle Price per Head,1982M05,Heifers 400-449kg,Euro,560.03
Cattle Price per Head,1982M06,Heifers 400-449kg,Euro,555.08
Cattle Price per Head,1982M07,Heifers 400-449kg,Euro,528.78
Cattle Price per Head,1982M08,Heifers 400-449kg,Euro,527.97
Cattle Price per Head,1982M09,Heifers 400-449kg,Euro,534.58
Cattle Price per Head,1982M10,Heifers 400-449kg,Euro,516.34
Cattle Price per Head,1982M11,Heifers 400-449kg,Euro,513.39
Cattle Price per Head,1982M12,Heifers 400-449kg,Euro,521.79
Cattle Price per Head,1983M01,Heifers 400-449kg,Euro,544.25
Cattle Price per Head,1983M02,Heifers 400-449kg,Euro,563.76
Cattle Price per Head,1983M03,Heifers 400-449kg,Euro,593.23
Cattle Price per Head,1983M04,Heifers 400-449kg,Euro,617.22
Cattle Price per Head,1983M05,Heifers 400-449kg,Euro,617.75
Cattle Price per Head,1983M06,Heifers 400-449kg,Euro,577.78
Cattle Price per Head,1983M07,Heifers 400-449kg,Euro,539.8
Cattle Price per Head,1983M08,Heifers 400-449kg,Euro,550.99
Cattle Price per Head,1983M09,Heifers 400-449kg,Euro,530.15
Cattle Price per Head,1983M10,Heifers 400-449kg,Euro,525.54
Cattle Price per Head,1983M11,Heifers 400-449kg,Euro,527.17
Cattle Price per Head,1983M12,Heifers 400-449kg,Euro,545.14
Cattle Price per Head,1984M01,Heifers 400-449kg,Euro,575.91
Cattle Price per Head,1984M02,Heifers 400-449kg,Euro,566.99
Cattle Price per Head,1984M03,Heifers 400-449kg,Euro,578.95
Cattle Price per Head,1984M04,Heifers 400-449kg,Euro,592.82
Cattle Price per Head,1984M05,Heifers 400-449kg,Euro,589.31
Cattle Price per Head,1984M06,Heifers 400-449kg,Euro,568.02
Cattle Price per Head,1984M07,Heifers 400-449kg,Euro,558.43
Cattle Price per Head,1984M08,Heifers 400-449kg,Euro,556.86
Cattle Price per Head,1984M09,Heifers 400-449kg,Euro,511.46
Cattle Price per Head,1984M10,Heifers 400-449kg,Euro,522.15
Cattle Price per Head,1984M11,Heifers 400-449kg,Euro,527.33
Cattle Price per Head,1984M12,Heifers 400-449kg,Euro,528.99
Cattle Price per Head,1985M01,Heifers 400-449kg,Euro,544.91
Cattle Price per Head,1985M02,Heifers 400-449kg,Euro,547.78
Cattle Price per Head,1985M03,Heifers 400-449kg,Euro,567.92
Cattle Price per Head,1985M04,Heifers 400-449kg,Euro,568.37
Cattle Price per Head,1985M05,Heifers 400-449kg,Euro,588.88
Cattle Price per Head,1985M06,Heifers 400-449kg,Euro,556.46
Cattle Price per Head,1985M07,Heifers 400-449kg,Euro,543.52
Cattle Price per Head,1985M08,Heifers 400-449kg,Euro,523.18
Cattle Price per Head,1985M09,Heifers 400-449kg,Euro,513.18
Cattle Price per Head,1985M10,Heifers 400-449kg,Euro,513.35
Cattle Price per Head,1985M11,Heifers 400-449kg,Euro,520.41
Cattle Price per Head,1985M12,Heifers 400-449kg,Euro,540.41
Cattle Price per Head,1986M01,Heifers 400-449kg,Euro,562.72
Cattle Price per Head,1986M02,Heifers 400-449kg,Euro,555.65
Cattle Price per Head,1986M03,Heifers 400-449kg,Euro,577.97
Cattle Price per Head,1986M04,Heifers 400-449kg,Euro,580.83
Cattle Price per Head,1986M05,Heifers 400-449kg,Euro,588.55
Cattle Price per Head,1986M06,Heifers 400-449kg,Euro,572.13
Cattle Price per Head,1986M07,Heifers 400-449kg,Euro,572.37
Cattle Price per Head,1986M08,Heifers 400-449kg,Euro,581.7
