Month,Labour cost
2010M01,52.87
2010M02,52.87
2010M03,52.87
2010M04,52.87
2010M05,52.87
2010M06,52.87
2010M07,52.87
2010M08,52.87
2010M09,52.87
2010M10,52.87
2010M11,52.87
2010M12,52.87
2011M01,52.87
2011M02,52.87
2011M03,52.87
2011M04,52.87
2011M05,52.87
2011M06,52.87
2011M07,52.87
2011M08,52.87
2011M09,52.87
2011M10,52.87
2011M11,52.87
2011M12,52.87
2012M01,52.87
2012M02,52.87
2012M03,52.87
2012M04,52.87
2012M05,52.87
2012M06,52.87
2012M07,52.87
2012M08,52.87
2012M09,52.87
2012M10,52.87
2012M11,52.87
2012M12,52.87
2013M01,52.87
2013M02,52.87
2013M03,52.87
2013M04,52.87
2013M05,52.87
2013M06,52.87
2013M07,52.87
2013M08,52.87
2013M09,52.87
2013M10,52.87
2013M11,52.87
2013M12,52.87
2014M01,52.87
2014M02,52.87
2014M03,52.87
2014M04,52.87
2014M05,52.87
2014M06,52.87
2014M07,52.87
2014M08,52.87
2014M09,52.87
2014M10,52.87
2014M11,52.87
2014M12,52.87
2015M01,62.50
2015M02,62.50
2015M03,62.50
2015M04,62.50
2015M05,62.50
2015M06,62.50
2015M07,62.50
2015M08,62.50
2015M09,62.50
2015M10,62.50
2015M11,62.50
2015M12,62.50
2016M01,62.50
2016M02,62.50
2016M03,62.50
2016M04,62.50
2016M05,62.50
2016M06,62.50
2016M07,62.50
2016M08,62.50
2016M09,62.50
2016M10,62.50
2016M11,62.50
2016M12,62.50
2017M01,62.50
2017M02,62.50
2017M03,62.50
2017M04,62.50
2017M05,62.50
2017M06,62.50
2017M07,62.50
2017M08,62.50
2017M09,62.50
2017M10,62.50
2017M11,62.50
2017M12,62.50
2018M01,62.50
2018M02,62.50
2018M03,62.50
2018M04,62.50
2018M05,62.50
2018M06,62.50
2018M07,62.50
2018M08,62.50
2018M09,62.50
2018M10,62.50
2018M11,62.50
2018M12,62.50
2019M01,62.50
2019M02,62.50
2019M03,62.50
2019M04,62.50
2019M05,62.50
2019M06,62.50
2019M07,62.50
2019M08,62.50
2019M09,62.50
2019M10,62.50
2019M11,62.50
2019M12,62.50
2020M01,62.50
2020M02,62.50
2020M03,62.50
2020M04,62.50
2020M05,62.50
2020M06,62.50
2020M07,62.50
2020M08,62.50
2020M09,62.50
2020M10,62.50
2020M11,62.50
2020M12,62.50
2021M01,93.60
2021M02,93.60
2021M03,93.60
2021M04,93.60
2021M05,93.60
2021M06,93.60
2021M07,93.60
2021M08,93.60
2021M09,93.60
2021M10,93.60
2021M11,93.60
2021M12,93.60
2022M01,93.60
2022M02,93.60
