Statistic,Month,Consumer Item,UNIT,Consumer price index
National Average Price,2015M01,Price index 1L,price index,125
National Average Price,2015M02,Price index 1L,price index,125.7
National Average Price,2015M03,Price index 1L,price index,126
National Average Price,2015M04,Price index 1L,price index,126.6
National Average Price,2015M05,Price index 1L,price index,127.3
National Average Price,2015M06,Price index 1L,price index,128.2
National Average Price,2015M07,Price index 1L,price index,128.3
National Average Price,2015M08,Price index 1L,price index,128.5
National Average Price,2015M09,Price index 1L,price index,128.9
National Average Price,2015M10,Price index 1L,price index,129.1
National Average Price,2015M11,Price index 1L,price index,129.2
National Average Price,2015M12,Price index 1L,price index,129.4
National Average Price,2016M01,Price index 1L,price index,129.9
National Average Price,2016M02,Price index 1L,price index,130.3
National Average Price,2016M03,Price index 1L,price index,130.2
National Average Price,2016M04,Price index 1L,price index,130.9
National Average Price,2016M05,Price index 1L,price index,131.7
National Average Price,2016M06,Price index 1L,price index,132.6
National Average Price,2016M07,Price index 1L,price index,133.5
National Average Price,2016M08,Price index 1L,price index,134.1
National Average Price,2016M09,Price index 1L,price index,134.4
National Average Price,2016M10,Price index 1L,price index,134.8
National Average Price,2016M11,Price index 1L,price index,135
National Average Price,2016M12,Price index 1L,price index,135.1
National Average Price,2017M01,Price index 1L,price index,135.4
National Average Price,2017M02,Price index 1L,price index,135.8
National Average Price,2017M03,Price index 1L,price index,136.3
National Average Price,2017M04,Price index 1L,price index,137.2
National Average Price,2017M05,Price index 1L,price index,137.7
National Average Price,2017M06,Price index 1L,price index,138.1
National Average Price,2017M07,Price index 1L,price index,138.5
National Average Price,2017M08,Price index 1L,price index,139
National Average Price,2017M09,Price index 1L,price index,139.6
National Average Price,2017M10,Price index 1L,price index,140.6
National Average Price,2017M11,Price index 1L,price index,140.8
National Average Price,2017M12,Price index 1L,price index,141
National Average Price,2018M01,Price index 1L,price index,141.1
National Average Price,2018M02,Price index 1L,price index,140.9
National Average Price,2018M03,Price index 1L,price index,141.2
National Average Price,2018M04,Price index 1L,price index,141.6
National Average Price,2018M05,Price index 1L,price index,142.1
National Average Price,2018M06,Price index 1L,price index,142.3
National Average Price,2018M07,Price index 1L,price index,142.5
National Average Price,2018M08,Price index 1L,price index,142.6
National Average Price,2018M09,Price index 1L,price index,142.9
National Average Price,2018M10,Price index 1L,price index,141.8
National Average Price,2018M11,Price index 1L,price index,141.8
National Average Price,2018M12,Price index 1L,price index,142.1
National Average Price,2019M01,Price index 1L,price index,142
National Average Price,2019M02,Price index 1L,price index,142.2
National Average Price,2019M03,Price index 1L,price index,142.3
National Average Price,2019M04,Price index 1L,price index,142.2
National Average Price,2019M05,Price index 1L,price index,142.5
National Average Price,2019M06,Price index 1L,price index,143.3
National Average Price,2019M07,Price index 1L,price index,144
National Average Price,2019M08,Price index 1L,price index,144.7
National Average Price,2019M09,Price index 1L,price index,145.4
National Average Price,2019M10,Price index 1L,price index,146.2
National Average Price,2019M11,Price index 1L,price index,146.7
National Average Price,2019M12,Price index 1L,price index,148.3
National Average Price,2020M01,Price index 1L,price index,150.1
National Average Price,2020M02,Price index 1L,price index,150.8
National Average Price,2020M03,Price index 1L,price index,151.5
National Average Price,2020M04,Price index 1L,price index,155.6
National Average Price,2020M05,Price index 1L,price index,155.1
National Average Price,2020M06,Price index 1L,price index,153.3
National Average Price,2020M07,Price index 1L,price index,153.3
National Average Price,2020M08,Price index 1L,price index,153.6
National Average Price,2020M09,Price index 1L,price index,153.6
National Average Price,2020M10,Price index 1L,price index,153.8
National Average Price,2020M11,Price index 1L,price index,154.1
National Average Price,2020M12,Price index 1L,price index,154.1
National Average Price,2021M01,Price index 1L,price index,154.2
National Average Price,2021M02,Price index 1L,price index,154.7
National Average Price,2021M03,Price index 1L,price index,154.9
National Average Price,2021M04,Price index 1L,price index,155.4
National Average Price,2021M05,Price index 1L,price index,156.1
National Average Price,2021M06,Price index 1L,price index,156.2
National Average Price,2021M07,Price index 1L,price index,157.5
National Average Price,2021M08,Price index 1L,price index,158
National Average Price,2021M09,Price index 1L,price index,158.4
National Average Price,2021M10,Price index 1L,price index,158.7
National Average Price,2021M11,Price index 1L,price index,159.3
National Average Price,2021M12,Price index 1L,price index,159.9
National Average Price,2022M01,Price index 1L,price index,160.5
National Average Price,2022M02,Price index 1L,price index,160.7
