Statistic,Month,Product,UNIT,VALUE
Whole Sale price index,2012M01,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M02,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M03,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M04,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M05,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M06,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M07,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M08,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M09,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M10,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M11,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2012M12,"Milk (per litre), actual fat and protein",price index,107.6
Whole Sale price index,2013M01,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M02,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M03,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M04,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M05,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M06,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M07,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M08,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M09,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M10,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M11,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2013M12,"Milk (per litre), actual fat and protein",price index,116
Whole Sale price index,2014M01,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M02,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M03,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M04,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M05,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M06,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M07,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M08,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M09,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M10,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M11,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2014M12,"Milk (per litre), actual fat and protein",price index,126.6
Whole Sale price index,2015M01,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M02,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M03,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M04,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M05,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M06,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M07,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M08,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M09,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M10,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M11,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2015M12,"Milk (per litre), actual fat and protein",price index,130.5
Whole Sale price index,2016M01,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M02,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M03,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M04,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M05,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M06,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M07,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M08,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M09,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M10,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M11,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2016M12,"Milk (per litre), actual fat and protein",price index,134.3
Whole Sale price index,2017M01,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M02,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M03,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M04,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M05,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M06,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M07,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M08,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M09,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M10,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M11,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2017M12,"Milk (per litre), actual fat and protein",price index,139.7
Whole Sale price index,2018M01,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M02,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M03,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M04,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M05,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M06,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M07,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M08,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M09,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M10,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M11,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2018M12,"Milk (per litre), actual fat and protein",price index,143.1
Whole Sale price index,2019M01,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M02,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M03,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M04,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M05,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M06,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M07,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M08,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M09,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M10,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M11,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2019M12,"Milk (per litre), actual fat and protein",price index,146.7
Whole Sale price index,2020M01,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M02,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M03,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M04,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M05,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M06,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M07,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M08,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M09,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M10,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M11,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2020M12,"Milk (per litre), actual fat and protein",price index,153.4
Whole Sale price index,2021M01,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M02,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M03,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M04,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M05,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M06,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M07,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M08,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M09,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M10,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M11,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2021M12,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2022M01,"Milk (per litre), actual fat and protein",price index,
Whole Sale price index,2022M02,"Milk (per litre), actual fat and protein",price index,
