Month,UNIT,Labour cost
2010M01,Euro - hourly,25.16
2010M02,Euro - hourly,25.16
2010M03,Euro - hourly,25.16
2010M04,Euro - hourly,25.16
2010M05,Euro - hourly,25.16
2010M06,Euro - hourly,25.16
2010M07,Euro - hourly,25.16
2010M08,Euro - hourly,25.16
2010M09,Euro - hourly,25.16
2010M10,Euro - hourly,25.16
2010M11,Euro - hourly,25.16
2010M12,Euro - hourly,25.16
2011M01,Euro - hourly,25.06
2011M02,Euro - hourly,25.06
2011M03,Euro - hourly,25.06
2011M04,Euro - hourly,25.06
2011M05,Euro - hourly,25.06
2011M06,Euro - hourly,25.06
2011M07,Euro - hourly,25.06
2011M08,Euro - hourly,25.06
2011M09,Euro - hourly,25.06
2011M10,Euro - hourly,25.06
2011M11,Euro - hourly,25.06
2011M12,Euro - hourly,25.06
2012M01,Euro - hourly,29.80
2012M02,Euro - hourly,29.80
2012M03,Euro - hourly,29.80
2012M04,Euro - hourly,29.80
2012M05,Euro - hourly,29.80
2012M06,Euro - hourly,29.80
2012M07,Euro - hourly,29.80
2012M08,Euro - hourly,29.80
2012M09,Euro - hourly,29.80
2012M10,Euro - hourly,29.80
2012M11,Euro - hourly,29.80
2012M12,Euro - hourly,29.80
2013M01,Euro - hourly,
2013M02,Euro - hourly,
2013M03,Euro - hourly,
2013M04,Euro - hourly,
2013M05,Euro - hourly,
2013M06,Euro - hourly,
2013M07,Euro - hourly,
2013M08,Euro - hourly,
2013M09,Euro - hourly,
2013M10,Euro - hourly,
2013M11,Euro - hourly,
2013M12,Euro - hourly,
2014M01,Euro - hourly,
2014M02,Euro - hourly,
2014M03,Euro - hourly,
2014M04,Euro - hourly,
2014M05,Euro - hourly,
2014M06,Euro - hourly,
2014M07,Euro - hourly,
2014M08,Euro - hourly,
2014M09,Euro - hourly,
2014M10,Euro - hourly,
2014M11,Euro - hourly,
2014M12,Euro - hourly,
2015M01,Euro - hourly,
2015M02,Euro - hourly,
2015M03,Euro - hourly,
2015M04,Euro - hourly,
2015M05,Euro - hourly,
2015M06,Euro - hourly,
2015M07,Euro - hourly,
2015M08,Euro - hourly,
2015M09,Euro - hourly,
2015M10,Euro - hourly,
2015M11,Euro - hourly,
2015M12,Euro - hourly,
2016M01,Euro - hourly,30.60
2016M02,Euro - hourly,30.60
2016M03,Euro - hourly,30.60
2016M04,Euro - hourly,30.60
2016M05,Euro - hourly,30.60
2016M06,Euro - hourly,30.60
2016M07,Euro - hourly,30.60
2016M08,Euro - hourly,30.60
2016M09,Euro - hourly,30.60
2016M10,Euro - hourly,30.60
2016M11,Euro - hourly,30.60
2016M12,Euro - hourly,30.60
2017M01,Euro - hourly,31.20
2017M02,Euro - hourly,31.20
2017M03,Euro - hourly,31.20
2017M04,Euro - hourly,31.20
2017M05,Euro - hourly,31.20
2017M06,Euro - hourly,31.20
2017M07,Euro - hourly,31.20
2017M08,Euro - hourly,31.20
2017M09,Euro - hourly,31.20
2017M10,Euro - hourly,31.20
2017M11,Euro - hourly,31.20
2017M12,Euro - hourly,31.20
2018M01,Euro - hourly,32.10
2018M02,Euro - hourly,32.10
2018M03,Euro - hourly,32.10
2018M04,Euro - hourly,32.10
2018M05,Euro - hourly,32.10
2018M06,Euro - hourly,32.10
2018M07,Euro - hourly,32.10
2018M08,Euro - hourly,32.10
2018M09,Euro - hourly,32.10
2018M10,Euro - hourly,32.10
2018M11,Euro - hourly,32.10
2018M12,Euro - hourly,32.10
2019M01,Euro - hourly,33.20
2019M02,Euro - hourly,33.20
2019M03,Euro - hourly,33.20
2019M04,Euro - hourly,33.20
2019M05,Euro - hourly,33.20
2019M06,Euro - hourly,33.20
2019M07,Euro - hourly,33.20
2019M08,Euro - hourly,33.20
2019M09,Euro - hourly,33.20
2019M10,Euro - hourly,33.20
2019M11,Euro - hourly,33.20
2019M12,Euro - hourly,33.20
2020M01,Euro - hourly,32.40
2020M02,Euro - hourly,32.40
2020M03,Euro - hourly,32.40
2020M04,Euro - hourly,32.40
2020M05,Euro - hourly,32.40
2020M06,Euro - hourly,32.40
2020M07,Euro - hourly,32.40
2020M08,Euro - hourly,32.40
2020M09,Euro - hourly,32.40
2020M10,Euro - hourly,32.40
2020M11,Euro - hourly,32.40
2020M12,Euro - hourly,32.40
2021M01,Euro - hourly,33.50
2021M02,Euro - hourly,33.50
2021M03,Euro - hourly,33.50
2021M04,Euro - hourly,33.50
2021M05,Euro - hourly,33.50
2021M06,Euro - hourly,33.50
2021M07,Euro - hourly,33.50
2021M08,Euro - hourly,33.50
2021M09,Euro - hourly,33.50
2021M10,Euro - hourly,33.50
2021M11,Euro - hourly,33.50
2021M12,Euro - hourly,33.50
2022M01,Euro - hourly,
2022M02,Euro - hourly,
