Statistic,Month,Type of Feedstuff,UNIT,VALUE
Feed Stuff Price,2014M01,Maize meal,Euro per Tonne,252
Feed Stuff Price,2014M02,Maize meal,Euro per Tonne,248
Feed Stuff Price,2014M03,Maize meal,Euro per Tonne,244
Feed Stuff Price,2014M04,Maize meal,Euro per Tonne,233
Feed Stuff Price,2014M05,Maize meal,Euro per Tonne,240
Feed Stuff Price,2014M06,Maize meal,Euro per Tonne,240
Feed Stuff Price,2014M07,Maize meal,Euro per Tonne,234
Feed Stuff Price,2014M08,Maize meal,Euro per Tonne,228
Feed Stuff Price,2014M09,Maize meal,Euro per Tonne,229
Feed Stuff Price,2014M10,Maize meal,Euro per Tonne,227
Feed Stuff Price,2014M11,Maize meal,Euro per Tonne,224
Feed Stuff Price,2014M12,Maize meal,Euro per Tonne,222
Feed Stuff Price,2015M01,Maize meal,Euro per Tonne,223
Feed Stuff Price,2015M02,Maize meal,Euro per Tonne,220
Feed Stuff Price,2015M03,Maize meal,Euro per Tonne,223
Feed Stuff Price,2015M04,Maize meal,Euro per Tonne,221
Feed Stuff Price,2015M05,Maize meal,Euro per Tonne,222
Feed Stuff Price,2015M06,Maize meal,Euro per Tonne,224
Feed Stuff Price,2015M07,Maize meal,Euro per Tonne,223
Feed Stuff Price,2015M08,Maize meal,Euro per Tonne,223
Feed Stuff Price,2015M09,Maize meal,Euro per Tonne,221
Feed Stuff Price,2015M10,Maize meal,Euro per Tonne,220
Feed Stuff Price,2015M11,Maize meal,Euro per Tonne,219
Feed Stuff Price,2015M12,Maize meal,Euro per Tonne,220
Feed Stuff Price,2016M01,Maize meal,Euro per Tonne,219
Feed Stuff Price,2016M02,Maize meal,Euro per Tonne,217
Feed Stuff Price,2016M03,Maize meal,Euro per Tonne,217
Feed Stuff Price,2016M04,Maize meal,Euro per Tonne,232
Feed Stuff Price,2016M05,Maize meal,Euro per Tonne,233
Feed Stuff Price,2016M06,Maize meal,Euro per Tonne,234
Feed Stuff Price,2016M07,Maize meal,Euro per Tonne,231
Feed Stuff Price,2016M08,Maize meal,Euro per Tonne,232
Feed Stuff Price,2016M09,Maize meal,Euro per Tonne,230
Feed Stuff Price,2016M10,Maize meal,Euro per Tonne,231
Feed Stuff Price,2016M11,Maize meal,Euro per Tonne,231
Feed Stuff Price,2016M12,Maize meal,Euro per Tonne,230
Feed Stuff Price,2017M01,Maize meal,Euro per Tonne,231
Feed Stuff Price,2017M02,Maize meal,Euro per Tonne,232
Feed Stuff Price,2017M03,Maize meal,Euro per Tonne,234
Feed Stuff Price,2017M04,Maize meal,Euro per Tonne,233
Feed Stuff Price,2017M05,Maize meal,Euro per Tonne,233
Feed Stuff Price,2017M06,Maize meal,Euro per Tonne,231
Feed Stuff Price,2017M07,Maize meal,Euro per Tonne,231
Feed Stuff Price,2017M08,Maize meal,Euro per Tonne,229
Feed Stuff Price,2017M09,Maize meal,Euro per Tonne,230
Feed Stuff Price,2017M10,Maize meal,Euro per Tonne,230
Feed Stuff Price,2017M11,Maize meal,Euro per Tonne,230
Feed Stuff Price,2017M12,Maize meal,Euro per Tonne,230
Feed Stuff Price,2018M01,Maize meal,Euro per Tonne,219
Feed Stuff Price,2018M02,Maize meal,Euro per Tonne,221
Feed Stuff Price,2018M03,Maize meal,Euro per Tonne,223
Feed Stuff Price,2018M04,Maize meal,Euro per Tonne,225
Feed Stuff Price,2018M05,Maize meal,Euro per Tonne,227
Feed Stuff Price,2018M06,Maize meal,Euro per Tonne,232
Feed Stuff Price,2018M07,Maize meal,Euro per Tonne,232
Feed Stuff Price,2018M08,Maize meal,Euro per Tonne,239
Feed Stuff Price,2018M09,Maize meal,Euro per Tonne,239
Feed Stuff Price,2018M10,Maize meal,Euro per Tonne,238
Feed Stuff Price,2018M11,Maize meal,Euro per Tonne,237
Feed Stuff Price,2018M12,Maize meal,Euro per Tonne,239
Feed Stuff Price,2019M01,Maize meal,Euro per Tonne,240
Feed Stuff Price,2019M02,Maize meal,Euro per Tonne,240
Feed Stuff Price,2019M03,Maize meal,Euro per Tonne,240
Feed Stuff Price,2019M04,Maize meal,Euro per Tonne,243
Feed Stuff Price,2019M05,Maize meal,Euro per Tonne,240
Feed Stuff Price,2019M06,Maize meal,Euro per Tonne,237
Feed Stuff Price,2019M07,Maize meal,Euro per Tonne,236
Feed Stuff Price,2019M08,Maize meal,Euro per Tonne,235
Feed Stuff Price,2019M09,Maize meal,Euro per Tonne,231
Feed Stuff Price,2019M10,Maize meal,Euro per Tonne,229
Feed Stuff Price,2019M11,Maize meal,Euro per Tonne,229
Feed Stuff Price,2019M12,Maize meal,Euro per Tonne,230
Feed Stuff Price,2020M01,Maize meal,Euro per Tonne,229
