Statistic,Month,Product,UNIT,VALUE
Manufacturing Milk Prices (including VAT),2005M01,"Milk (per litre), actual fat and protein",Euro,0.308
Manufacturing Milk Prices (including VAT),2005M02,"Milk (per litre), actual fat and protein",Euro,0.288
Manufacturing Milk Prices (including VAT),2005M03,"Milk (per litre), actual fat and protein",Euro,0.272
Manufacturing Milk Prices (including VAT),2005M04,"Milk (per litre), actual fat and protein",Euro,0.267
Manufacturing Milk Prices (including VAT),2005M05,"Milk (per litre), actual fat and protein",Euro,0.265
Manufacturing Milk Prices (including VAT),2005M06,"Milk (per litre), actual fat and protein",Euro,0.262
Manufacturing Milk Prices (including VAT),2005M07,"Milk (per litre), actual fat and protein",Euro,0.262
Manufacturing Milk Prices (including VAT),2005M08,"Milk (per litre), actual fat and protein",Euro,0.269
Manufacturing Milk Prices (including VAT),2005M09,"Milk (per litre), actual fat and protein",Euro,0.286
Manufacturing Milk Prices (including VAT),2005M10,"Milk (per litre), actual fat and protein",Euro,0.305
Manufacturing Milk Prices (including VAT),2005M11,"Milk (per litre), actual fat and protein",Euro,0.311
Manufacturing Milk Prices (including VAT),2005M12,"Milk (per litre), actual fat and protein",Euro,0.309
Manufacturing Milk Prices (including VAT),2006M01,"Milk (per litre), actual fat and protein",Euro,0.294
Manufacturing Milk Prices (including VAT),2006M02,"Milk (per litre), actual fat and protein",Euro,0.282
Manufacturing Milk Prices (including VAT),2006M03,"Milk (per litre), actual fat and protein",Euro,0.264
Manufacturing Milk Prices (including VAT),2006M04,"Milk (per litre), actual fat and protein",Euro,0.258
Manufacturing Milk Prices (including VAT),2006M05,"Milk (per litre), actual fat and protein",Euro,0.259
Manufacturing Milk Prices (including VAT),2006M06,"Milk (per litre), actual fat and protein",Euro,0.252
Manufacturing Milk Prices (including VAT),2006M07,"Milk (per litre), actual fat and protein",Euro,0.249
Manufacturing Milk Prices (including VAT),2006M08,"Milk (per litre), actual fat and protein",Euro,0.256
Manufacturing Milk Prices (including VAT),2006M09,"Milk (per litre), actual fat and protein",Euro,0.27
Manufacturing Milk Prices (including VAT),2006M10,"Milk (per litre), actual fat and protein",Euro,0.287
Manufacturing Milk Prices (including VAT),2006M11,"Milk (per litre), actual fat and protein",Euro,0.296
Manufacturing Milk Prices (including VAT),2006M12,"Milk (per litre), actual fat and protein",Euro,0.288
Manufacturing Milk Prices (including VAT),2007M01,"Milk (per litre), actual fat and protein",Euro,0.282
Manufacturing Milk Prices (including VAT),2007M02,"Milk (per litre), actual fat and protein",Euro,0.269
Manufacturing Milk Prices (including VAT),2007M03,"Milk (per litre), actual fat and protein",Euro,0.251
Manufacturing Milk Prices (including VAT),2007M04,"Milk (per litre), actual fat and protein",Euro,0.272
Manufacturing Milk Prices (including VAT),2007M05,"Milk (per litre), actual fat and protein",Euro,0.292
Manufacturing Milk Prices (including VAT),2007M06,"Milk (per litre), actual fat and protein",Euro,0.318
Manufacturing Milk Prices (including VAT),2007M07,"Milk (per litre), actual fat and protein",Euro,0.34
Manufacturing Milk Prices (including VAT),2007M08,"Milk (per litre), actual fat and protein",Euro,0.375
Manufacturing Milk Prices (including VAT),2007M09,"Milk (per litre), actual fat and protein",Euro,0.412
Manufacturing Milk Prices (including VAT),2007M10,"Milk (per litre), actual fat and protein",Euro,0.438
Manufacturing Milk Prices (including VAT),2007M11,"Milk (per litre), actual fat and protein",Euro,0.451
Manufacturing Milk Prices (including VAT),2007M12,"Milk (per litre), actual fat and protein",Euro,0.431
Manufacturing Milk Prices (including VAT),2008M01,"Milk (per litre), actual fat and protein",Euro,0.415
Manufacturing Milk Prices (including VAT),2008M02,"Milk (per litre), actual fat and protein",Euro,0.405
Manufacturing Milk Prices (including VAT),2008M03,"Milk (per litre), actual fat and protein",Euro,0.387
Manufacturing Milk Prices (including VAT),2008M04,"Milk (per litre), actual fat and protein",Euro,0.345
Manufacturing Milk Prices (including VAT),2008M05,"Milk (per litre), actual fat and protein",Euro,0.332
Manufacturing Milk Prices (including VAT),2008M06,"Milk (per litre), actual fat and protein",Euro,0.32
Manufacturing Milk Prices (including VAT),2008M07,"Milk (per litre), actual fat and protein",Euro,0.326
Manufacturing Milk Prices (including VAT),2008M08,"Milk (per litre), actual fat and protein",Euro,0.324
Manufacturing Milk Prices (including VAT),2008M09,"Milk (per litre), actual fat and protein",Euro,0.324
Manufacturing Milk Prices (including VAT),2008M10,"Milk (per litre), actual fat and protein",Euro,0.336
Manufacturing Milk Prices (including VAT),2008M11,"Milk (per litre), actual fat and protein",Euro,0.33
Manufacturing Milk Prices (including VAT),2008M12,"Milk (per litre), actual fat and protein",Euro,0.319
Manufacturing Milk Prices (including VAT),2009M01,"Milk (per litre), actual fat and protein",Euro,0.288
Manufacturing Milk Prices (including VAT),2009M02,"Milk (per litre), actual fat and protein",Euro,0.264
Manufacturing Milk Prices (including VAT),2009M03,"Milk (per litre), actual fat and protein",Euro,0.219
Manufacturing Milk Prices (including VAT),2009M04,"Milk (per litre), actual fat and protein",Euro,0.218
Manufacturing Milk Prices (including VAT),2009M05,"Milk (per litre), actual fat and protein",Euro,0.216
Manufacturing Milk Prices (including VAT),2009M06,"Milk (per litre), actual fat and protein",Euro,0.212
Manufacturing Milk Prices (including VAT),2009M07,"Milk (per litre), actual fat and protein",Euro,0.214
Manufacturing Milk Prices (including VAT),2009M08,"Milk (per litre), actual fat and protein",Euro,0.221
Manufacturing Milk Prices (including VAT),2009M09,"Milk (per litre), actual fat and protein",Euro,0.249
Manufacturing Milk Prices (including VAT),2009M10,"Milk (per litre), actual fat and protein",Euro,0.279
Manufacturing Milk Prices (including VAT),2009M11,"Milk (per litre), actual fat and protein",Euro,0.295
Manufacturing Milk Prices (including VAT),2009M12,"Milk (per litre), actual fat and protein",Euro,0.285
Manufacturing Milk Prices (including VAT),2010M01,"Milk (per litre), actual fat and protein",Euro,0.289
Manufacturing Milk Prices (including VAT),2010M02,"Milk (per litre), actual fat and protein",Euro,0.274
Manufacturing Milk Prices (including VAT),2010M03,"Milk (per litre), actual fat and protein",Euro,0.264
Manufacturing Milk Prices (including VAT),2010M04,"Milk (per litre), actual fat and protein",Euro,0.272
Manufacturing Milk Prices (including VAT),2010M05,"Milk (per litre), actual fat and protein",Euro,0.298
Manufacturing Milk Prices (including VAT),2010M06,"Milk (per litre), actual fat and protein",Euro,0.301
Manufacturing Milk Prices (including VAT),2010M07,"Milk (per litre), actual fat and protein",Euro,0.304
Manufacturing Milk Prices (including VAT),2010M08,"Milk (per litre), actual fat and protein",Euro,0.311
Manufacturing Milk Prices (including VAT),2010M09,"Milk (per litre), actual fat and protein",Euro,0.331
Manufacturing Milk Prices (including VAT),2010M10,"Milk (per litre), actual fat and protein",Euro,0.353
Manufacturing Milk Prices (including VAT),2010M11,"Milk (per litre), actual fat and protein",Euro,0.368
Manufacturing Milk Prices (including VAT),2010M12,"Milk (per litre), actual fat and protein",Euro,0.351
Manufacturing Milk Prices (including VAT),2011M01,"Milk (per litre), actual fat and protein",Euro,0.35
Manufacturing Milk Prices (including VAT),2011M02,"Milk (per litre), actual fat and protein",Euro,0.354
Manufacturing Milk Prices (including VAT),2011M03,"Milk (per litre), actual fat and protein",Euro,0.335
Manufacturing Milk Prices (including VAT),2011M04,"Milk (per litre), actual fat and protein",Euro,0.331
Manufacturing Milk Prices (including VAT),2011M05,"Milk (per litre), actual fat and protein",Euro,0.331
Manufacturing Milk Prices (including VAT),2011M06,"Milk (per litre), actual fat and protein",Euro,0.345
Manufacturing Milk Prices (including VAT),2011M07,"Milk (per litre), actual fat and protein",Euro,0.347
Manufacturing Milk Prices (including VAT),2011M08,"Milk (per litre), actual fat and protein",Euro,0.356
Manufacturing Milk Prices (including VAT),2011M09,"Milk (per litre), actual fat and protein",Euro,0.381
Manufacturing Milk Prices (including VAT),2011M10,"Milk (per litre), actual fat and protein",Euro,0.4
Manufacturing Milk Prices (including VAT),2011M11,"Milk (per litre), actual fat and protein",Euro,0.409
Manufacturing Milk Prices (including VAT),2011M12,"Milk (per litre), actual fat and protein",Euro,0.384
Manufacturing Milk Prices (including VAT),2012M01,"Milk (per litre), actual fat and protein",Euro,0.375
Manufacturing Milk Prices (including VAT),2012M02,"Milk (per litre), actual fat and protein",Euro,0.369
Manufacturing Milk Prices (including VAT),2012M03,"Milk (per litre), actual fat and protein",Euro,0.347
Manufacturing Milk Prices (including VAT),2012M04,"Milk (per litre), actual fat and protein",Euro,0.319
Manufacturing Milk Prices (including VAT),2012M05,"Milk (per litre), actual fat and protein",Euro,0.298
Manufacturing Milk Prices (including VAT),2012M06,"Milk (per litre), actual fat and protein",Euro,0.297
Manufacturing Milk Prices (including VAT),2012M07,"Milk (per litre), actual fat and protein",Euro,0.294
Manufacturing Milk Prices (including VAT),2012M08,"Milk (per litre), actual fat and protein",Euro,0.307
Manufacturing Milk Prices (including VAT),2012M09,"Milk (per litre), actual fat and protein",Euro,0.344
Manufacturing Milk Prices (including VAT),2012M10,"Milk (per litre), actual fat and protein",Euro,0.375
Manufacturing Milk Prices (including VAT),2012M11,"Milk (per litre), actual fat and protein",Euro,0.388
Manufacturing Milk Prices (including VAT),2012M12,"Milk (per litre), actual fat and protein",Euro,0.364
Manufacturing Milk Prices (including VAT),2013M01,"Milk (per litre), actual fat and protein",Euro,0.369
