Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,1980M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1980M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1981M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1982M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1983M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M01,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1984M07,Skimmed and Semi-skimmed milk,Million Litres,
