Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,1980M01,Whole Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1980M02,Whole Milk,Million Litres,36.6
Milk Sales (Dairy) for Human Consumption,1980M03,Whole Milk,Million Litres,38.4
Milk Sales (Dairy) for Human Consumption,1980M04,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1980M05,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1980M06,Whole Milk,Million Litres,37.5
Milk Sales (Dairy) for Human Consumption,1980M07,Whole Milk,Million Litres,38
Milk Sales (Dairy) for Human Consumption,1980M08,Whole Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1980M09,Whole Milk,Million Litres,37.1
Milk Sales (Dairy) for Human Consumption,1980M10,Whole Milk,Million Litres,37.5
Milk Sales (Dairy) for Human Consumption,1980M11,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1980M12,Whole Milk,Million Litres,37.3
Milk Sales (Dairy) for Human Consumption,1981M01,Whole Milk,Million Litres,39
Milk Sales (Dairy) for Human Consumption,1981M02,Whole Milk,Million Litres,36.3
Milk Sales (Dairy) for Human Consumption,1981M03,Whole Milk,Million Litres,39.8
Milk Sales (Dairy) for Human Consumption,1981M04,Whole Milk,Million Litres,39.6
Milk Sales (Dairy) for Human Consumption,1981M05,Whole Milk,Million Litres,39.5
Milk Sales (Dairy) for Human Consumption,1981M06,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1981M07,Whole Milk,Million Litres,40.1
Milk Sales (Dairy) for Human Consumption,1981M08,Whole Milk,Million Litres,40.1
Milk Sales (Dairy) for Human Consumption,1981M09,Whole Milk,Million Litres,39.6
Milk Sales (Dairy) for Human Consumption,1981M10,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1981M11,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1981M12,Whole Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1982M01,Whole Milk,Million Litres,40.3
Milk Sales (Dairy) for Human Consumption,1982M02,Whole Milk,Million Litres,39.2
Milk Sales (Dairy) for Human Consumption,1982M03,Whole Milk,Million Litres,43.4
Milk Sales (Dairy) for Human Consumption,1982M04,Whole Milk,Million Litres,42.5
Milk Sales (Dairy) for Human Consumption,1982M05,Whole Milk,Million Litres,43.1
Milk Sales (Dairy) for Human Consumption,1982M06,Whole Milk,Million Litres,41.4
Milk Sales (Dairy) for Human Consumption,1982M07,Whole Milk,Million Litres,42.7
Milk Sales (Dairy) for Human Consumption,1982M08,Whole Milk,Million Litres,41.7
Milk Sales (Dairy) for Human Consumption,1982M09,Whole Milk,Million Litres,42.2
Milk Sales (Dairy) for Human Consumption,1982M10,Whole Milk,Million Litres,42.9
Milk Sales (Dairy) for Human Consumption,1982M11,Whole Milk,Million Litres,42
Milk Sales (Dairy) for Human Consumption,1982M12,Whole Milk,Million Litres,41.1
Milk Sales (Dairy) for Human Consumption,1983M01,Whole Milk,Million Litres,42
Milk Sales (Dairy) for Human Consumption,1983M02,Whole Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1983M03,Whole Milk,Million Litres,43.5
Milk Sales (Dairy) for Human Consumption,1983M04,Whole Milk,Million Litres,42.3
Milk Sales (Dairy) for Human Consumption,1983M05,Whole Milk,Million Litres,43.4
Milk Sales (Dairy) for Human Consumption,1983M06,Whole Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1983M07,Whole Milk,Million Litres,44.1
Milk Sales (Dairy) for Human Consumption,1983M08,Whole Milk,Million Litres,43.4
Milk Sales (Dairy) for Human Consumption,1983M09,Whole Milk,Million Litres,42.1
Milk Sales (Dairy) for Human Consumption,1983M10,Whole Milk,Million Litres,42.6
Milk Sales (Dairy) for Human Consumption,1983M11,Whole Milk,Million Litres,41.8
