Month,UNIT,Labour cost
2010M01,NewZealand dollar - hourly,25.86
2010M02,NewZealand dollar - hourly,25.86
2010M03,NewZealand dollar - hourly,25.86
2010M04,NewZealand dollar - hourly,25.86
2010M05,NewZealand dollar - hourly,25.86
2010M06,NewZealand dollar - hourly,25.86
2010M07,NewZealand dollar - hourly,25.86
2010M08,NewZealand dollar - hourly,25.86
2010M09,NewZealand dollar - hourly,25.86
2010M10,NewZealand dollar - hourly,25.86
2010M11,NewZealand dollar - hourly,25.86
2010M12,NewZealand dollar - hourly,25.86
2011M01,NewZealand dollar - hourly,
2011M02,NewZealand dollar - hourly,
2011M03,NewZealand dollar - hourly,
2011M04,NewZealand dollar - hourly,
2011M05,NewZealand dollar - hourly,
2011M06,NewZealand dollar - hourly,
2011M07,NewZealand dollar - hourly,
2011M08,NewZealand dollar - hourly,
2011M09,NewZealand dollar - hourly,
2011M10,NewZealand dollar - hourly,
2011M11,NewZealand dollar - hourly,
2011M12,NewZealand dollar - hourly,
2012M01,NewZealand dollar - hourly,
2012M02,NewZealand dollar - hourly,
2012M03,NewZealand dollar - hourly,
2012M04,NewZealand dollar - hourly,
2012M05,NewZealand dollar - hourly,
2012M06,NewZealand dollar - hourly,
2012M07,NewZealand dollar - hourly,
2012M08,NewZealand dollar - hourly,
2012M09,NewZealand dollar - hourly,
2012M10,NewZealand dollar - hourly,
2012M11,NewZealand dollar - hourly,
2012M12,NewZealand dollar - hourly,
2013M01,NewZealand dollar - hourly,
2013M02,NewZealand dollar - hourly,
2013M03,NewZealand dollar - hourly,
2013M04,NewZealand dollar - hourly,
2013M05,NewZealand dollar - hourly,
2013M06,NewZealand dollar - hourly,
2013M07,NewZealand dollar - hourly,
2013M08,NewZealand dollar - hourly,
2013M09,NewZealand dollar - hourly,
2013M10,NewZealand dollar - hourly,
2013M11,NewZealand dollar - hourly,
2013M12,NewZealand dollar - hourly,
2014M01,NewZealand dollar - hourly,28.79
2014M02,NewZealand dollar - hourly,28.79
2014M03,NewZealand dollar - hourly,28.79
2014M04,NewZealand dollar - hourly,28.79
2014M05,NewZealand dollar - hourly,28.79
2014M06,NewZealand dollar - hourly,28.79
2014M07,NewZealand dollar - hourly,28.79
2014M08,NewZealand dollar - hourly,28.79
2014M09,NewZealand dollar - hourly,28.79
2014M10,NewZealand dollar - hourly,28.79
2014M11,NewZealand dollar - hourly,28.79
2014M12,NewZealand dollar - hourly,28.79
2015M01,NewZealand dollar - hourly,29.41
2015M02,NewZealand dollar - hourly,29.41
2015M03,NewZealand dollar - hourly,29.41
2015M04,NewZealand dollar - hourly,29.41
2015M05,NewZealand dollar - hourly,29.41
2015M06,NewZealand dollar - hourly,29.41
2015M07,NewZealand dollar - hourly,29.41
2015M08,NewZealand dollar - hourly,29.41
2015M09,NewZealand dollar - hourly,29.41
2015M10,NewZealand dollar - hourly,29.41
2015M11,NewZealand dollar - hourly,29.41
2015M12,NewZealand dollar - hourly,29.41
2016M01,NewZealand dollar - hourly,29.8
2016M02,NewZealand dollar - hourly,29.8
2016M03,NewZealand dollar - hourly,29.8
2016M04,NewZealand dollar - hourly,29.8
2016M05,NewZealand dollar - hourly,29.8
2016M06,NewZealand dollar - hourly,29.8
2016M07,NewZealand dollar - hourly,29.8
2016M08,NewZealand dollar - hourly,29.8
2016M09,NewZealand dollar - hourly,29.8
2016M10,NewZealand dollar - hourly,29.8
2016M11,NewZealand dollar - hourly,29.8
2016M12,NewZealand dollar - hourly,29.8
2017M01,NewZealand dollar - hourly,30.74
2017M02,NewZealand dollar - hourly,30.74
2017M03,NewZealand dollar - hourly,30.74
2017M04,NewZealand dollar - hourly,30.74
2017M05,NewZealand dollar - hourly,30.74
2017M06,NewZealand dollar - hourly,30.74
2017M07,NewZealand dollar - hourly,30.74
2017M08,NewZealand dollar - hourly,30.74
2017M09,NewZealand dollar - hourly,30.74
2017M10,NewZealand dollar - hourly,30.74
2017M11,NewZealand dollar - hourly,30.74
2017M12,NewZealand dollar - hourly,30.74
2018M01,NewZealand dollar - hourly,31.7
2018M02,NewZealand dollar - hourly,31.7
