Statistic,Month,Product,UNIT,VALUE
Manufacturing Milk Prices (including VAT),2017M01,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.78
Manufacturing Milk Prices (including VAT),2017M02,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.4
Manufacturing Milk Prices (including VAT),2017M03,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.4
Manufacturing Milk Prices (including VAT),2017M04,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.54
Manufacturing Milk Prices (including VAT),2017M05,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.55
Manufacturing Milk Prices (including VAT),2017M06,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,53.21
Manufacturing Milk Prices (including VAT),2017M07,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,53.21
Manufacturing Milk Prices (including VAT),2017M08,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,55.1
Manufacturing Milk Prices (including VAT),2017M09,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,55.09
Manufacturing Milk Prices (including VAT),2017M10,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,55.09
Manufacturing Milk Prices (including VAT),2017M11,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.44
Manufacturing Milk Prices (including VAT),2017M12,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.45
Manufacturing Milk Prices (including VAT),2018M01,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.43
Manufacturing Milk Prices (including VAT),2018M02,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.06
Manufacturing Milk Prices (including VAT),2018M03,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.06
Manufacturing Milk Prices (including VAT),2018M04,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.62
Manufacturing Milk Prices (including VAT),2018M05,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.64
Manufacturing Milk Prices (including VAT),2018M06,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,52.63
Manufacturing Milk Prices (including VAT),2018M07,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,53.97
Manufacturing Milk Prices (including VAT),2018M08,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,53.57
Manufacturing Milk Prices (including VAT),2018M09,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.73
Manufacturing Milk Prices (including VAT),2018M10,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.01
Manufacturing Milk Prices (including VAT),2018M11,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.03
Manufacturing Milk Prices (including VAT),2018M12,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.03
Manufacturing Milk Prices (including VAT),2019M01,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.53
Manufacturing Milk Prices (including VAT),2019M02,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.54
Manufacturing Milk Prices (including VAT),2019M03,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.55
Manufacturing Milk Prices (including VAT),2019M04,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.21
Manufacturing Milk Prices (including VAT),2019M05,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.21
Manufacturing Milk Prices (including VAT),2019M06,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.22
Manufacturing Milk Prices (including VAT),2019M07,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.21
Manufacturing Milk Prices (including VAT),2019M08,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,49.21
Manufacturing Milk Prices (including VAT),2019M09,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.92
Manufacturing Milk Prices (including VAT),2019M10,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.92
Manufacturing Milk Prices (including VAT),2019M11,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,54.72
Manufacturing Milk Prices (including VAT),2019M12,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,57
Manufacturing Milk Prices (including VAT),2020M01,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,57.01
Manufacturing Milk Prices (including VAT),2020M02,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,54.33
Manufacturing Milk Prices (including VAT),2020M03,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,57
Manufacturing Milk Prices (including VAT),2020M04,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,56.25
Manufacturing Milk Prices (including VAT),2020M05,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,56.25
Manufacturing Milk Prices (including VAT),2020M06,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.17
Manufacturing Milk Prices (including VAT),2020M07,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.16
Manufacturing Milk Prices (including VAT),2020M08,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,48.65
Manufacturing Milk Prices (including VAT),2020M09,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,50.87
Manufacturing Milk Prices (including VAT),2020M10,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,51.68
Manufacturing Milk Prices (including VAT),2020M11,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,53.19
Manufacturing Milk Prices (including VAT),2020M12,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,53.37
Manufacturing Milk Prices (including VAT),2021M01,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,54.72
Manufacturing Milk Prices (including VAT),2021M02,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,57.76
Manufacturing Milk Prices (including VAT),2021M03,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,57.76
Manufacturing Milk Prices (including VAT),2021M04,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,57.38
Manufacturing Milk Prices (including VAT),2021M05,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,57.38
Manufacturing Milk Prices (including VAT),2021M06,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,60.8
Manufacturing Milk Prices (including VAT),2021M07,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,60.8
Manufacturing Milk Prices (including VAT),2021M08,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,60.8
Manufacturing Milk Prices (including VAT),2021M09,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,64.7
Manufacturing Milk Prices (including VAT),2021M10,"Milk (per 100 Kg, actual fat and protein", NZ$/100 kg,66.89
