Statistic,Month,Product,UNIT,VALUE
Manufacturing Milk Prices (including VAT),2017M01,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.1
Manufacturing Milk Prices (including VAT),2017M02,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,37.2
Manufacturing Milk Prices (including VAT),2017M03,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,35.6
Manufacturing Milk Prices (including VAT),2017M04,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,34.7
Manufacturing Milk Prices (including VAT),2017M05,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.2
Manufacturing Milk Prices (including VAT),2017M06,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.4
Manufacturing Milk Prices (including VAT),2017M07,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.9
Manufacturing Milk Prices (including VAT),2017M08,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.4
Manufacturing Milk Prices (including VAT),2017M09,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.7
Manufacturing Milk Prices (including VAT),2017M10,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,37.2
Manufacturing Milk Prices (including VAT),2017M11,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,35
Manufacturing Milk Prices (including VAT),2017M12,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,31.9
Manufacturing Milk Prices (including VAT),2018M01,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,31.9
Manufacturing Milk Prices (including VAT),2018M02,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,35
Manufacturing Milk Prices (including VAT),2018M03,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,35.1
Manufacturing Milk Prices (including VAT),2018M04,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.1
Manufacturing Milk Prices (including VAT),2018M05,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,37.9
Manufacturing Milk Prices (including VAT),2018M06,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,37.1
Manufacturing Milk Prices (including VAT),2018M07,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,34.9
Manufacturing Milk Prices (including VAT),2018M08,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,34.4
Manufacturing Milk Prices (including VAT),2018M09,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,33.4
Manufacturing Milk Prices (including VAT),2018M10,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,32.2
Manufacturing Milk Prices (including VAT),2018M11,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,31.3
Manufacturing Milk Prices (including VAT),2018M12,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,30.9
Manufacturing Milk Prices (including VAT),2019M01,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,33.6
Manufacturing Milk Prices (including VAT),2019M02,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,35.8
Manufacturing Milk Prices (including VAT),2019M03,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.4
Manufacturing Milk Prices (including VAT),2019M04,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,40.7
Manufacturing Milk Prices (including VAT),2019M05,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,42.1
Manufacturing Milk Prices (including VAT),2019M06,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.6
Manufacturing Milk Prices (including VAT),2019M07,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.4
Manufacturing Milk Prices (including VAT),2019M08,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.4
Manufacturing Milk Prices (including VAT),2019M09,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.2
Manufacturing Milk Prices (including VAT),2019M10,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,36.2
Manufacturing Milk Prices (including VAT),2019M11,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,37.4
Manufacturing Milk Prices (including VAT),2019M12,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.5
Manufacturing Milk Prices (including VAT),2020M01,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.5
Manufacturing Milk Prices (including VAT),2020M02,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.5
Manufacturing Milk Prices (including VAT),2020M03,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.5
Manufacturing Milk Prices (including VAT),2020M04,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.5
Manufacturing Milk Prices (including VAT),2020M05,"Milk (per 100 Kg, actual fat and protein", USD/100 kg,38.5
