Statistic,Month,UNIT,VALUE
Petrol unleaded price,2014M01,price index per month in Euro,152.9
Petrol unleaded price,2014M02,price index per month in Euro,152.1
Petrol unleaded price,2014M03,price index per month in Euro,153.1
Petrol unleaded price,2014M04,price index per month in Euro,153.2
Petrol unleaded price,2014M05,price index per month in Euro,154.3
Petrol unleaded price,2014M06,price index per month in Euro,155
Petrol unleaded price,2014M07,price index per month in Euro,157.4
Petrol unleaded price,2014M08,price index per month in Euro,156.3
Petrol unleaded price,2014M09,price index per month in Euro,155.2
Petrol unleaded price,2014M10,price index per month in Euro,154.3
Petrol unleaded price,2014M11,price index per month in Euro,148.5
Petrol unleaded price,2014M12,price index per month in Euro,142.4
Petrol unleaded price,2015M01,price index per month in Euro,131.6
Petrol unleaded price,2015M02,price index per month in Euro,128.4
Petrol unleaded price,2015M03,price index per month in Euro,135.7
Petrol unleaded price,2015M04,price index per month in Euro,138.9
Petrol unleaded price,2015M05,price index per month in Euro,143.7
Petrol unleaded price,2015M06,price index per month in Euro,144.6
Petrol unleaded price,2015M07,price index per month in Euro,145.3
Petrol unleaded price,2015M08,price index per month in Euro,143.6
Petrol unleaded price,2015M09,price index per month in Euro,136.5
Petrol unleaded price,2015M10,price index per month in Euro,134.2
Petrol unleaded price,2015M11,price index per month in Euro,131.2
Petrol unleaded price,2015M12,price index per month in Euro,129.5
Petrol unleaded price,2016M01,price index per month in Euro,126.5
Petrol unleaded price,2016M02,price index per month in Euro,121.9
Petrol unleaded price,2016M03,price index per month in Euro,121.1
Petrol unleaded price,2016M04,price index per month in Euro,126
Petrol unleaded price,2016M05,price index per month in Euro,129.1
Petrol unleaded price,2016M06,price index per month in Euro,132.8
Petrol unleaded price,2016M07,price index per month in Euro,131.3
Petrol unleaded price,2016M08,price index per month in Euro,127.5
Petrol unleaded price,2016M09,price index per month in Euro,126.2
Petrol unleaded price,2016M10,price index per month in Euro,128.8
Petrol unleaded price,2016M11,price index per month in Euro,130.4
Petrol unleaded price,2016M12,price index per month in Euro,131.4
Petrol unleaded price,2017M01,price index per month in Euro,136.3
Petrol unleaded price,2017M02,price index per month in Euro,136.7
Petrol unleaded price,2017M03,price index per month in Euro,137.7
Petrol unleaded price,2017M04,price index per month in Euro,136.6
Petrol unleaded price,2017M05,price index per month in Euro,135.1
Petrol unleaded price,2017M06,price index per month in Euro,134.3
Petrol unleaded price,2017M07,price index per month in Euro,131.9
Petrol unleaded price,2017M08,price index per month in Euro,132.4
Petrol unleaded price,2017M09,price index per month in Euro,134.9
Petrol unleaded price,2017M10,price index per month in Euro,134.9
Petrol unleaded price,2017M11,price index per month in Euro,136.9
Petrol unleaded price,2017M12,price index per month in Euro,138.3
Petrol unleaded price,2018M01,price index per month in Euro,138.2
Petrol unleaded price,2018M02,price index per month in Euro,138.1
Petrol unleaded price,2018M03,price index per month in Euro,137
Petrol unleaded price,2018M04,price index per month in Euro,137.6
Petrol unleaded price,2018M05,price index per month in Euro,141
Petrol unleaded price,2018M06,price index per month in Euro,147.6
Petrol unleaded price,2018M07,price index per month in Euro,143.8
Petrol unleaded price,2018M08,price index per month in Euro,144.9
Petrol unleaded price,2018M09,price index per month in Euro,145.9
Petrol unleaded price,2018M10,price index per month in Euro,147.9
Petrol unleaded price,2018M11,price index per month in Euro,146.9
Petrol unleaded price,2018M12,price index per month in Euro,136.9
Petrol unleaded price,2019M01,price index per month in Euro,132.9
Petrol unleaded price,2019M02,price index per month in Euro,134.5
Petrol unleaded price,2019M03,price index per month in Euro,136.2
Petrol unleaded price,2019M04,price index per month in Euro,142.3
Petrol unleaded price,2019M05,price index per month in Euro,146.1
Petrol unleaded price,2019M06,price index per month in Euro,143.9
Petrol unleaded price,2019M07,price index per month in Euro,139.5
Petrol unleaded price,2019M08,price index per month in Euro,141.3
Petrol unleaded price,2019M09,price index per month in Euro,144.7
Petrol unleaded price,2019M10,price index per month in Euro,143.11
Petrol unleaded price,2019M11,price index per month in Euro,141.6
Petrol unleaded price,2019M12,price index per month in Euro,141.7
Petrol unleaded price,2020M01,price index per month in Euro,144.5
Petrol unleaded price,2020M02,price index per month in Euro,141.9
Petrol unleaded price,2020M03,price index per month in Euro,126.5
Petrol unleaded price,2020M04,price index per month in Euro,126.9
Petrol unleaded price,2020M05,price index per month in Euro,123.7
Petrol unleaded price,2020M06,price index per month in Euro,121.8
Petrol unleaded price,2020M07,price index per month in Euro,125.9
Petrol unleaded price,2020M08,price index per month in Euro,127.5
Petrol unleaded price,2020M09,price index per month in Euro,124.9
Petrol unleaded price,2020M10,price index per month in Euro,126.4
Petrol unleaded price,2020M11,price index per month in Euro,125.7
Petrol unleaded price,2020M12,price index per month in Euro,127.3
Petrol unleaded price,2021M01,price index per month in Euro,129.9
Petrol unleaded price,2021M02,price index per month in Euro,133.8
Petrol unleaded price,2021M03,price index per month in Euro,138.9
Petrol unleaded price,2021M04,price index per month in Euro,142.9
Petrol unleaded price,2021M05,price index per month in Euro,146.6
Petrol unleaded price,2021M06,price index per month in Euro,150
Petrol unleaded price,2021M07,price index per month in Euro,153.9
Petrol unleaded price,2021M08,price index per month in Euro,155
Petrol unleaded price,2021M09,price index per month in Euro,155.9
Petrol unleaded price,2021M10,price index per month in Euro,164.8
Petrol unleaded price,2021M11,price index per month in Euro,172.6
Petrol unleaded price,2021M12,price index per month in Euro,172.5
Petrol unleaded price,2022M01,price index per month in Euro,175.5
Petrol unleaded price,2022M02,price index per month in Euro,177.3
Petrol unleaded price,2022M03,price index per month in Euro,182.4
