Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,1980M01,Butter,000 Tonnes,1.8
Production of Dairy Products,1980M02,Butter,000 Tonnes,4.4
Production of Dairy Products,1980M03,Butter,000 Tonnes,8.7
Production of Dairy Products,1980M04,Butter,000 Tonnes,13.7
Production of Dairy Products,1980M05,Butter,000 Tonnes,17.3
Production of Dairy Products,1980M06,Butter,000 Tonnes,15.5
Production of Dairy Products,1980M07,Butter,000 Tonnes,14.6
Production of Dairy Products,1980M08,Butter,000 Tonnes,12.2
Production of Dairy Products,1980M09,Butter,000 Tonnes,9.7
Production of Dairy Products,1980M10,Butter,000 Tonnes,8
Production of Dairy Products,1980M11,Butter,000 Tonnes,3.5
Production of Dairy Products,1980M12,Butter,000 Tonnes,1.6
Production of Dairy Products,1981M01,Butter,000 Tonnes,1.8
Production of Dairy Products,1981M02,Butter,000 Tonnes,4.7
Production of Dairy Products,1981M03,Butter,000 Tonnes,9.4
Production of Dairy Products,1981M04,Butter,000 Tonnes,13.4
Production of Dairy Products,1981M05,Butter,000 Tonnes,15.2
Production of Dairy Products,1981M06,Butter,000 Tonnes,16.3
Production of Dairy Products,1981M07,Butter,000 Tonnes,14.9
Production of Dairy Products,1981M08,Butter,000 Tonnes,12.9
Production of Dairy Products,1981M09,Butter,000 Tonnes,10.2
Production of Dairy Products,1981M10,Butter,000 Tonnes,8.4
Production of Dairy Products,1981M11,Butter,000 Tonnes,3.4
Production of Dairy Products,1981M12,Butter,000 Tonnes,1.6
Production of Dairy Products,1982M01,Butter,000 Tonnes,2.1
Production of Dairy Products,1982M02,Butter,000 Tonnes,5.3
Production of Dairy Products,1982M03,Butter,000 Tonnes,10.3
Production of Dairy Products,1982M04,Butter,000 Tonnes,14.8
Production of Dairy Products,1982M05,Butter,000 Tonnes,18.7
Production of Dairy Products,1982M06,Butter,000 Tonnes,19.5
Production of Dairy Products,1982M07,Butter,000 Tonnes,16.3
Production of Dairy Products,1982M08,Butter,000 Tonnes,13.9
Production of Dairy Products,1982M09,Butter,000 Tonnes,13
Production of Dairy Products,1982M10,Butter,000 Tonnes,10.8
Production of Dairy Products,1982M11,Butter,000 Tonnes,5.4
Production of Dairy Products,1982M12,Butter,000 Tonnes,2.7
Production of Dairy Products,1983M01,Butter,000 Tonnes,3.2
Production of Dairy Products,1983M02,Butter,000 Tonnes,6.7
Production of Dairy Products,1983M03,Butter,000 Tonnes,13.2
Production of Dairy Products,1983M04,Butter,000 Tonnes,17.6
Production of Dairy Products,1983M05,Butter,000 Tonnes,22.1
Production of Dairy Products,1983M06,Butter,000 Tonnes,22.9
Production of Dairy Products,1983M07,Butter,000 Tonnes,19.2
Production of Dairy Products,1983M08,Butter,000 Tonnes,17.8
Production of Dairy Products,1983M09,Butter,000 Tonnes,14.9
Production of Dairy Products,1983M10,Butter,000 Tonnes,11.5
Production of Dairy Products,1983M11,Butter,000 Tonnes,6
Production of Dairy Products,1983M12,Butter,000 Tonnes,3.1
Production of Dairy Products,1984M01,Butter,000 Tonnes,3.9
Production of Dairy Products,1984M02,Butter,000 Tonnes,7.9
Production of Dairy Products,1984M03,Butter,000 Tonnes,13.4
Production of Dairy Products,1984M04,Butter,000 Tonnes,18.5
Production of Dairy Products,1984M05,Butter,000 Tonnes,25.1
Production of Dairy Products,1984M06,Butter,000 Tonnes,23.6
Production of Dairy Products,1984M07,Butter,000 Tonnes,21.1
Production of Dairy Products,1984M08,Butter,000 Tonnes,19
Production of Dairy Products,1984M09,Butter,000 Tonnes,13.1
Production of Dairy Products,1984M10,Butter,000 Tonnes,10.9
Production of Dairy Products,1984M11,Butter,000 Tonnes,5.7
Production of Dairy Products,1984M12,Butter,000 Tonnes,2.7
Production of Dairy Products,1985M01,Butter,000 Tonnes,4.6
Production of Dairy Products,1985M02,Butter,000 Tonnes,8
Production of Dairy Products,1985M03,Butter,000 Tonnes,12.6
Production of Dairy Products,1985M04,Butter,000 Tonnes,19.2
Production of Dairy Products,1985M05,Butter,000 Tonnes,25.6
Production of Dairy Products,1985M06,Butter,000 Tonnes,22
Production of Dairy Products,1985M07,Butter,000 Tonnes,21.9
Production of Dairy Products,1985M08,Butter,000 Tonnes,17.1
Production of Dairy Products,1985M09,Butter,000 Tonnes,12.1
Production of Dairy Products,1985M10,Butter,000 Tonnes,10.1
Production of Dairy Products,1985M11,Butter,000 Tonnes,4.8
Production of Dairy Products,1985M12,Butter,000 Tonnes,2.4
Production of Dairy Products,1986M01,Butter,000 Tonnes,3.3
Production of Dairy Products,1986M02,Butter,000 Tonnes,6.7
Production of Dairy Products,1986M03,Butter,000 Tonnes,11.6
