Statistic,Month,Commodity Group,UNIT,VALUE
Percentage Change over 1 month for Consumer Price Index (%),1975M11,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1975M12,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M01,Transport,%,9.7
Percentage Change over 1 month for Consumer Price Index (%),1976M02,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M03,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M04,Transport,%,10.3
Percentage Change over 1 month for Consumer Price Index (%),1976M05,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M06,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M07,Transport,%,2.2
Percentage Change over 1 month for Consumer Price Index (%),1976M08,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M09,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M10,Transport,%,1.3
Percentage Change over 1 month for Consumer Price Index (%),1976M11,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1976M12,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M01,Transport,%,4.7
Percentage Change over 1 month for Consumer Price Index (%),1977M02,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M03,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M04,Transport,%,5.3
Percentage Change over 1 month for Consumer Price Index (%),1977M05,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M06,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M07,Transport,%,-4.7
Percentage Change over 1 month for Consumer Price Index (%),1977M08,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M09,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M10,Transport,%,1.6
Percentage Change over 1 month for Consumer Price Index (%),1977M11,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1977M12,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1978M01,Transport,%,0.8
Percentage Change over 1 month for Consumer Price Index (%),1978M02,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1978M03,Transport,%,
Percentage Change over 1 month for Consumer Price Index (%),1978M04,Transport,%,3.2
Percentage Change over 1 month for Consumer Price Index (%),1978M05,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1978M06,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1978M07,Transport,%,1.2
Percentage Change over 1 month for Consumer Price Index (%),1978M08,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1978M09,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1978M10,Transport,%,1.5
Percentage Change over 1 month for Consumer Price Index (%),1978M11,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1978M12,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M01,Transport,%,2.3
Percentage Change over 1 month for Consumer Price Index (%),1979M02,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M03,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M04,Transport,%,4.4
Percentage Change over 1 month for Consumer Price Index (%),1979M05,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M06,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M07,Transport,%,11
Percentage Change over 1 month for Consumer Price Index (%),1979M08,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M09,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M10,Transport,%,1.9
Percentage Change over 1 month for Consumer Price Index (%),1979M11,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1979M12,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M01,Transport,%,4.1
Percentage Change over 1 month for Consumer Price Index (%),1980M02,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M03,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M04,Transport,%,10.8
Percentage Change over 1 month for Consumer Price Index (%),1980M05,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M06,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M07,Transport,%,2.2
Percentage Change over 1 month for Consumer Price Index (%),1980M08,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M09,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M10,Transport,%,0.5
Percentage Change over 1 month for Consumer Price Index (%),1980M11,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1980M12,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1981M01,Transport,%,7.1
Percentage Change over 1 month for Consumer Price Index (%),1981M02,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1981M03,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1981M04,Transport,%,5.9
Percentage Change over 1 month for Consumer Price Index (%),1981M05,Transport,%,0
Percentage Change over 1 month for Consumer Price Index (%),1981M06,Transport,%,0
