Statistic,Month,Type of Feedstuff,UNIT,VALUE
Feed Stuff Price,2014M01,Wheat,Euro per Tonne,212
Feed Stuff Price,2014M02,Wheat,Euro per Tonne,210
Feed Stuff Price,2014M03,Wheat,Euro per Tonne,212
Feed Stuff Price,2014M04,Wheat,Euro per Tonne,223
Feed Stuff Price,2014M05,Wheat,Euro per Tonne,225
Feed Stuff Price,2014M06,Wheat,Euro per Tonne,212
Feed Stuff Price,2014M07,Wheat,Euro per Tonne,215
Feed Stuff Price,2014M08,Wheat,Euro per Tonne,206
Feed Stuff Price,2014M09,Wheat,Euro per Tonne,185
Feed Stuff Price,2014M10,Wheat,Euro per Tonne,171
Feed Stuff Price,2014M11,Wheat,Euro per Tonne,181
Feed Stuff Price,2014M12,Wheat,Euro per Tonne,190
Feed Stuff Price,2015M01,Wheat,Euro per Tonne,196
Feed Stuff Price,2015M02,Wheat,Euro per Tonne,192
Feed Stuff Price,2015M03,Wheat,Euro per Tonne,192
Feed Stuff Price,2015M04,Wheat,Euro per Tonne,200
Feed Stuff Price,2015M05,Wheat,Euro per Tonne,196
Feed Stuff Price,2015M06,Wheat,Euro per Tonne,192
Feed Stuff Price,2015M07,Wheat,Euro per Tonne,196
Feed Stuff Price,2015M08,Wheat,Euro per Tonne,196
Feed Stuff Price,2015M09,Wheat,Euro per Tonne,188
Feed Stuff Price,2015M10,Wheat,Euro per Tonne,187
Feed Stuff Price,2015M11,Wheat,Euro per Tonne,187
Feed Stuff Price,2015M12,Wheat,Euro per Tonne,187
Feed Stuff Price,2016M01,Wheat,Euro per Tonne,187
Feed Stuff Price,2016M02,Wheat,Euro per Tonne,188
Feed Stuff Price,2016M03,Wheat,Euro per Tonne,182
Feed Stuff Price,2016M04,Wheat,Euro per Tonne,184
Feed Stuff Price,2016M05,Wheat,Euro per Tonne,180
Feed Stuff Price,2016M06,Wheat,Euro per Tonne,179
Feed Stuff Price,2016M07,Wheat,Euro per Tonne,181
Feed Stuff Price,2016M08,Wheat,Euro per Tonne,181
Feed Stuff Price,2016M09,Wheat,Euro per Tonne,179
Feed Stuff Price,2016M10,Wheat,Euro per Tonne,180
Feed Stuff Price,2016M11,Wheat,Euro per Tonne,182
Feed Stuff Price,2016M12,Wheat,Euro per Tonne,184
Feed Stuff Price,2017M01,Wheat,Euro per Tonne,188
Feed Stuff Price,2017M02,Wheat,Euro per Tonne,185
Feed Stuff Price,2017M03,Wheat,Euro per Tonne,187
Feed Stuff Price,2017M04,Wheat,Euro per Tonne,186
Feed Stuff Price,2017M05,Wheat,Euro per Tonne,187
Feed Stuff Price,2017M06,Wheat,Euro per Tonne,185
Feed Stuff Price,2017M07,Wheat,Euro per Tonne,187
Feed Stuff Price,2017M08,Wheat,Euro per Tonne,199
Feed Stuff Price,2017M09,Wheat,Euro per Tonne,200
Feed Stuff Price,2017M10,Wheat,Euro per Tonne,198
Feed Stuff Price,2017M11,Wheat,Euro per Tonne,204
Feed Stuff Price,2017M12,Wheat,Euro per Tonne,204
Feed Stuff Price,2018M01,Wheat,Euro per Tonne,204
Feed Stuff Price,2018M02,Wheat,Euro per Tonne,202
Feed Stuff Price,2018M03,Wheat,Euro per Tonne,206
Feed Stuff Price,2018M04,Wheat,Euro per Tonne,207
Feed Stuff Price,2018M05,Wheat,Euro per Tonne,199
Feed Stuff Price,2018M06,Wheat,Euro per Tonne,203
Feed Stuff Price,2018M07,Wheat,Euro per Tonne,210
Feed Stuff Price,2018M08,Wheat,Euro per Tonne,237
Feed Stuff Price,2018M09,Wheat,Euro per Tonne,242
Feed Stuff Price,2018M10,Wheat,Euro per Tonne,248
Feed Stuff Price,2018M11,Wheat,Euro per Tonne,246
Feed Stuff Price,2018M12,Wheat,Euro per Tonne,250
Feed Stuff Price,2019M01,Wheat,Euro per Tonne,250
Feed Stuff Price,2019M02,Wheat,Euro per Tonne,248
Feed Stuff Price,2019M03,Wheat,Euro per Tonne,245
Feed Stuff Price,2019M04,Wheat,Euro per Tonne,244
Feed Stuff Price,2019M05,Wheat,Euro per Tonne,243
Feed Stuff Price,2019M06,Wheat,Euro per Tonne,245
Feed Stuff Price,2019M07,Wheat,Euro per Tonne,243
Feed Stuff Price,2019M08,Wheat,Euro per Tonne,244
Feed Stuff Price,2019M09,Wheat,Euro per Tonne,233
