Month,UNIT,Maize_price
1970M01,Dollar/MT,58.4
1970M02,Dollar/MT,58.4
1970M03,Dollar/MT,58.4
1970M04,Dollar/MT,58.4
1970M05,Dollar/MT,58.4
1970M06,Dollar/MT,58.4
1970M07,Dollar/MT,58.4
1970M08,Dollar/MT,58.4
1970M09,Dollar/MT,58.4
1970M10,Dollar/MT,58.4
1970M11,Dollar/MT,58.4
1970M12,Dollar/MT,58.4
1971M01,Dollar/MT,58.4
1971M02,Dollar/MT,58.4
1971M03,Dollar/MT,58.4
1971M04,Dollar/MT,58.4
1971M05,Dollar/MT,58.4
1971M06,Dollar/MT,58.4
1971M07,Dollar/MT,58.4
1971M08,Dollar/MT,58.4
1971M09,Dollar/MT,58.4
1971M10,Dollar/MT,58.4
1971M11,Dollar/MT,58.4
1971M12,Dollar/MT,58.4
1972M01,Dollar/MT,51.33
1972M02,Dollar/MT,51.72
1972M03,Dollar/MT,52.51
1972M04,Dollar/MT,53.68
1972M05,Dollar/MT,54.48
1972M06,Dollar/MT,52.9
1972M07,Dollar/MT,54.07
1972M08,Dollar/MT,55.66
1972M09,Dollar/MT,59.2
1972M10,Dollar/MT,57.22
1972M11,Dollar/MT,59.2
1972M12,Dollar/MT,67.06
1973M01,Dollar/MT,79.13
1973M02,Dollar/MT,81.1
1973M03,Dollar/MT,79.92
1973M04,Dollar/MT,77.77
1973M05,Dollar/MT,88.97
1973M06,Dollar/MT,101.17
1973M07,Dollar/MT,109.44
1973M08,Dollar/MT,122.43
1973M09,Dollar/MT,107.08
1973M10,Dollar/MT,106.39
1973M11,Dollar/MT,107.87
1973M12,Dollar/MT,112.59
1974M01,Dollar/MT,112.28
1974M02,Dollar/MT,131.1
1974M03,Dollar/MT,126.37
1974M04,Dollar/MT,114.17
1974M05,Dollar/MT,113.7
1974M06,Dollar/MT,116.63
1974M07,Dollar/MT,132.28
1974M08,Dollar/MT,145.82
1974M09,Dollar/MT,141.43
1974M10,Dollar/MT,151.57
1974M11,Dollar/MT,144.09
1974M12,Dollar/MT,145.27
1975M01,Dollar/MT,131.73
1975M02,Dollar/MT,120.47
1975M03,Dollar/MT,120.17
1975M04,Dollar/MT,119.66
1975M05,Dollar/MT,114.52
1975M06,Dollar/MT,119.1
1975M07,Dollar/MT,119.82
1975M08,Dollar/MT,131.56
1975M09,Dollar/MT,122.31
1975M10,Dollar/MT,116.87
1975M11,Dollar/MT,110.26
1975M12,Dollar/MT,109.15
1976M01,Dollar/MT,110.26
1976M02,Dollar/MT,113.24
1976M03,Dollar/MT,113.06
1976M04,Dollar/MT,111.1
1976M05,Dollar/MT,118.2
1976M06,Dollar/MT,121.8
1976M07,Dollar/MT,121.3
1976M08,Dollar/MT,116.1
1976M09,Dollar/MT,115
1976M10,Dollar/MT,106.2
1976M11,Dollar/MT,98.7
1976M12,Dollar/MT,103.5
1977M01,Dollar/MT,111.6
1977M02,Dollar/MT,110.6
1977M03,Dollar/MT,108
1977M04,Dollar/MT,105.8
1977M05,Dollar/MT,100.9
1977M06,Dollar/MT,94.5
1977M07,Dollar/MT,85
1977M08,Dollar/MT,76.9
1977M09,Dollar/MT,78.3
1977M10,Dollar/MT,83.2
1977M11,Dollar/MT,93.4
1977M12,Dollar/MT,96
1978M01,Dollar/MT,95.8
1978M02,Dollar/MT,101
1978M03,Dollar/MT,106.1
1978M04,Dollar/MT,111.5
1978M05,Dollar/MT,112.69
1978M06,Dollar/MT,106.55
1978M07,Dollar/MT,97.26
1978M08,Dollar/MT,92.02
1978M09,Dollar/MT,90.99
1978M10,Dollar/MT,95.94
1978M11,Dollar/MT,100.54
1978M12,Dollar/MT,98.52
1979M01,Dollar/MT,105.41
1979M02,Dollar/MT,107.01
1979M03,Dollar/MT,109.52
1979M04,Dollar/MT,111.49
1979M05,Dollar/MT,112.57
1979M06,Dollar/MT,120.35
1979M07,Dollar/MT,130.51
1979M08,Dollar/MT,118.85
1979M09,Dollar/MT,117.96
1979M10,Dollar/MT,119.1
1979M11,Dollar/MT,118.2
1979M12,Dollar/MT,115.3
1980M01,Dollar/MT,105.4
1980M02,Dollar/MT,113.9
1980M03,Dollar/MT,110.4
1980M04,Dollar/MT,108.2
1980M05,Dollar/MT,110
1980M06,Dollar/MT,113.6
1980M07,Dollar/MT,128.9
1980M08,Dollar/MT,143.45
1980M09,Dollar/MT,140.8
1980M10,Dollar/MT,140.4
1980M11,Dollar/MT,146.6
1980M12,Dollar/MT,141.5
1981M01,Dollar/MT,148.81
1981M02,Dollar/MT,143.3
1981M03,Dollar/MT,142.13
1981M04,Dollar/MT,145.5
1981M05,Dollar/MT,141.3
1981M06,Dollar/MT,136.1
1981M07,Dollar/MT,137.56
1981M08,Dollar/MT,127.11
1981M09,Dollar/MT,115.5
1981M10,Dollar/MT,112.67
1981M11,Dollar/MT,111.76
1981M12,Dollar/MT,107.63
1982M01,Dollar/MT,115.35
1982M02,Dollar/MT,112.59
1982M03,Dollar/MT,114.17
1982M04,Dollar/MT,117.76
1982M05,Dollar/MT,118.11
1982M06,Dollar/MT,114.95
1982M07,Dollar/MT,114.95
1982M08,Dollar/MT,102.28
1982M09,Dollar/MT,100.88
1982M10,Dollar/MT,91.73
1982M11,Dollar/MT,102.87
1982M12,Dollar/MT,105.51
1983M01,Dollar/MT,107.84
1983M02,Dollar/MT,117.32
1983M03,Dollar/MT,125.19
1983M04,Dollar/MT,133.43
1983M05,Dollar/MT,133.85
1983M06,Dollar/MT,135.03
1983M07,Dollar/MT,140.59
1983M08,Dollar/MT,152.75
1983M09,Dollar/MT,147.75
1983M10,Dollar/MT,148.15
1983M11,Dollar/MT,147.02
1983M12,Dollar/MT,143.28
1984M01,Dollar/MT,141.92
1984M02,Dollar/MT,137
1984M03,Dollar/MT,147.08
1984M04,Dollar/MT,148.02
1984M05,Dollar/MT,146.06
1984M06,Dollar/MT,146.97
1984M07,Dollar/MT,142.59
1984M08,Dollar/MT,138.75
1984M09,Dollar/MT,130.41
1984M10,Dollar/MT,121.19
1984M11,Dollar/MT,117.37
1984M12,Dollar/MT,113.95
1985M01,Dollar/MT,119.01
1985M02,Dollar/MT,119.78
1985M03,Dollar/MT,120.19
1985M04,Dollar/MT,120.05
1985M05,Dollar/MT,116.73
1985M06,Dollar/MT,116.04
1985M07,Dollar/MT,114.91
1985M08,Dollar/MT,105.53
1985M09,Dollar/MT,101.91
1985M10,Dollar/MT,98.58
1985M11,Dollar/MT,106.2
1985M12,Dollar/MT,107.87
1986M01,Dollar/MT,107.79
1986M02,Dollar/MT,103.19
1986M03,Dollar/MT,100.88
1986M04,Dollar/MT,101.33
