Month,UNIT,Urea price
1970M01,Dollar/MT,18.25
1970M02,Dollar/MT,18.25
1970M03,Dollar/MT,18.25
1970M04,Dollar/MT,18.25
1970M05,Dollar/MT,18.25
1970M06,Dollar/MT,18.25
1970M07,Dollar/MT,18.25
1970M08,Dollar/MT,18.25
1970M09,Dollar/MT,18.25
1970M10,Dollar/MT,18.25
1970M11,Dollar/MT,18.25
1970M12,Dollar/MT,18.25
1971M01,Dollar/MT,16
1971M02,Dollar/MT,16
1971M03,Dollar/MT,16
1971M04,Dollar/MT,16
1971M05,Dollar/MT,16
1971M06,Dollar/MT,16
1971M07,Dollar/MT,16
1971M08,Dollar/MT,16
1971M09,Dollar/MT,16
1971M10,Dollar/MT,16
1971M11,Dollar/MT,16
1971M12,Dollar/MT,16
1972M01,Dollar/MT,29.25
1972M02,Dollar/MT,29.25
1972M03,Dollar/MT,29.25
1972M04,Dollar/MT,29.25
1972M05,Dollar/MT,29.25
1972M06,Dollar/MT,29.25
1972M07,Dollar/MT,29.25
1972M08,Dollar/MT,29.25
1972M09,Dollar/MT,29.25
1972M10,Dollar/MT,29.25
1972M11,Dollar/MT,29.25
1972M12,Dollar/MT,29.25
1973M01,Dollar/MT,64.75
1973M02,Dollar/MT,64.75
1973M03,Dollar/MT,64.75
1973M04,Dollar/MT,64.75
1973M05,Dollar/MT,64.75
1973M06,Dollar/MT,64.75
1973M07,Dollar/MT,64.75
1973M08,Dollar/MT,64.75
1973M09,Dollar/MT,64.75
1973M10,Dollar/MT,64.75
1973M11,Dollar/MT,64.75
1973M12,Dollar/MT,64.75
1974M01,Dollar/MT,285.75
1974M02,Dollar/MT,285.75
1974M03,Dollar/MT,285.75
1974M04,Dollar/MT,285.75
1974M05,Dollar/MT,285.75
1974M06,Dollar/MT,285.75
1974M07,Dollar/MT,285.75
1974M08,Dollar/MT,285.75
1974M09,Dollar/MT,285.75
1974M10,Dollar/MT,285.75
1974M11,Dollar/MT,285.75
1974M12,Dollar/MT,285.75
1975M01,Dollar/MT,168
1975M02,Dollar/MT,168
1975M03,Dollar/MT,168
1975M04,Dollar/MT,168
1975M05,Dollar/MT,168
1975M06,Dollar/MT,168
1975M07,Dollar/MT,168
1975M08,Dollar/MT,168
1975M09,Dollar/MT,168
1975M10,Dollar/MT,168
1975M11,Dollar/MT,168
1975M12,Dollar/MT,168
1976M01,Dollar/MT,82
1976M02,Dollar/MT,82
1976M03,Dollar/MT,82
1976M04,Dollar/MT,82
1976M05,Dollar/MT,82
1976M06,Dollar/MT,82
1976M07,Dollar/MT,82
1976M08,Dollar/MT,82
1976M09,Dollar/MT,82
1976M10,Dollar/MT,82
1976M11,Dollar/MT,82
