Month,UNIT,Wheat_price
1970M01,Dollar/MT,52.18
1970M02,Dollar/MT,52.18
1970M03,Dollar/MT,52.18
1970M04,Dollar/MT,52.18
1970M05,Dollar/MT,52.18
1970M06,Dollar/MT,52.18
1970M07,Dollar/MT,52.54
1970M08,Dollar/MT,54.01
1970M09,Dollar/MT,56.22
1970M10,Dollar/MT,58.79
1970M11,Dollar/MT,60.99
1970M12,Dollar/MT,63.2
1971M01,Dollar/MT,63.57
1971M02,Dollar/MT,63.57
1971M03,Dollar/MT,62.83
1971M04,Dollar/MT,62.46
1971M05,Dollar/MT,63.2
1971M06,Dollar/MT,61.36
1971M07,Dollar/MT,61.36
1971M08,Dollar/MT,60.99
1971M09,Dollar/MT,60.99
1971M10,Dollar/MT,60.26
1971M11,Dollar/MT,60.26
1971M12,Dollar/MT,59.89
1972M01,Dollar/MT,59.89
1972M02,Dollar/MT,59.89
1972M03,Dollar/MT,59.89
1972M04,Dollar/MT,60.26
1972M05,Dollar/MT,60.26
1972M06,Dollar/MT,59.89
1972M07,Dollar/MT,60.26
1972M08,Dollar/MT,62.1
1972M09,Dollar/MT,76.06
1972M10,Dollar/MT,87.45
1972M11,Dollar/MT,88.92
1972M12,Dollar/MT,102.88
1973M01,Dollar/MT,108.39
1973M02,Dollar/MT,98.84
1973M03,Dollar/MT,98.47
1973M04,Dollar/MT,101.05
1973M05,Dollar/MT,102.15
1973M06,Dollar/MT,108.39
1973M07,Dollar/MT,114.64
1973M08,Dollar/MT,192.54
1973M09,Dollar/MT,189.6
1973M10,Dollar/MT,182.25
1973M11,Dollar/MT,181.88
1973M12,Dollar/MT,199.52
1974M01,Dollar/MT,213.48
1974M02,Dollar/MT,220.46
1974M03,Dollar/MT,190.7
1974M04,Dollar/MT,162.04
1974M05,Dollar/MT,141.46
1974M06,Dollar/MT,155.79
1974M07,Dollar/MT,169.02
1974M08,Dollar/MT,167.55
1974M09,Dollar/MT,170.49
1974M10,Dollar/MT,192.17
1974M11,Dollar/MT,187.39
1974M12,Dollar/MT,185.92
1975M01,Dollar/MT,164.24
1975M02,Dollar/MT,153.22
1975M03,Dollar/MT,147.34
1975M04,Dollar/MT,140.36
1975M05,Dollar/MT,131.54
1975M06,Dollar/MT,127.13
1975M07,Dollar/MT,145.14
1975M08,Dollar/MT,162.77
1975M09,Dollar/MT,165.71
1975M10,Dollar/MT,161.67
1975M11,Dollar/MT,146.97
1975M12,Dollar/MT,142.57
1976M01,Dollar/MT,143.67
1976M02,Dollar/MT,152.85
1976M03,Dollar/MT,152.49
1976M04,Dollar/MT,145.5
1976M05,Dollar/MT,141.83
1976M06,Dollar/MT,146.24
1976M07,Dollar/MT,142.2
1976M08,Dollar/MT,126.4
1976M09,Dollar/MT,119.78
1976M10,Dollar/MT,111.33
1976M11,Dollar/MT,106.56
1976M12,Dollar/MT,106.19
1977M01,Dollar/MT,108.76
1977M02,Dollar/MT,110.6
1977M03,Dollar/MT,106.92
1977M04,Dollar/MT,102.15
1977M05,Dollar/MT,94.8
1977M06,Dollar/MT,92.96
1977M07,Dollar/MT,96.64
1977M08,Dollar/MT,95.53
1977M09,Dollar/MT,99.94
1977M10,Dollar/MT,103.98
1977M11,Dollar/MT,111.7
1977M12,Dollar/MT,114.64
1978M01,Dollar/MT,114.27
1978M02,Dollar/MT,115.74
1978M03,Dollar/MT,124.19
1978M04,Dollar/MT,130.81
1978M05,Dollar/MT,124.56
1978M06,Dollar/MT,126.4
1978M07,Dollar/MT,127.13
1978M08,Dollar/MT,127.5
1978M09,Dollar/MT,130.81
1978M10,Dollar/MT,137.42
1978M11,Dollar/MT,137.79
1978M12,Dollar/MT,136.32
1979M01,Dollar/MT,137.79
1979M02,Dollar/MT,140.36
1979M03,Dollar/MT,139.99
1979M04,Dollar/MT,139.99
1979M05,Dollar/MT,143.3
1979M06,Dollar/MT,167.92
1979M07,Dollar/MT,174.53
1979M08,Dollar/MT,169.02
1979M09,Dollar/MT,174.16
1979M10,Dollar/MT,178.21
1979M11,Dollar/MT,178.21
1979M12,Dollar/MT,180.04
1980M01,Dollar/MT,175.63
1980M02,Dollar/MT,172.7
1980M03,Dollar/MT,163.51
1980M04,Dollar/MT,156.53
1980M05,Dollar/MT,161.3
1980M06,Dollar/MT,157.63
1980M07,Dollar/MT,168.65
1980M08,Dollar/MT,171.23
1980M09,Dollar/MT,179.68
1980M10,Dollar/MT,188.13
1980M11,Dollar/MT,195.11
1980M12,Dollar/MT,182.62
1981M01,Dollar/MT,189.6
1981M02,Dollar/MT,181.51
1981M03,Dollar/MT,175.27
1981M04,Dollar/MT,180.41
1981M05,Dollar/MT,171.59
1981M06,Dollar/MT,168.65
1981M07,Dollar/MT,167.92
1981M08,Dollar/MT,170.12
1981M09,Dollar/MT,171.23
1981M10,Dollar/MT,168.65
1981M11,Dollar/MT,178.57
1981M12,Dollar/MT,176
1982M01,Dollar/MT,173.06
1982M02,Dollar/MT,170.86
1982M03,Dollar/MT,168.65
1982M04,Dollar/MT,169.76
1982M05,Dollar/MT,167.55
1982M06,Dollar/MT,155.79
1982M07,Dollar/MT,151.75
1982M08,Dollar/MT,152.49
1982M09,Dollar/MT,152.85
1982M10,Dollar/MT,146.61
1982M11,Dollar/MT,155.06
1982M12,Dollar/MT,159.83
1983M01,Dollar/MT,164.98
1983M02,Dollar/MT,164.24
1983M03,Dollar/MT,166.08
1983M04,Dollar/MT,167.18
1983M05,Dollar/MT,160.2
1983M06,Dollar/MT,151.75
1983M07,Dollar/MT,147.34
1983M08,Dollar/MT,152.49
1983M09,Dollar/MT,156.53
1983M10,Dollar/MT,152.85
1983M11,Dollar/MT,151.75
1983M12,Dollar/MT,153.59
1984M01,Dollar/MT,152.85
1984M02,Dollar/MT,150.65
1984M03,Dollar/MT,153.96
1984M04,Dollar/MT,157.26
1984M05,Dollar/MT,153.96
1984M06,Dollar/MT,149.91
1984M07,Dollar/MT,146.97
1984M08,Dollar/MT,152.49
1984M09,Dollar/MT,155.06
1984M10,Dollar/MT,152.85
1984M11,Dollar/MT,152.49
1984M12,Dollar/MT,149.55
1985M01,Dollar/MT,149.18
1985M02,Dollar/MT,147.34
1985M03,Dollar/MT,145.14
1985M04,Dollar/MT,143.67
1985M05,Dollar/MT,136.32
1985M06,Dollar/MT,134.11
1985M07,Dollar/MT,128.6
1985M08,Dollar/MT,123.09
1985M09,Dollar/MT,125.3
1985M10,Dollar/MT,127.5
1985M11,Dollar/MT,132.64
1985M12,Dollar/MT,137.05
1986M01,Dollar/MT,132.28
1986M02,Dollar/MT,129.71
1986M03,Dollar/MT,134.48
1986M04,Dollar/MT,132.64
1986M05,Dollar/MT,119.42
1986M06,Dollar/MT,105.82
1986M07,Dollar/MT,101.78
1986M08,Dollar/MT,102.15
1986M09,Dollar/MT,103.62
1986M10,Dollar/MT,104.72
1986M11,Dollar/MT,105.09
1986M12,Dollar/MT,107.29
1987M01,Dollar/MT,109.13
1987M02,Dollar/MT,112.07
1987M03,Dollar/MT,115.38
1987M04,Dollar/MT,113.17
1987M05,Dollar/MT,119.05
1987M06,Dollar/MT,108.76
1987M07,Dollar/MT,104.72
1987M08,Dollar/MT,106.92
1987M09,Dollar/MT,112.07
1987M10,Dollar/MT,113.91
1987M11,Dollar/MT,115.01
1987M12,Dollar/MT,124.56
1988M01,Dollar/MT,128.6
1988M02,Dollar/MT,131.54
1988M03,Dollar/MT,124.93
1988M04,Dollar/MT,126.77
1988M05,Dollar/MT,128.97
1988M06,Dollar/MT,149.91
1988M07,Dollar/MT,149.55
1988M08,Dollar/MT,149.91
1988M09,Dollar/MT,159.47
1988M10,Dollar/MT,162.04
1988M11,Dollar/MT,163.88
1988M12,Dollar/MT,166.82
1989M01,Dollar/MT,173.8
1989M02,Dollar/MT,171.96
1989M03,Dollar/MT,178.21
1989M04,Dollar/MT,174.53
1989M05,Dollar/MT,176.37
1989M06,Dollar/MT,168.65
1989M07,Dollar/MT,166.82
1989M08,Dollar/MT,164.24
1989M09,Dollar/MT,163.51
1989M10,Dollar/MT,164.61
1989M11,Dollar/MT,163.51
1989M12,Dollar/MT,164.61
1990M01,Dollar/MT,167.92
1990M02,Dollar/MT,160.94
1990M03,Dollar/MT,156.53
1990M04,Dollar/MT,159.47
1990M05,Dollar/MT,149.18
1990M06,Dollar/MT,135.58
1990M07,Dollar/MT,124.93
1990M08,Dollar/MT,116.84
1990M09,Dollar/MT,114.27
1990M10,Dollar/MT,114.64
1990M11,Dollar/MT,112.8
1990M12,Dollar/MT,113.17
1991M01,Dollar/MT,111.33
1991M02,Dollar/MT,113.91
1991M03,Dollar/MT,119.42
1991M04,Dollar/MT,120.89
1991M05,Dollar/MT,121.99
1991M06,Dollar/MT,120.15
1991M07,Dollar/MT,118.31
1991M08,Dollar/MT,125.3
1991M09,Dollar/MT,135.22
1991M10,Dollar/MT,146.97
1991M11,Dollar/MT,149.55
1991M12,Dollar/MT,160.94
1992M01,Dollar/MT,170.12
1992M02,Dollar/MT,177.1
1992M03,Dollar/MT,169.39
1992M04,Dollar/MT,159.83
1992M05,Dollar/MT,149.55
1992M06,Dollar/MT,148.81
1992M07,Dollar/MT,136.32
1992M08,Dollar/MT,128.24
1992M09,Dollar/MT,138.89
1992M10,Dollar/MT,140.73
1992M11,Dollar/MT,147.71
1992M12,Dollar/MT,147.71
1993M01,Dollar/MT,155.79
1993M02,Dollar/MT,148.81
1993M03,Dollar/MT,148.08
1993M04,Dollar/MT,141.83
1993M05,Dollar/MT,136.69
1993M06,Dollar/MT,121.99
1993M07,Dollar/MT,127.5
1993M08,Dollar/MT,129.71
1993M09,Dollar/MT,131.17
1993M10,Dollar/MT,135.95
1993M11,Dollar/MT,146.61
1993M12,Dollar/MT,158.73
1994M01,Dollar/MT,153.22
1994M02,Dollar/MT,146.97
1994M03,Dollar/MT,141.1
1994M04,Dollar/MT,140.36
1994M05,Dollar/MT,139.99
1994M06,Dollar/MT,139.26
1994M07,Dollar/MT,137.42
1994M08,Dollar/MT,145.87
1994M09,Dollar/MT,158.73
1994M10,Dollar/MT,167.18
1994M11,Dollar/MT,162.04
1994M12,Dollar/MT,164.61
1995M01,Dollar/MT,156.16
1995M02,Dollar/MT,154.32
1995M03,Dollar/MT,150.28
1995M04,Dollar/MT,148.81
1995M05,Dollar/MT,158.73
1995M06,Dollar/MT,170.12
1995M07,Dollar/MT,190.7
1995M08,Dollar/MT,184.45
1995M09,Dollar/MT,193.64
1995M10,Dollar/MT,203.73
1995M11,Dollar/MT,203.93
1995M12,Dollar/MT,208.92
1996M01,Dollar/MT,206.88
1996M02,Dollar/MT,218.89
1996M03,Dollar/MT,215.32
1996M04,Dollar/MT,257.61
1996M05,Dollar/MT,262.11
1996M06,Dollar/MT,227.34
1996M07,Dollar/MT,202.6
1996M08,Dollar/MT,191.63
1996M09,Dollar/MT,178.71
1996M10,Dollar/MT,178
1996M11,Dollar/MT,176.41
1996M12,Dollar/MT,175.7
1997M01,Dollar/MT,175.73
1997M02,Dollar/MT,172.35
1997M03,Dollar/MT,176.61
1997M04,Dollar/MT,183.49
1997M05,Dollar/MT,172.59
1997M06,Dollar/MT,148.39
1997M07,Dollar/MT,136.21
1997M08,Dollar/MT,150.61
1997M09,Dollar/MT,151.74
1997M10,Dollar/MT,151.59
1997M11,Dollar/MT,149.88
1997M12,Dollar/MT,144.62
1998M01,Dollar/MT,137.1
1998M02,Dollar/MT,140.05
1998M03,Dollar/MT,138.92
1998M04,Dollar/MT,130.15
1998M05,Dollar/MT,128.92
1998M06,Dollar/MT,120.64
1998M07,Dollar/MT,118.9
1998M08,Dollar/MT,107.95
1998M09,Dollar/MT,107.93
1998M10,Dollar/MT,126.54
1998M11,Dollar/MT,130.21
1998M12,Dollar/MT,126.21
1999M01,Dollar/MT,125.29
1999M02,Dollar/MT,117.03
1999M03,Dollar/MT,117.34
1999M04,Dollar/MT,113.87
1999M05,Dollar/MT,113
1999M06,Dollar/MT,111.41
1999M07,Dollar/MT,103.02
1999M08,Dollar/MT,111.3
1999M09,Dollar/MT,113.19
1999M10,Dollar/MT,108.1
1999M11,Dollar/MT,108.8
1999M12,Dollar/MT,102.16
2000M01,Dollar/MT,105.83
2000M02,Dollar/MT,107.93
2000M03,Dollar/MT,105.7
2000M04,Dollar/MT,105.11
2000M05,Dollar/MT,112.14
2000M06,Dollar/MT,113.51
2000M07,Dollar/MT,108.98
2000M08,Dollar/MT,108.36
2000M09,Dollar/MT,117.49
2000M10,Dollar/MT,128.18
2000M11,Dollar/MT,127.73
2000M12,Dollar/MT,128.09
2001M01,Dollar/MT,132.84
2001M02,Dollar/MT,128.11
2001M03,Dollar/MT,130.2
2001M04,Dollar/MT,129.67
2001M05,Dollar/MT,134.86
2001M06,Dollar/MT,127.23
2001M07,Dollar/MT,123.79
2001M08,Dollar/MT,121.92
2001M09,Dollar/MT,122.03
2001M10,Dollar/MT,123.34
2001M11,Dollar/MT,125.27
2001M12,Dollar/MT,122.44
2002M01,Dollar/MT,125.31
2002M02,Dollar/MT,123.28
2002M03,Dollar/MT,122.54
2002M04,Dollar/MT,123.72
2002M05,Dollar/MT,121.46
2002M06,Dollar/MT,132.03
2002M07,Dollar/MT,149.31
2002M08,Dollar/MT,161.26
2002M09,Dollar/MT,187.84
2002M10,Dollar/MT,190.32
2002M11,Dollar/MT,177.38
2002M12,Dollar/MT,162.48
2003M01,Dollar/MT,149.61
2003M02,Dollar/MT,150.84
2003M03,Dollar/MT,141.81
2003M04,Dollar/MT,138.62
2003M05,Dollar/MT,141.96
2003M06,Dollar/MT,131.35
2003M07,Dollar/MT,131.62
2003M08,Dollar/MT,148.72
2003M09,Dollar/MT,145.62
2003M10,Dollar/MT,147.46
2003M11,Dollar/MT,160.55
2003M12,Dollar/MT,165.57
2004M01,Dollar/MT,166.33
2004M02,Dollar/MT,161.39
2004M03,Dollar/MT,166.28
2004M04,Dollar/MT,166.58
2004M05,Dollar/MT,163.73
2004M06,Dollar/MT,154.74
2004M07,Dollar/MT,150.6
2004M08,Dollar/MT,141.29
2004M09,Dollar/MT,151.03
2004M10,Dollar/MT,150.15
2004M11,Dollar/MT,156.57
2004M12,Dollar/MT,153.87
2005M01,Dollar/MT,153.59
2005M02,Dollar/MT,151.17
