Month,UNIT,Agriculture  price index
1970M01,Nominal US Dollars,24.26
1970M02,Nominal US Dollars,24.30
1970M03,Nominal US Dollars,24.36
1970M04,Nominal US Dollars,24.55
1970M05,Nominal US Dollars,24.79
1970M06,Nominal US Dollars,24.85
1970M07,Nominal US Dollars,24.77
1970M08,Nominal US Dollars,24.55
1970M09,Nominal US Dollars,24.46
1970M10,Nominal US Dollars,24.84
1970M11,Nominal US Dollars,25.05
1970M12,Nominal US Dollars,24.97
1971M01,Nominal US Dollars,24.88
1971M02,Nominal US Dollars,24.64
1971M03,Nominal US Dollars,24.60
1971M04,Nominal US Dollars,24.59
1971M05,Nominal US Dollars,24.52
1971M06,Nominal US Dollars,24.47
1971M07,Nominal US Dollars,24.83
1971M08,Nominal US Dollars,25.00
1971M09,Nominal US Dollars,24.55
1971M10,Nominal US Dollars,24.52
1971M11,Nominal US Dollars,24.36
1971M12,Nominal US Dollars,24.56
1972M01,Nominal US Dollars,24.96
1972M02,Nominal US Dollars,24.95
1972M03,Nominal US Dollars,25.56
1972M04,Nominal US Dollars,25.54
1972M05,Nominal US Dollars,25.48
1972M06,Nominal US Dollars,25.22
1972M07,Nominal US Dollars,25.18
1972M08,Nominal US Dollars,25.58
1972M09,Nominal US Dollars,26.31
1972M10,Nominal US Dollars,26.71
1972M11,Nominal US Dollars,27.46
1972M12,Nominal US Dollars,30.24
1973M01,Nominal US Dollars,32.76
1973M02,Nominal US Dollars,35.55
1973M03,Nominal US Dollars,36.33
1973M04,Nominal US Dollars,36.58
1973M05,Nominal US Dollars,40.75
1973M06,Nominal US Dollars,46.00
1973M07,Nominal US Dollars,49.51
1973M08,Nominal US Dollars,49.32
1973M09,Nominal US Dollars,44.96
1973M10,Nominal US Dollars,44.47
1973M11,Nominal US Dollars,46.08
1973M12,Nominal US Dollars,50.09
1974M01,Nominal US Dollars,53.31
1974M02,Nominal US Dollars,56.85
1974M03,Nominal US Dollars,55.35
1974M04,Nominal US Dollars,53.18
1974M05,Nominal US Dollars,52.72
1974M06,Nominal US Dollars,52.13
1974M07,Nominal US Dollars,54.12
1974M08,Nominal US Dollars,57.88
1974M09,Nominal US Dollars,57.19
1974M10,Nominal US Dollars,61.25
1974M11,Nominal US Dollars,62.15
1974M12,Nominal US Dollars,58.17
1975M01,Nominal US Dollars,52.93
1975M02,Nominal US Dollars,48.90
1975M03,Nominal US Dollars,46.73
1975M04,Nominal US Dollars,46.44
1975M05,Nominal US Dollars,43.16
1975M06,Nominal US Dollars,41.67
1975M07,Nominal US Dollars,43.83
1975M08,Nominal US Dollars,47.40
1975M09,Nominal US Dollars,45.57
1975M10,Nominal US Dollars,44.25
1975M11,Nominal US Dollars,41.89
1975M12,Nominal US Dollars,41.62
1976M01,Nominal US Dollars,42.85
1976M02,Nominal US Dollars,43.74
1976M03,Nominal US Dollars,44.37
1976M04,Nominal US Dollars,45.43
1976M05,Nominal US Dollars,47.22
1976M06,Nominal US Dollars,49.98
1976M07,Nominal US Dollars,50.50
1976M08,Nominal US Dollars,49.56
1976M09,Nominal US Dollars,50.51
1976M10,Nominal US Dollars,50.64
1976M11,Nominal US Dollars,51.40
1976M12,Nominal US Dollars,53.00
1977M01,Nominal US Dollars,55.46
1977M02,Nominal US Dollars,58.40
1977M03,Nominal US Dollars,63.49
1977M04,Nominal US Dollars,65.90
1977M05,Nominal US Dollars,62.87
1977M06,Nominal US Dollars,59.25
1977M07,Nominal US Dollars,54.03
1977M08,Nominal US Dollars,51.60
1977M09,Nominal US Dollars,50.63
1977M10,Nominal US Dollars,49.85
1977M11,Nominal US Dollars,51.42
1977M12,Nominal US Dollars,52.66
1978M01,Nominal US Dollars,53.08
1978M02,Nominal US Dollars,53.84
1978M03,Nominal US Dollars,56.47
1978M04,Nominal US Dollars,58.20
1978M05,Nominal US Dollars,57.01
1978M06,Nominal US Dollars,55.92
1978M07,Nominal US Dollars,53.61
1978M08,Nominal US Dollars,53.84
1978M09,Nominal US Dollars,56.50
1978M10,Nominal US Dollars,57.96
