Month,UNIT,Fertilizer price index
1970M01,Nominal US Dollars,8.78
1970M02,Nominal US Dollars,8.78
1970M03,Nominal US Dollars,8.78
1970M04,Nominal US Dollars,8.78
1970M05,Nominal US Dollars,8.78
1970M06,Nominal US Dollars,8.78
1970M07,Nominal US Dollars,8.61
1970M08,Nominal US Dollars,8.61
1970M09,Nominal US Dollars,8.61
1970M10,Nominal US Dollars,8.61
1970M11,Nominal US Dollars,8.61
1970M12,Nominal US Dollars,8.61
1971M01,Nominal US Dollars,8.33
1971M02,Nominal US Dollars,8.33
1971M03,Nominal US Dollars,8.33
1971M04,Nominal US Dollars,8.33
1971M05,Nominal US Dollars,8.33
1971M06,Nominal US Dollars,8.33
1971M07,Nominal US Dollars,8.70
1971M08,Nominal US Dollars,8.70
1971M09,Nominal US Dollars,8.70
1971M10,Nominal US Dollars,8.70
1971M11,Nominal US Dollars,8.70
1971M12,Nominal US Dollars,8.70
1972M01,Nominal US Dollars,11.46
1972M02,Nominal US Dollars,11.46
1972M03,Nominal US Dollars,11.46
1972M04,Nominal US Dollars,11.46
1972M05,Nominal US Dollars,11.46
1972M06,Nominal US Dollars,11.46
1972M07,Nominal US Dollars,12.31
1972M08,Nominal US Dollars,12.31
1972M09,Nominal US Dollars,12.31
1972M10,Nominal US Dollars,12.31
1972M11,Nominal US Dollars,12.31
1972M12,Nominal US Dollars,12.31
1973M01,Nominal US Dollars,18.81
1973M02,Nominal US Dollars,18.81
1973M03,Nominal US Dollars,18.81
1973M04,Nominal US Dollars,18.81
1973M05,Nominal US Dollars,18.81
1973M06,Nominal US Dollars,18.81
1973M07,Nominal US Dollars,20.57
1973M08,Nominal US Dollars,20.57
1973M09,Nominal US Dollars,20.57
1973M10,Nominal US Dollars,20.57
1973M11,Nominal US Dollars,20.57
1973M12,Nominal US Dollars,20.57
1974M01,Nominal US Dollars,61.04
1974M02,Nominal US Dollars,63.43
1974M03,Nominal US Dollars,64.68
1974M04,Nominal US Dollars,66.90
1974M05,Nominal US Dollars,67.63
1974M06,Nominal US Dollars,73.50
1974M07,Nominal US Dollars,73.84
1974M08,Nominal US Dollars,73.86
1974M09,Nominal US Dollars,75.46
1974M10,Nominal US Dollars,75.36
1974M11,Nominal US Dollars,75.68
1974M12,Nominal US Dollars,74.77
1975M01,Nominal US Dollars,58.18
1975M02,Nominal US Dollars,57.33
1975M03,Nominal US Dollars,57.11
1975M04,Nominal US Dollars,54.39
1975M05,Nominal US Dollars,52.01
1975M06,Nominal US Dollars,50.02
1975M07,Nominal US Dollars,49.04
1975M08,Nominal US Dollars,49.04
1975M09,Nominal US Dollars,48.98
1975M10,Nominal US Dollars,47.09
1975M11,Nominal US Dollars,46.51
1975M12,Nominal US Dollars,44.85
1976M01,Nominal US Dollars,28.34
1976M02,Nominal US Dollars,27.09
1976M03,Nominal US Dollars,26.29
1976M04,Nominal US Dollars,25.78
1976M05,Nominal US Dollars,25.09
1976M06,Nominal US Dollars,25.09
1976M07,Nominal US Dollars,25.49
1976M08,Nominal US Dollars,25.83
1976M09,Nominal US Dollars,26.22
1976M10,Nominal US Dollars,25.95
1976M11,Nominal US Dollars,25.49
1976M12,Nominal US Dollars,25.26
1977M01,Nominal US Dollars,47.56
1977M02,Nominal US Dollars,45.89
1977M03,Nominal US Dollars,43.07
1977M04,Nominal US Dollars,31.58
1977M05,Nominal US Dollars,32.17
1977M06,Nominal US Dollars,32.48
1977M07,Nominal US Dollars,32.35
1977M08,Nominal US Dollars,32.78
1977M09,Nominal US Dollars,34.04
1977M10,Nominal US Dollars,33.83
1977M11,Nominal US Dollars,33.80
1977M12,Nominal US Dollars,33.42
1978M01,Nominal US Dollars,32.47
1978M02,Nominal US Dollars,32.44
1978M03,Nominal US Dollars,32.63
1978M04,Nominal US Dollars,33.10
1978M05,Nominal US Dollars,32.59
1978M06,Nominal US Dollars,32.78
1978M07,Nominal US Dollars,34.37
1978M08,Nominal US Dollars,34.93
1978M09,Nominal US Dollars,34.28
1978M10,Nominal US Dollars,33.93
1978M11,Nominal US Dollars,35.02
1978M12,Nominal US Dollars,34.85
1979M01,Nominal US Dollars,35.82
1979M02,Nominal US Dollars,36.19
1979M03,Nominal US Dollars,35.53
1979M04,Nominal US Dollars,36.38
1979M05,Nominal US Dollars,37.14
1979M06,Nominal US Dollars,38.23
1979M07,Nominal US Dollars,40.66
1979M08,Nominal US Dollars,42.52
1979M09,Nominal US Dollars,43.21
1979M10,Nominal US Dollars,45.35
1979M11,Nominal US Dollars,46.24
1979M12,Nominal US Dollars,48.81
1980M01,Nominal US Dollars,50.74
1980M02,Nominal US Dollars,50.59
1980M03,Nominal US Dollars,51.36
1980M04,Nominal US Dollars,53.54
1980M05,Nominal US Dollars,54.14
1980M06,Nominal US Dollars,52.48
1980M07,Nominal US Dollars,52.65
1980M08,Nominal US Dollars,52.34
1980M09,Nominal US Dollars,52.48
1980M10,Nominal US Dollars,52.46
1980M11,Nominal US Dollars,53.08
1980M12,Nominal US Dollars,54.55
1981M01,Nominal US Dollars,55.13
1981M02,Nominal US Dollars,60.32
1981M03,Nominal US Dollars,59.36
1981M04,Nominal US Dollars,41.24
1981M05,Nominal US Dollars,55.04
1981M06,Nominal US Dollars,54.84
1981M07,Nominal US Dollars,49.30
1981M08,Nominal US Dollars,45.92
1981M09,Nominal US Dollars,46.01
1981M10,Nominal US Dollars,45.70
1981M11,Nominal US Dollars,43.07
1981M12,Nominal US Dollars,41.51
1982M01,Nominal US Dollars,38.79
1982M02,Nominal US Dollars,41.43
1982M03,Nominal US Dollars,40.44
1982M04,Nominal US Dollars,39.11
1982M05,Nominal US Dollars,38.59
1982M06,Nominal US Dollars,36.75
1982M07,Nominal US Dollars,35.79
1982M08,Nominal US Dollars,35.88
1982M09,Nominal US Dollars,35.82
1982M10,Nominal US Dollars,36.24
1982M11,Nominal US Dollars,35.70
1982M12,Nominal US Dollars,35.66
1983M01,Nominal US Dollars,37.77
1983M02,Nominal US Dollars,37.63
1983M03,Nominal US Dollars,37.58
1983M04,Nominal US Dollars,35.49
1983M05,Nominal US Dollars,33.50
1983M06,Nominal US Dollars,35.41
1983M07,Nominal US Dollars,33.25
1983M08,Nominal US Dollars,32.63
1983M09,Nominal US Dollars,32.74
1983M10,Nominal US Dollars,34.41
1983M11,Nominal US Dollars,34.32
1983M12,Nominal US Dollars,34.23
1984M01,Nominal US Dollars,34.80
1984M02,Nominal US Dollars,35.01
1984M03,Nominal US Dollars,37.74
1984M04,Nominal US Dollars,35.29
1984M05,Nominal US Dollars,37.64
1984M06,Nominal US Dollars,38.94
1984M07,Nominal US Dollars,41.43
1984M08,Nominal US Dollars,42.02
1984M09,Nominal US Dollars,42.02
1984M10,Nominal US Dollars,43.26
1984M11,Nominal US Dollars,42.00
1984M12,Nominal US Dollars,41.80
1985M01,Nominal US Dollars,41.79
1985M02,Nominal US Dollars,41.59
1985M03,Nominal US Dollars,31.83
1985M04,Nominal US Dollars,32.30
1985M05,Nominal US Dollars,35.86
1985M06,Nominal US Dollars,33.49
1985M07,Nominal US Dollars,33.20
1985M08,Nominal US Dollars,31.94
1985M09,Nominal US Dollars,30.37
1985M10,Nominal US Dollars,29.74
