Month,UNIT,Food  price index
1970M01,Nominal US Dollars,25.63
1970M02,Nominal US Dollars,25.59
1970M03,Nominal US Dollars,25.64
1970M04,Nominal US Dollars,25.86
1970M05,Nominal US Dollars,26.16
1970M06,Nominal US Dollars,26.27
1970M07,Nominal US Dollars,26.15
1970M08,Nominal US Dollars,25.82
1970M09,Nominal US Dollars,25.74
1970M10,Nominal US Dollars,26.51
1970M11,Nominal US Dollars,26.91
1970M12,Nominal US Dollars,26.85
1971M01,Nominal US Dollars,27.10
1971M02,Nominal US Dollars,26.81
1971M03,Nominal US Dollars,26.72
1971M04,Nominal US Dollars,26.36
1971M05,Nominal US Dollars,26.21
1971M06,Nominal US Dollars,26.31
1971M07,Nominal US Dollars,26.98
1971M08,Nominal US Dollars,27.26
1971M09,Nominal US Dollars,26.49
1971M10,Nominal US Dollars,26.45
1971M11,Nominal US Dollars,26.28
1971M12,Nominal US Dollars,26.51
1972M01,Nominal US Dollars,26.89
1972M02,Nominal US Dollars,26.72
1972M03,Nominal US Dollars,27.64
1972M04,Nominal US Dollars,27.67
1972M05,Nominal US Dollars,27.49
1972M06,Nominal US Dollars,27.16
1972M07,Nominal US Dollars,27.05
1972M08,Nominal US Dollars,27.84
1972M09,Nominal US Dollars,29.15
1972M10,Nominal US Dollars,29.58
1972M11,Nominal US Dollars,30.72
1972M12,Nominal US Dollars,34.73
1973M01,Nominal US Dollars,37.04
1973M02,Nominal US Dollars,40.30
1973M03,Nominal US Dollars,40.71
1973M04,Nominal US Dollars,41.28
1973M05,Nominal US Dollars,48.02
1973M06,Nominal US Dollars,56.31
1973M07,Nominal US Dollars,61.08
1973M08,Nominal US Dollars,60.05
1973M09,Nominal US Dollars,52.29
1973M10,Nominal US Dollars,51.00
1973M11,Nominal US Dollars,53.76
1973M12,Nominal US Dollars,58.57
1974M01,Nominal US Dollars,61.83
1974M02,Nominal US Dollars,67.60
1974M03,Nominal US Dollars,65.44
1974M04,Nominal US Dollars,62.26
1974M05,Nominal US Dollars,62.13
1974M06,Nominal US Dollars,61.81
1974M07,Nominal US Dollars,65.19
1974M08,Nominal US Dollars,71.84
1974M09,Nominal US Dollars,71.82
1974M10,Nominal US Dollars,78.77
1974M11,Nominal US Dollars,80.71
1974M12,Nominal US Dollars,73.91
1975M01,Nominal US Dollars,66.31
1975M02,Nominal US Dollars,60.13
1975M03,Nominal US Dollars,56.36
1975M04,Nominal US Dollars,55.62
1975M05,Nominal US Dollars,50.33
1975M06,Nominal US Dollars,47.58
1975M07,Nominal US Dollars,50.36
1975M08,Nominal US Dollars,54.67
1975M09,Nominal US Dollars,52.04
1975M10,Nominal US Dollars,50.14
1975M11,Nominal US Dollars,46.41
1975M12,Nominal US Dollars,45.39
1976M01,Nominal US Dollars,45.80
1976M02,Nominal US Dollars,46.29
1976M03,Nominal US Dollars,47.04
1976M04,Nominal US Dollars,46.20
1976M05,Nominal US Dollars,47.71
1976M06,Nominal US Dollars,50.25
1976M07,Nominal US Dollars,50.88
1976M08,Nominal US Dollars,48.05
1976M09,Nominal US Dollars,48.48
1976M10,Nominal US Dollars,46.93
1976M11,Nominal US Dollars,46.34
1976M12,Nominal US Dollars,47.34
1977M01,Nominal US Dollars,49.73
1977M02,Nominal US Dollars,51.10
1977M03,Nominal US Dollars,54.48
1977M04,Nominal US Dollars,58.13
1977M05,Nominal US Dollars,56.38
1977M06,Nominal US Dollars,52.03
1977M07,Nominal US Dollars,45.74
1977M08,Nominal US Dollars,43.65
1977M09,Nominal US Dollars,42.93
1977M10,Nominal US Dollars,43.49
1977M11,Nominal US Dollars,45.96
1977M12,Nominal US Dollars,48.58
1978M01,Nominal US Dollars,49.46
1978M02,Nominal US Dollars,51.05
1978M03,Nominal US Dollars,55.26
1978M04,Nominal US Dollars,57.32
1978M05,Nominal US Dollars,57.39
1978M06,Nominal US Dollars,55.58
1978M07,Nominal US Dollars,53.25
1978M08,Nominal US Dollars,52.40
1978M09,Nominal US Dollars,54.49
1978M10,Nominal US Dollars,56.21
1978M11,Nominal US Dollars,55.39
1978M12,Nominal US Dollars,55.79
1979M01,Nominal US Dollars,57.03
1979M02,Nominal US Dollars,59.18
1979M03,Nominal US Dollars,60.32
1979M04,Nominal US Dollars,60.37
1979M05,Nominal US Dollars,60.44
1979M06,Nominal US Dollars,63.18
1979M07,Nominal US Dollars,63.53
1979M08,Nominal US Dollars,61.77
1979M09,Nominal US Dollars,62.60
1979M10,Nominal US Dollars,62.75
1979M11,Nominal US Dollars,64.02
1979M12,Nominal US Dollars,64.94
1980M01,Nominal US Dollars,65.19
1980M02,Nominal US Dollars,67.49
1980M03,Nominal US Dollars,64.67
1980M04,Nominal US Dollars,63.87
1980M05,Nominal US Dollars,67.90
1980M06,Nominal US Dollars,67.40
1980M07,Nominal US Dollars,70.28
1980M08,Nominal US Dollars,73.39
1980M09,Nominal US Dollars,76.13
1980M10,Nominal US Dollars,79.24
1980M11,Nominal US Dollars,81.50
1980M12,Nominal US Dollars,74.85
1981M01,Nominal US Dollars,74.86
1981M02,Nominal US Dollars,72.07
1981M03,Nominal US Dollars,71.35
1981M04,Nominal US Dollars,69.84
1981M05,Nominal US Dollars,67.77
1981M06,Nominal US Dollars,67.35
1981M07,Nominal US Dollars,66.73
1981M08,Nominal US Dollars,63.74
1981M09,Nominal US Dollars,61.49
1981M10,Nominal US Dollars,60.20
1981M11,Nominal US Dollars,59.31
1981M12,Nominal US Dollars,57.88
1982M01,Nominal US Dollars,58.23
1982M02,Nominal US Dollars,57.41
1982M03,Nominal US Dollars,56.40
1982M04,Nominal US Dollars,56.74
