Month,UNIT,Grains  price index
1970M01,Nominal US Dollars,27.99
1970M02,Nominal US Dollars,27.56
1970M03,Nominal US Dollars,27.12
1970M04,Nominal US Dollars,26.83
1970M05,Nominal US Dollars,26.83
1970M06,Nominal US Dollars,26.98
1970M07,Nominal US Dollars,27.08
1970M08,Nominal US Dollars,27.45
1970M09,Nominal US Dollars,27.57
1970M10,Nominal US Dollars,27.80
1970M11,Nominal US Dollars,28.08
1970M12,Nominal US Dollars,28.07
1971M01,Nominal US Dollars,28.17
1971M02,Nominal US Dollars,27.17
1971M03,Nominal US Dollars,26.70
1971M04,Nominal US Dollars,26.46
1971M05,Nominal US Dollars,27.18
1971M06,Nominal US Dollars,27.17
1971M07,Nominal US Dollars,27.31
1971M08,Nominal US Dollars,27.38
1971M09,Nominal US Dollars,27.83
1971M10,Nominal US Dollars,27.81
1971M11,Nominal US Dollars,27.59
1971M12,Nominal US Dollars,27.48
1972M01,Nominal US Dollars,25.70
1972M02,Nominal US Dollars,25.71
1972M03,Nominal US Dollars,25.92
1972M04,Nominal US Dollars,26.14
1972M05,Nominal US Dollars,26.48
1972M06,Nominal US Dollars,26.34
1972M07,Nominal US Dollars,26.71
1972M08,Nominal US Dollars,28.28
1972M09,Nominal US Dollars,31.29
1972M10,Nominal US Dollars,32.43
1972M11,Nominal US Dollars,33.49
1972M12,Nominal US Dollars,37.48
1973M01,Nominal US Dollars,40.55
1973M02,Nominal US Dollars,40.65
1973M03,Nominal US Dollars,41.11
1973M04,Nominal US Dollars,40.93
1973M05,Nominal US Dollars,43.57
1973M06,Nominal US Dollars,47.03
1973M07,Nominal US Dollars,58.67
1973M08,Nominal US Dollars,73.48
1973M09,Nominal US Dollars,69.70
1973M10,Nominal US Dollars,66.22
1973M11,Nominal US Dollars,75.04
1973M12,Nominal US Dollars,79.37
1974M01,Nominal US Dollars,81.96
1974M02,Nominal US Dollars,88.69
1974M03,Nominal US Dollars,86.05
1974M04,Nominal US Dollars,82.03
1974M05,Nominal US Dollars,79.22
1974M06,Nominal US Dollars,79.81
1974M07,Nominal US Dollars,80.18
1974M08,Nominal US Dollars,83.15
1974M09,Nominal US Dollars,82.23
1974M10,Nominal US Dollars,86.20
1974M11,Nominal US Dollars,81.40
1974M12,Nominal US Dollars,80.05
1975M01,Nominal US Dollars,72.23
1975M02,Nominal US Dollars,68.71
1975M03,Nominal US Dollars,67.51
1975M04,Nominal US Dollars,66.80
1975M05,Nominal US Dollars,63.86
1975M06,Nominal US Dollars,61.87
1975M07,Nominal US Dollars,63.09
1975M08,Nominal US Dollars,68.77
1975M09,Nominal US Dollars,67.82
1975M10,Nominal US Dollars,65.90
1975M11,Nominal US Dollars,61.28
1975M12,Nominal US Dollars,59.15
1976M01,Nominal US Dollars,57.83
1976M02,Nominal US Dollars,57.94
1976M03,Nominal US Dollars,57.56
1976M04,Nominal US Dollars,56.18
1976M05,Nominal US Dollars,57.34
1976M06,Nominal US Dollars,58.44
1976M07,Nominal US Dollars,57.85
1976M08,Nominal US Dollars,54.88
1976M09,Nominal US Dollars,55.18
1976M10,Nominal US Dollars,52.54
1976M11,Nominal US Dollars,49.63
1976M12,Nominal US Dollars,50.60
1977M01,Nominal US Dollars,52.80
1977M02,Nominal US Dollars,52.52
1977M03,Nominal US Dollars,51.96
1977M04,Nominal US Dollars,50.30
1977M05,Nominal US Dollars,48.65
1977M06,Nominal US Dollars,47.43
1977M07,Nominal US Dollars,46.15
1977M08,Nominal US Dollars,44.44
1977M09,Nominal US Dollars,45.27
1977M10,Nominal US Dollars,46.97
1977M11,Nominal US Dollars,51.23
1977M12,Nominal US Dollars,53.92
1978M01,Nominal US Dollars,54.74
1978M02,Nominal US Dollars,57.54
1978M03,Nominal US Dollars,61.70
1978M04,Nominal US Dollars,64.60
1978M05,Nominal US Dollars,64.01
1978M06,Nominal US Dollars,62.53
1978M07,Nominal US Dollars,59.36
1978M08,Nominal US Dollars,57.13
1978M09,Nominal US Dollars,57.45
1978M10,Nominal US Dollars,58.81
1978M11,Nominal US Dollars,57.16
1978M12,Nominal US Dollars,55.25
1979M01,Nominal US Dollars,57.29
1979M02,Nominal US Dollars,58.01
1979M03,Nominal US Dollars,59.37
1979M04,Nominal US Dollars,59.96
1979M05,Nominal US Dollars,60.68
1979M06,Nominal US Dollars,65.72
1979M07,Nominal US Dollars,68.82
1979M08,Nominal US Dollars,67.07
1979M09,Nominal US Dollars,68.08
1979M10,Nominal US Dollars,68.94
1979M11,Nominal US Dollars,68.87
1979M12,Nominal US Dollars,69.33
1980M01,Nominal US Dollars,67.57
1980M02,Nominal US Dollars,69.34
1980M03,Nominal US Dollars,68.61
1980M04,Nominal US Dollars,67.54
1980M05,Nominal US Dollars,69.32
1980M06,Nominal US Dollars,70.15
1980M07,Nominal US Dollars,75.26
1980M08,Nominal US Dollars,78.63
1980M09,Nominal US Dollars,78.93
1980M10,Nominal US Dollars,80.03
1980M11,Nominal US Dollars,83.79
1980M12,Nominal US Dollars,81.50
1981M01,Nominal US Dollars,83.84
1981M02,Nominal US Dollars,82.36
1981M03,Nominal US Dollars,82.78
1981M04,Nominal US Dollars,84.57
1981M05,Nominal US Dollars,82.88
1981M06,Nominal US Dollars,82.12
1981M07,Nominal US Dollars,81.78
1981M08,Nominal US Dollars,78.18
1981M09,Nominal US Dollars,74.97
1981M10,Nominal US Dollars,72.18
1981M11,Nominal US Dollars,71.56
1981M12,Nominal US Dollars,67.18
1982M01,Nominal US Dollars,66.43
1982M02,Nominal US Dollars,64.51
1982M03,Nominal US Dollars,64.64
1982M04,Nominal US Dollars,64.68
1982M05,Nominal US Dollars,63.86
1982M06,Nominal US Dollars,61.25
1982M07,Nominal US Dollars,59.93
1982M08,Nominal US Dollars,57.55
1982M09,Nominal US Dollars,56.27
1982M10,Nominal US Dollars,52.40
1982M11,Nominal US Dollars,56.00
1982M12,Nominal US Dollars,57.69
1983M01,Nominal US Dollars,58.40
1983M02,Nominal US Dollars,61.09
1983M03,Nominal US Dollars,63.76
1983M04,Nominal US Dollars,65.93
1983M05,Nominal US Dollars,65.04
1983M06,Nominal US Dollars,63.74
1983M07,Nominal US Dollars,63.96
1983M08,Nominal US Dollars,68.32
1983M09,Nominal US Dollars,69.37
1983M10,Nominal US Dollars,68.53
