timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-04-30 16:39:37+00:00,"b'@MSNBC @ruthbenghiat Why aren\xe2\x80\x99t you talking about the Massive Food Inflation: Farm Prices Up 31% as Eggs, Meat, Vegetables, Chickens, Dairy, Corn, and Wheat Soar. Biden is destroying American family livelihood.'",b'JASTweet33',[],,3,0,0
2022-04-30 16:38:34+00:00,"b""@ledamalekina Are you serious??? The govt  u support of UK+Jamaa wa handshake) Can't import cheap fertilizers  now farmers are buying 5Okg of DAP at 6500/ ???? Dairy feeds damn expensive P Milk prices  very low....!!! #Farming is just monkey business,,,, How will youths survive????""",b'Slskoe',['Farming'],,275,0,0
2022-04-30 16:34:53+00:00,"b""@MamaCoffeeCat Additionally there are so many cows that they just throw away tons of perfectly good hides in order to keep leather prices up. So it's not like abstaining from leather hits at all like dairy and meat""",b'BybeeWinecloud',[],westcoast,2950,0,0
2022-04-30 16:13:23+00:00,b'This one is all on Joe and the Dems. Vote Republican in November!  https://t.co/4KUuxuFnHM',b'lorisaine',[],,2135,0,1
2022-04-30 16:12:18+00:00,"b'Massive Food Inflation: Farm Prices Up 31% as Eggs, Meat, Vegetables, Chickens, Dairy, Corn, and Wheat Soar https://t.co/Xxr1I0LFTX via @getongab'",b'rtr09wjm',[],,5316,1,0
2022-04-30 15:59:18+00:00,"b'Massive Food Inflation: Farm Prices Up 31% as Eggs, Meat, Vegetables, Chickens, Dairy, Corn, and Wheat Soar https://t.co/hvND7Q1DcN via @BreitbartNews'",b'JoyceJuliC',[],,105,1,1
2022-04-30 15:25:28+00:00,"b""https://t.co/itZdYkP3Mw This and other vital issues that affect every American are more important than this #BoardOfMisinformation. It clearly shows that SENILE @JoeBiden or whomever is really running the country doesn't want to solve any issue facing America.""",b'MaryMacElveen',['BoardOfMisinformation'],,657,0,0
2022-04-30 15:06:56+00:00,"b'Massive Food Inflation: Farm Prices Up 31% as Eggs, Meat, Vegetables, Chickens, Dairy, Corn, and Wheat Soar. Democrats Agenda and Who Voted for them and why ? Trump did it Demosocialists promise but only gain personally.'",b'OrionGarrett',[],"Colorado, USA",185,0,0
2022-04-30 14:42:08+00:00,b'THANKS TO THOSE WHO VOTED FOR THE DEMOCRATS  https://t.co/NtEcu0Vhmw',b'GreatThee1111',[],,127,0,0
2022-04-30 14:39:14+00:00,"b'Joe did that  Massive Food Inflation: Farm Prices Up 31% as Eggs, Meat, Vegetables, Chickens, Dairy, Corn, and Wheat Soar https://t.co/nB8eyut7KH'",b'GoodDissident',[],,1053,0,0
2022-04-30 14:32:05+00:00,"b'Massive Food Inflation: Farm Prices Up 31% as Eggs, Meat, Vegetables, Chickens, Dairy, Corn, and Wheat Soar https://t.co/THKa7wOomg via @BreitbartNews'",b'gregwalden19',[],,432,1,0
2022-04-30 14:22:46+00:00,"b'Massive Food Inflation: Farm Prices Up 31% as Eggs, Meat, Vegetables, Chickens, Dairy, Corn, and Wheat Soar https://t.co/c18J2uKHvQ via @BreitbartNews'",b'TXTrumpFan',[],Born Ohio - Reside Texas!,1219,0,0
2022-04-30 14:19:49+00:00,"b""\xf0\x9f\x94\x8aIn this week's news podcast, Detail of a Department of Agriculture clamp down on the use of map acres by intensive farmers, a crisis facing suckler farmers, beef prices, IFA unease and the Emerald Expo Dairy Show all feature.  Listen here: https://t.co/6SRB1CZJvz https://t.co/D643D55LTV""",b'farmersjournal',[],Ireland,45509,0,0
