timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-04-30 17:06:25+00:00,b'@dwilly1976 @leftbobgolfer @ericbolling I\xe2\x80\x99ll say it again for those of you that think Trump was the problem how are you enjoying five dollars a gallon of gas five dollars for a gallon of milk and show me where under Trump we had those prices I\xe2\x80\x99ll wait\xf0\x9f\xa4\x94',b'Fred14099437',[],,13,0,0
2022-04-30 16:56:51+00:00,b'@jeromeusa @hfjdj655j @milleridriss @CharliDontTweet This isn\xe2\x80\x99t like bitching about buying milk at Whole Foods prices when you have a much cheaper option in a local grocery or WalMart. Some states have a small number of state universities and they\xe2\x80\x99re all high priced and forcing that first year room/board on every student.',b'kegsandeggs',[],,214,0,1
2022-04-30 16:53:56+00:00,"b""@chicagotribune A gallon of milk is a lot more important to my household than a gallon of gas @chicagosmayor. Where's my grocery card, since those prices have also skyrocketed?""",b'TiredPlaneteer',[],Chicago,101,0,0
2022-04-30 16:51:28+00:00,b'#Breaking | Prices of milk to rise in #Goa from Monday https://t.co/OTkHKKYCSG',b'oheraldogoa',"['Breaking', 'Goa']","Goa, India",23326,0,1
2022-04-30 16:38:34+00:00,"b""@ledamalekina Are you serious??? The govt  u support of UK+Jamaa wa handshake) Can't import cheap fertilizers  now farmers are buying 5Okg of DAP at 6500/ ???? Dairy feeds damn expensive P Milk prices  very low....!!! #Farming is just monkey business,,,, How will youths survive????""",b'Slskoe',['Farming'],,275,0,0
2022-04-30 16:34:05+00:00,"b'@NOBODY42079029 Wow! Prices have increased in places. Meat,milk,eggs have increases in stores, but slow to rise in membership stores, but veggie prices are slower to rise in tje grocery stores while veggie prices are increasing faster at membership stores. 2wks ago chicken breast 2.29lb at BJs.'",b'armyvet19kilo',[],,862,0,0
2022-04-30 15:51:59+00:00,b'Check out how NI processors compare on prices paid to 1m litre producers for March milk. https://t.co/oBMT1XKEBk',b'FJNorth',[],,2107,0,0
2022-04-30 15:33:20+00:00,"b'Gasoline over $4.10 again.  Food prices nuts. Siggis yogurt costs half the price of a quart of milk. Buying the cheap blended turkish imported olive oil now instead of California olive oil. Sorry, California....this is your government.'",b'BRICbreaker',[],"Beach, Rivers & Farmland",26254,0,0
2022-04-30 15:29:36+00:00,b'@StephenKing It is beyond my understanding that milk prices are set but oil prices are free market?',b'CaramicoT',[],"South Carolina, USA",204,0,0
2022-04-30 14:23:29+00:00,"b'17. If alcohol gets too pricey, at least milk prices are coming down. Good rains in milk-producing zones are expected to increase production which will subsequently bring the prices down a bit.   Some positive news at least!  #MwangoMemes\xf0\x9f\x94\xa5 https://t.co/OB15wJuWnT'",b'MwangoCapital',['MwangoMemes'],East Africa ,26651,0,12
