timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-05-18 21:35:31+00:00,"b""@Nopenopewhat @catqueen93 I've heard of some people that developed issues because their mothers had inadequate breast milk production during the great depression.... Possibly existential issues that pervade a persons consciousness for the rest of their lives. Perhaps eating disorders later in life.""",b'redconfetti',[],USA,258,0,1
2022-05-18 21:26:20+00:00,"b'Glowing face soap - made from goat milk and honey as its active ingredient, is created Not only to Glow and radiate your face but improve dry skin, prevent acne by reducing the excess oil production, help diminish dark spots, lighten your scars, moisturize skin. https://t.co/TnZgfSdzSx'",b'fyreskin',[],Fate Ilorin Kwara,232,0,1
2022-05-18 21:24:22+00:00,b'Exclusive from me: Arla Foods warn milk prices will continue to rise due to rising input costs amplified by the war in Ukraine. Read here\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc  https://t.co/HzVWKyk5jk',b'KirstyHickey',[],Leigh-on-Sea,1453,1,1
2022-05-18 21:21:19+00:00,"b'Breast milk is naturally produced in a woman after giving birth. Production is stimulated shortly after birth.  Cocktail of artificial drugs to enable a man to do this is hardly a compelling comparison.  THIS is biology, https://t.co/zBrReswPaF https://t.co/2I3qo4jGWZ'",b'DipBrig11',[],"Blackpool, England",1440,0,0
2022-05-18 21:19:03+00:00,"b""WIC pays for the formula, which in the 90s, was maybe $90 every two weeks. The extra given to breastfeeders doesn't equal that expense but attempts to meet some of the extra caloric load they have because milk production burns calories like crazy. https://t.co/5ZPwj80tlQ""",b'cfox0138',[],OKC,240,0,0
2022-05-18 21:15:59+00:00,"b'While on classes about Educational Research, the teacher used ""milk production"" as an example for qualitative variables.  I couldn\'t resist the urge to draw a cow... https://t.co/W6xOJ5dwuu'",b'takehood_art',[],,42,0,0
2022-05-18 21:15:38+00:00,"b""This formula shortage is so scary, as a mom of 4, I have to wonder why no one is stating the obvious.I know nursing is a personal choice but if your baby is starving, start pumping.  Even if you don't nurse this will stimulate milk production. #FeedOurInfants""",b'Naomilrcf',['FeedOurInfants'],NH,76,0,0
2022-05-18 21:11:15+00:00,"b'@Esqueer_ This newborn needs colostrum, not whatever untested substance this is.   The baby\xe2\x80\x99s mother needs to breastfeed exclusively for the first two weeks to establish milk production.  The level of selfishness and narcissism here is astonishing. There\xe2\x80\x99s nothing beautiful about it.'",b'TheSecondX1',[],,558,0,0
2022-05-18 21:08:04+00:00,"b'@Dude_Largepants @micahnightwolf @voxdotcom This is true, the more you breastfeed, the more milk you produce. That is why once you supplement with formula, you breastfeed less and your production goes down, down, down.'",b'beekie_b',[],,20,0,1
2022-05-18 21:00:02+00:00,b'Is your dairy facility prepared for the next heat wave? \xf0\x9f\xa5\xb5\xf0\x9f\x90\x84Declines in intake &amp; milk production are the most notable effects of heat stress on dairy cows. \xf0\x9f\x93\x89  Our latest blog covers important heat stress numbers &amp; heat mitigation strategies \xe2\x98\x80\xef\xb8\x8f\xe2\x9e\xa1\xef\xb8\x8f https://t.co/Rd4MGoabcD https://t.co/HQ1pPX4f80',b'HubbardFeeds',[],"Mankato, MN",739,0,0
