timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-05-12 19:35:42+00:00,"b""@TheBrattPack63 @barstoolsports It costs more to make, process, package, market and R&amp;D than cow's milk   https://t.co/ujEqLVF2f5""",b'archie_dempsey',[],,285,0,0
2022-05-12 18:16:31+00:00,"b""@TedRogered @allamericanrube Thinking out loud, but the past year has been the first time in a long time that evaporated milk prices/market cap is growing. Curious if there's a concerted effort to combat diminishing returns due to inflation""",b'GrillPillMax',[],,1889,0,2
2022-05-12 17:24:52+00:00,"b'@LisaBEditing Yeah I\xe2\x80\x99m curious, obviously organic is a much smaller share of the market so increases in conventional milk/egg/veggie prices will have an outsized impact on statistically-measured inflation'",b'FreequentFlyr',[],,4403,0,0
2022-05-12 16:03:37+00:00,"b""@BravinYuri Is milk also from Ukraine, how much do farmers get? Why does prices increase in shelves but not to farmers...... It's clear, milk is sourced elsewhere and it's not a free market.  Demand dictates increase in prices! @DavidNdii @NdindiNyoro why is farmer suffering?""",b'benknjeru',[],"Nairobi, Kenya",851,1,4
2022-05-12 16:00:17+00:00,"b'Whether looking at your business or household, it\xe2\x80\x99s clear prices for about everything are rising. Market analysts are trying to figure out if the milk prices will cover for the high farm inputs and what these prices mean for future dairy product sales. https://t.co/1mGIUt6lRn'",b'HoardsDairyman',[],"Fort Atkinson, Wis.",16122,0,0
2022-05-12 15:01:08+00:00,"b'We\'ve been amazed at how dead the market is for goats it\'s been this spring.  Good animals, good pedigrees, good prices... Zero interest.  This new milk crisis is a perfect opportunity to ""Get Local"" and support your local farmer.  This is how you beat these Davos vandals.  3/'",b'TFL1728',[],United States,14856,9,42
2022-05-12 08:12:34+00:00,"b'Market prices in Kherson (per 1kg/litre):  meat - \xe2\x82\xbd450 fish - \xe2\x82\xbd100 sunflower oil - \xe2\x82\xbd200 bread - \xe2\x82\xbd50 sugar - \xe2\x82\xbd100 rice - \xe2\x82\xbd100 buckwheat - \xe2\x82\xbd200 milk - \xe2\x82\xbd50 apples - \xe2\x82\xbd100 vegetables - very cheap, less than \xe2\x82\xbd50 eggs (pack) - \xe2\x82\xbd75  https://t.co/p4R2Yiazxj'",b'heyhelloirene',[],"Moscow, Russia",6298,2,11
2022-05-11 19:26:48+00:00,"b""7/9 c3) However - they also contain a certain amount of Return on Investment. That's quite complicated and I won't delve into this. But they are neither pure market prices nor pure milk prices. Also, farmers are paid for fat, protein, lactose, bacterial quality and more.""",b'MerijnKnibbe',[],"Leeuwarden, Nederland",1500,1,0
2022-05-11 16:02:59+00:00,"b'Dairy producers have faced the reality of high milk prices for several months. And it looks like high prices are here to stay for the foreseeable future.   This article explains 3 reasons why prices are still high, and what the future holds. Read it here: https://t.co/peb2rJopmi https://t.co/vabAhI7zqP'",b'BoviNews',[],,459,0,2
2022-05-11 15:09:46+00:00,"b""@BarchokHillary This is a good initiative Gov. I am just wondering whether you can negotiate with KCC for reasonable milk producer prices on behalf  of the farmers because this programme provides a ready bulk milk consumer market for their packaged product. It's a win win game.""",b'KerichErnest',[],"Mulot, Kenya",63,0,0
2022-05-11 11:55:04+00:00,"b'@moviebuffchick2 @thedailybeast Most r blind to companies raising coffee prices to cover ""free"" vegan milks. Pret raised the coffee prices the same week they made vegan milk free.  And how about @jamesocromwell gluing himself to a Chinese dog meat market to campaign to stop the cruelty https://t.co/VKbggHcLnh &lt;'",b'expretDOTorg',[],Twttr CENSOR - #NormaliseGrief,266,0,1
2022-05-11 11:26:39+00:00,"b'@HallerDvd @thehill But he is wrong. Starbucks may be an evil corporation but in this case they are not up charging for vegan milk, they are passing along market prices.'",b'Pruit_Igoe',[],Weyland-Yutani Corporation,791,0,0
2022-05-11 07:44:13+00:00,"b""@SokoAnalyst The Kenyattas control 80% of Kenya's milk market.  This means dairy farmers in Central Kenya are 'economic slaves' to Brookside's producer milk prices, usually one of the lowest.  Or what use is Mau Mau road to a farmer without fare? https://t.co/q1jQfIXdOR""",b'UndercoverKe',[],,435,1,1
2022-05-11 07:04:48+00:00,"b""@_Jason_Dean_ I mean it's true that the market prices of dairy milk are lower right?""",b'nickisafraud',[],,263,0,1
2022-05-11 03:11:23+00:00,"b'A HIGHLY productive large scale dairy aggregation in the West #Gippsland region east of Melbourne has hit the market, as milk prices surge across the country. #ruralproperty #agriculturalproperty #agribusiness #agriculture #regionalVIC  https://t.co/DLT642MRoT https://t.co/bpLrAuCqVd'",b'AusPropJournal',"['Gippsland', 'ruralproperty', 'agriculturalproperty', 'agribusiness', 'agriculture', 'regionalVIC']",Australia,2893,0,0
2022-05-10 22:06:57+00:00,"b""@jeffrank07 @estockbridge @plantbasedlove1 @BeecherDenys @AriCohn We should be promoting oat milk, for example, and lessening reliance on traditional dairy. But I'm not sure what gluing yourself to a bourgeois coffee house with its purchasing power beholden to market prices is going to accomplish, exactly, other than passing off allies.""",b'jdsanctioned',[],Chicago,640,0,5
2022-05-10 18:36:44+00:00,"b""If you think crime is out of control now wait 'til Bidenflation forces food prices up even more. This will force the criminal Democrat base to rob old ladies in Super Market parking lots for milk &amp; bread. Joe Biden is a disgrace and embaesment to all Americans including Democrats""",b'ThoughtCrime63',[],,8,0,1
2022-05-10 03:58:55+00:00,"b""To keep prices high and #Quebec and #Ontario milk market dairy farmers happy #Canada is dumping milk while children go without bc parents can't afford $4.00 ltr milk for their kids morning cereal.   https://t.co/dSfZoulCyg. https://t.co/YmK3esGI5d""",b'ABIndependence',"['Quebec', 'Ontario', 'Canada']",Alberta,2414,3,2
2022-05-09 15:55:51+00:00,"b""@elonmusk You should buy all the cows in America along with Hershey's and corner the market! Milk prices would go down for sure. Thanks Elon!""",b'HoHo_Oh_No',[],"Houston, TX",22,0,0
2022-05-09 15:12:27+00:00,b'@elonmusk Cue chocolate milk share prices defying global bear market...',b'TurtlesOnly1',[],Metaverse,588,0,0
2022-05-08 23:00:27+00:00,"b'There are a lot of dynamics going beyond just the higher prices we have seen lately in the dairy market. Closely monitoring dairy culling rates, economists look at what the drivers are and where milk prices could go.  https://t.co/Rxl6tCAAE3'",b'DairyHerd',[],"ÜT: 45.364935,-87.62387",13978,0,0
2022-05-08 17:30:05+00:00,"b'There are a lot of dynamics going beyond just the higher prices we have seen lately in the dairy market. Closely monitoring dairy culling rates, economists look at what the drivers are and where milk prices could go.  https://t.co/ittrcVdJl4'",b'AgWebEditor',[],Missouri,37280,0,0
2022-05-07 05:51:23+00:00,"b'@ephraimnjegafan To understand the potential impacts of water privatization, look at how the absence of community based milk processing companies have given private investors control over the market. They fix the prices whichever way they want. Water is a basic human need and it must be protected'",b'Itsborina',[],"Nairobi, Kenya",2045,1,6
2022-05-06 17:18:02+00:00,b'@stephenfgordon @dex_ruth You can find provincial exchange quota prices and quantities at https://t.co/REGq40eLA7',b'ryantcardwell',[],"Winnipeg, Manitoba",297,0,1
2022-05-06 11:44:19+00:00,b'This happened during the great depression (1930s).. farmers would destroy their milk and produce rather than sell below market and drive prices down. https://t.co/30kKaar3Q9',b'PerseidRocks',[],"Denver, Co.",2091,0,0
2022-05-06 11:01:11+00:00,"b""'The wholesale market for milk continues to return prices in excess of 60c/L after processing costs' https://t.co/BPPBbAEYVd""",b'AgrilandIreland',[],Ireland,31550,0,0
2022-05-06 08:26:55+00:00,"b""The news that renewables firms are shunning their agreed Contracts for Difference so as to milk the public dry at sky-high market prices is doing the rounds of the specialist media.   The pay-per-play legacy media won't touch it though.  https://t.co/kyzAXJNbld""",b'aDissentient',[],Scotland,7891,37,52
2022-05-06 06:24:27+00:00,"b""they'll tweet to get your attention to get more money. higher netflix prices = more money. if you don't interact they won't cancel it \xf0\x9f\x98\xad they know there is a market for cute gay couples so they're obviously going to milk it for as long as they can""",b'kikoovr',[],💭 THINKING ABOUT MATEO !!,409,0,45
2022-05-05 23:36:00+00:00,"b'\xe2\x80\x9cWill there be a continued reduction in the herd or liquidation,\xe2\x80\x9d Basse says. \xe2\x80\x9cIf that happens, then milk prices need to be higher in the third and fourth quarter, but we\'re still waiting for that data to come forward."" https://t.co/6qJqEFnMPt'",b'rko2milk',[],"Miami, FL.",2612,0,2
2022-05-05 14:43:02+00:00,"b'There are a lot of dynamics going beyond just the higher prices we have seen lately in the dairy market. Closely monitoring dairy culling rates, economists look at what the drivers are and where milk prices could go.  https://t.co/Rxl6tCiZMv'",b'DairyHerd',[],"ÜT: 45.364935,-87.62387",13978,0,0
2022-05-05 13:55:00+00:00,"b'Great news from @DairyGlobal for dairy farmers supplying #milk to @Tesco, as prices are set to rise \xf0\x9f\x99\x8c   Fingers crossed others folllow suit https://t.co/iGUDb2glrx'",b'MegalacUK',['milk'],"Orwell, England",2393,0,0
2022-05-05 10:50:27+00:00,"b'Quite frankly, the oil prices (and spillover effects like inflation, etc.) we see now are because some people decided that they wanted to milk every single penny from every single drop of oil before they exit the market.'",b'iammohsein',[],"Bangsar, KL | Ann Arbor, MI ",1543,0,1
2022-05-05 10:04:41+00:00,b'Feed Compounder e-letter: Wynnstay Exceed Market Expectations; Devenish Webinar; ForFarmers Q1 Update; SFT New Secretary;\xc2\xa0Milk Prices and Input Costs - https://t.co/mPTMuV2toD',b'FeedCompounder',[],"Pembrokeshire, United Kingdom",683,0,0
2022-05-04 18:28:38+00:00,"b'@dfaber84 @ZiskApp Market prices determine the quotes for DRP, not the insurance companies.  Implied volatility and the price of milk are the main reasons premiums are higher. https://t.co/Ng0qsVgeg4 for more info and experienced trading strategies.'",b'mmumerucci',[],"Fort Collins, CO",117,0,1
2022-05-04 14:51:24+00:00,b'EU and world monthly raw milk prices \xe2\x80\x93 latest updates  EU prices of raw milk World prices of raw milk EU historical prices https://t.co/3aQnoajKuw https://t.co/cym2qnQu6y',b'amcgmobile',[],Brussels,1973,0,1
